Probe	Accession No.	Description	Gene ID	si-control(1)	si-GATA2(1)	Folf Change(log2)	si-control(2)	si-GATA2(2)	Fold Change (log2)
224732_at	AI309784	decreased expression in renal and prostate	DERPC	850	324.3	-1.4	802.2	196.6	-2.3
217989_at	NM_016245	dehydrogenase/reductase (SDR family) member 8	DHRS8	301.4	224.3	-0.6	273.6	153.5	-0.9
225503_at	AL547782	dehydrogenase/reductase (SDR family) X-linked	DHRSX	272	142.6	-0.8	296.2	106	-1.2
209190_s_at	AF051782	diaphanous homolog 1 (Drosophila)	DIAPH1	526	259.7	-1.2	494.9	189.9	-1.4
205726_at	NM_006729	diaphanous homolog 2 (Drosophila)	DIAPH2	963.2	122.5	-2.9	652.4	113.3	-2.5
213229_at	BF590131	Dicer1, Dcr-1 homolog (Drosophila)	DICER1	520.5	164.5	-1.4	320.4	193.1	-0.8
204610_s_at	NM_006848	hepatitis delta antigen-interacting protein A	DIPA	970.4	422	-0.9	880.1	224.5	-1.9
225162_at	BG285417	SH3 domain protein D19	DKFZp434D0215	1488	596.6	-1.4	1651.5	456.5	-1.9
221031_s_at	NM_030817	hypothetical protein DKFZp434F0318 /// hypothetical protein DKFZp434F0318	DKFZP434F0318	476.8	199.8	-1	371.5	103.8	-1.5
223204_at	AF260333	hypothetical protein DKFZp434L142	DKFZp434L142	2512.8	1167.1	-1	1276.4	704.2	-0.9
226242_at	BF515750	hypothetical protein DKFZp547B1713	DKFZp547B1713	219.3	76.9	-1.3	233	64.6	-1.7
207283_at	NM_020217	hypothetical protein DKFZp547I014	DKFZp547I014	231.1	153.8	-0.4	159.4	62.1	-1.1
224893_at	AA775408	DKFZP564J0863 protein	DKFZP564J0863	1352	789.8	-0.8	1555.7	841.6	-0.8
223705_s_at	BC000267	vasculin	DKFZp761C169	512.8	303.5	-0.7	471	224.5	-1.2
235085_at	BF739767	Hypothetical protein DKFZp761P0423	DKFZp761P0423	1344.3	678.5	-0.4	868.9	379.3	-1.2
228574_at	AI862551	Hypothetical protein DKFZp762A217	DKFZp762A217	112.3	113	-0.2	170.5	60.2	-1.6
210762_s_at	AF026219	deleted in liver cancer 1	DLC1	1228.6	692.7	-0.9	1440.8	813.7	-1
203301_s_at	NM_021145	cyclin D binding myb-like transcription factor 1	DMTF1	253.3	187.5	-0.6	229	197.3	-0.9
203810_at	BG252490	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	1587.1	935.9	-0.8	1280.3	501.8	-1.3
202416_at	NM_003315	DnaJ (Hsp40) homolog, subfamily C, member 7	DNAJC7	445.5	333.7	-0.4	495.9	246	-1.1
205348_s_at	NM_004411	dynein, cytoplasmic, intermediate polypeptide 1	DNCI1	153.3	105.6	-0.5	149.7	38.2	-1.7
217918_at	NM_014183	dynein, cytoplasmic, light polypeptide 2A	DNCL2A	1922.1	1428.9	-0.6	2039.5	924	-1.3
226154_at	AL043631	CDNA FLJ33469 fis, clone BRAMY2002005 /// Dynamin 1-like	DNM1L	669.5	258.6	-1.3	497.3	213.7	-1.4
220939_s_at	NM_017743	dipeptidylpeptidase 8	DPP8	575.2	250.2	-1.2	488.3	193.5	-1.3
227239_at	AV734839	down-regulated by Ctnnb1, a	DRCTNNB1A	565.4	327.1	-0.9	546.1	247.8	-1.2
221985_at	AW006750	DRE1 protein	DRE1	236.6	154.2	-0.8	393.8	143.7	-0.9
200606_at	NM_004415	desmoplakin	DSP	509.1	582	0.2	543.4	162.1	-1.7
1558019_at	BC020911	Dystonin	DST	252.4	145.2	-0.8	286.9	61.4	-2.1
208956_x_at	U62891	dUTP pyrophosphatase	DUT	1362.7	589.6	-1.1	994.7	287.6	-1.8
203693_s_at	NM_001949	E2F transcription factor 3	E2F3	169.2	52.9	-1.4	160.2	75.6	-1.5
201323_at	NM_006824	EBNA1 binding protein 2	EBNA1BP2	176.9	133.6	-0.5	202.3	72.2	-1.3
209058_at	AB002282	endothelial differentiation-related factor 1	EDF1	985.5	436.3	-1.1	1288.2	364.8	-1.6
222802_at	J05008	endothelin 1	EDN1	4298.5	3470.9	-0.4	4990.2	1711.6	-1.7
225153_at	AI814295	mitochondrial elongation factor G1	EFG1	1215.3	486.7	-1.2	1086.8	373.1	-1.4
202668_at	BF001670	ephrin-B2	EFNB2	1625.3	1088.2	-0.6	1577	412.1	-2
201017_at	BG149698	eukaryotic translation initiation factor 1A, X-linked	EIF1AX	272.9	94.5	-1.9	226.6	83.5	-1.4
204409_s_at	BC005248	eukaryotic translation initiation factor 1A, Y-linked	EIF1AY	240.2	103.7	-1.2	181.7	50	-1.4
223015_at	AF212241	eukaryotic translation initiation factor (eIF) 2A	eIF2A	1301.4	503.1	-1.3	1189.8	344.2	-1.7
218287_s_at	NM_012199	eukaryotic translation initiation factor 2C, 1	EIF2C1	190.5	102.3	-1.1	128.9	51.3	-1.2
212716_s_at	AW083133	eukaryotic translation initiation factor 3 subunit k	eIF3k	1731	1339.6	-0.4	2040	863.4	-1.1
211937_at	NM_001417	eukaryotic translation initiation factor 4B	EIF4B	1843.8	1292.3	-0.4	2514.9	1141.4	-1.2
201024_x_at	BG261322	eukaryotic translation initiation factor 5B	EIF5B	290	164.1	-0.7	476.4	317.2	-0.8
31845_at	U32645	E74-like factor 4 (ets domain transcription factor)	ELF4	347.8	216.6	-0.8	391	209.1	-0.7
221773_at	AW575374	ELK3, ETS-domain protein (SRF accessory protein 2)	ELK3	2209	1247	-0.7	1284.5	533.7	-1.3
55692_at	W22924	engulfment and cell motility 2 (ced-12 homolog, C. elegans)	ELMO2	253.7	95.6	-1.5	284.6	110.7	-1.5
222885_at	AF205940	endomucin	EMCN	2146.1	411.3	-2.6	2026	175.7	-3.7
222433_at	AK025108	Enabled homolog (Drosophila)	ENAH	403.7	213	-0.9	419.4	186.6	-1.2
201341_at	NM_003633	ectodermal-neural cortex (with BTB-like domain)	ENC1	238.6	143.9	-0.4	479.8	241.9	-1.1
202596_at	BC000436	endosulfine alpha	ENSA	921.1	539	-0.7	764.4	304.5	-1.3
204076_at	AB002390	ectonucleoside triphosphate diphosphohydrolase 4	ENTPD4	918.6	213.9	-2.2	825.8	115.3	-2.8
225051_at	AA522435	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	EPB41	180.7	123.7	-0.7	214.3	109.6	-1.2
204505_s_at	NM_001978	erythrocyte membrane protein band 4.9 (dematin)	EPB49	278.7	190.1	-0.5	238.1	89.6	-1.3
217887_s_at	NM_001981	epidermal growth factor receptor pathway substrate 15	EPS15	784.2	485.8	-0.7	682	349.6	-0.9
225369_at	AL573851	endothelial cell adhesion molecule	ESAM	605.3	147.7	-2.1	492.5	161.1	-1.7
224833_at	BE218980	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	ETS1	1997.9	1055.7	-0.9	1949.1	1279.8	-0.6
225764_at	AI762695	ets variant gene 6 (TEL oncogene)	ETV6	218.7	120.1	-0.9	139.3	106.7	-1
203780_at	AF275945	epithelial V-like antigen 1	EVA1	157.6	35.1	-2.4	109.6	25.6	-2.5
221884_at	BE466525	ecotropic viral integration site 1	EVI1	397.7	172.5	-1.2	286.4	206.7	-0.4
209717_at	AF008915	ecotropic viral integration site 5	EVI5	276.2	33.9	-2.1	125.7	23.4	-2.1
223533_at	AL136919	factor for adipocyte differentiation 158	FAD158	469.3	256.2	-0.9	407.5	254.3	-0.6
219427_at	NM_024582	fat-like cadherin FATJ	FATJ	790.9	336.8	-1.2	430.6	128.1	-1.6
220127_s_at	NM_017703	F-box and leucine-rich repeat protein 12	FBXL12	314.2	157.1	-0.8	344.8	160.7	-0.9
225132_at	AI983021	F-box and leucine-rich repeat protein 3	FBXL3	602.4	313.4	-0.8	545.2	226.1	-1.2
213249_at	AU145127	F-box and leucine-rich repeat protein 7	FBXL7	812.8	554.1	-0.7	580.7	298.7	-0.9
212229_s_at	AK001699	F-box protein 21	FBXO21	471	211.2	-1.1	506.1	229.7	-1.3
205310_at	NM_012066	F-box protein 46	FBXO46	136.1	89	-0.7	103.1	82.6	-1
210638_s_at	AF176704	F-box protein 9	FBXO9	553.9	364.8	-0.6	616.4	313.5	-1
208647_at	AA872727	farnesyl-diphosphate farnesyltransferase 1	FDFT1	2649.3	1600.3	-0.7	994.5	571.1	-0.8
201275_at	NM_002004	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	FDPS	1604.3	974.4	-0.7	1253.8	366.2	-1.6
201798_s_at	NM_013451	fer-1-like 3, myoferlin (C. elegans)	FER1L3	2764.1	1540.6	-0.9	2455.6	1456.7	-0.8
227948_at	AI949549	FYVE, RhoGEF and PH domain containing 4	FGD4	265.1	82.5	-1.4	214.3	125.5	-1
219901_at	NM_018351	FYVE, RhoGEF and PH domain containing 6	FGD6	183.4	119.3	-0.6	271.6	72.1	-1.4
224840_at	AI753747	FK506 binding protein 5	FKBP5	662.2	310.6	-1.4	504.9	99.9	-2.1
210786_s_at	M93255	Friend leukemia virus integration 1	FLI1	1195.7	621.5	-0.8	1178.3	638	-0.7
222065_s_at	AI830227	flightless I homolog (Drosophila)	FLII	734.7	368.8	-0.8	593.9	196.1	-1.5
224961_at	AB037781	hypothetical protein FLJ10074	FLJ10074	780.2	364.9	-0.7	1005.4	206.7	-1.3
219193_at	NM_018034	hypothetical protein FLJ10233	FLJ10233	206.5	121.9	-0.6	233.9	99	-1.2
218799_at	NM_018066	hypothetical protein FLJ10349	FLJ10349	141.3	92.7	-0.7	171.5	78.3	-1
218614_at	NM_018169	hypothetical protein FLJ10652	FLJ10652	305	149.7	-1	413.8	206.6	-1.1
203941_at	NM_018250	hypothetical protein FLJ10871	FLJ10871	164.6	85.7	-0.7	174.5	92.8	-0.9
219230_at	NM_018286	hypothetical protein FLJ10970	FLJ10970	166.5	202.7	0.4	234.2	56.2	-1.9
219022_at	NM_022895	hypothetical protein FLJ12448	FLJ12448	187.6	84.8	-1	155.4	47.2	-1.4
226801_s_at	W72220	hypothetical protein FLJ12806	FLJ12806	1732.4	950.7	-0.9	2114.4	813.7	-1.3
222893_s_at	AI609064	hypothetical protein FLJ13150	FLJ13150	161.1	74.7	-1.3	162.6	81.7	-1.1
212482_at	BF671894	hypothetical protein FLJ13910	FLJ13910	387.3	80.7	-1.8	243.1	48.8	-2.3
218546_at	NM_024709	hypothetical protein FLJ14146	FLJ14146	1177.1	503.9	-1.2	864.3	261.1	-1.8
225666_at	D80480	hypothetical protein FLJ14624	FLJ14624	345.6	121.1	-1.5	249.4	67	-1.8
215947_s_at	AF090094	hypothetical protein FLJ14668	FLJ14668	352.1	210.9	-0.8	350.3	240.7	-0.8
1553709_a_at	NM_032284	hypothetical protein FLJ14936	FLJ14936	357.9	195.7	-0.8	290.7	196.3	-0.7
225810_at	AL572015	hypothetical protein FLJ20313	FLJ20313	750.8	360.2	-1.1	425.9	115.4	-2.2
206583_at	NM_017776	hypothetical protein FLJ20344	FLJ20344	134.3	69.6	-0.7	119.7	63.7	-0.9
227152_at	AI979334	hypothetical protein FLJ20696	FLJ20696	158.5	95	-0.8	325.7	171.9	-1
218632_at	NM_024602	hypothetical protein FLJ21156	FLJ21156	347.4	224.9	-0.8	314.1	189.6	-0.7
219269_at	NM_024567	hypothetical protein FLJ21616	FLJ21616	282.4	164.4	-1.1	326.8	78.7	-1.6
228728_at	BF724137	hypothetical protein FLJ21986	FLJ21986	108.6	19.3	-1.7	114.6	61.5	-0.9
218175_at	NM_025140	limkain beta 2	FLJ22471	423.9	279	-0.6	395.9	215.8	-1
220637_at	NM_024785	hypothetical protein FLJ22746	FLJ22746	1502.4	265.5	-2.4	1512.4	93.1	-3.5
219506_at	NM_024579	hypothetical protein FLJ23221	FLJ23221	337.1	151.9	-1	322.4	147.1	-1.2
226493_at	AI627249	hypothetical protein FLJ31322	FLJ31322	141.3	76.9	-0.6	119.3	60.4	-0.9
226955_at	H28999	Hypothetical protein FLJ36748	FLJ36748	1595.2	872.1	-0.9	1334.6	541.9	-1.3
227717_at	BF939317	FLJ41603 protein	FLJ41603	157.5	87.2	-0.8	104.9	53.5	-1
238823_at	AA481044	formin-like 3	FMNL3	145.9	68.2	-0.7	122.3	75.3	-1.1
225851_at	BF131248	farnesyltransferase, CAAX box, beta	FNTB	221.4	108	-1	225.8	54.8	-2.1
204145_at	NM_004477	FSHD region gene 1	FRG1	317.5	183.1	-0.5	322.4	148.5	-1.1
218204_s_at	NM_024513	FYVE and coiled-coil domain containing 1	FYCO1	226.6	48.8	-2.3	225.4	41	-2.1
200792_at	NM_001469	thyroid autoantigen 70kDa (Ku antigen)	G22P1	1746.6	884.8	-1	1841.2	524.9	-1.9
202275_at	NM_000402	glucose-6-phosphate dehydrogenase	G6PD	443.6	156	-1.3	270.4	87	-1.5
228410_at	AA495984	GRB2-associated binding protein 3	GAB3	107	46.8	-1.3	128.9	44.9	-1.6
210188_at	D13318	GA binding protein transcription factor, alpha subunit 60kDa	GABPA	105.2	65.2	-0.9	143.8	60.1	-1.4
201723_s_at	U41514	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GALNT1	1170.7	453.4	-1.3	1775	562.8	-1.7
238756_at	AI860012	Growth arrest-specific 2 like 3	GAS2L3	382.1	245.9	-0.7	243.1	98.3	-1.2
209710_at	AL563460	GATA binding protein 2	GATA2	109.4	94.9	-0.6	109.2	56.4	-0.9
201816_s_at	NM_001483	glioblastoma amplified sequence	GBAS	770.5	564.7	-0.5	460.6	176.7	-1.3
219821_s_at	NM_018988	glucose-fructose oxidoreductase domain containing 1	GFOD1	231	115.4	-1.2	123	103.2	-0.5
210658_s_at	BC000284	golgi associated, gamma adaptin ear containing, ARF binding protein 2	GGA2	205.6	104.8	-1.2	190.6	72.6	-1.4
1552316_a_at	NM_130759	GTPase, IMAP family member 1	GIMAP1	256.3	117.8	-1.1	144.4	60.1	-1.2
219243_at	NM_018326	GTPase, IMAP family member 4	GIMAP4	938.1	479.2	-1	789.7	330.8	-1.3
228071_at	AA858297	GTPase, IMAP family member 7	GIMAP7	314.3	168	-1.4	137.1	56	-1.2
219970_at	NM_017655	PDZ domain protein GIPC2	GIPC2	216.5	119.4	-0.9	183.6	46	-1.7
225558_at	R38084	G protein-coupled receptor kinase interactor 2	GIT2	720.5	423.4	-0.9	669.9	378.8	-0.8
204904_at	NM_002060	gap junction protein, alpha 4, 37kDa (connexin 37)	GJA4	378.1	247.2	-0.6	324.6	2.1	-4.9
222432_s_at	AF113221	GK001 protein	GK001	369.4	217.7	-0.9	409.9	186.2	-1.2
219933_at	NM_016066	glutaredoxin 2	GLRX2	327.8	114.2	-1.4	325.6	107.3	-1.5
203159_at	NM_014905	glutaminase	GLS	507.8	250.6	-1	425.9	296.1	-0.5
226177_at	AI052020	glycolipid transfer protein	GLTP	767.5	436.4	-0.9	1034.1	542.4	-1
217807_s_at	NM_015710	glioma tumor suppressor candidate region gene 2	GLTSCR2	2432.6	1700.1	-0.6	3158.1	853.6	-1.9
215794_x_at	AC_006144	glutamate dehydrogenase 2	GLUD2	245.1	189.8	-0.7	247.9	166.3	-0.8
204220_at	NM_004877	glia maturation factor, gamma	GMFG	983.3	271.3	-1.9	712.8	154.7	-2.5
201057_s_at	NM_004487	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	GOLGB1	285.2	165.6	-0.8	435.9	130.3	-1.6
203776_at	NM_015698	G patch domain and KOW motifs	GPKOW	168	96.8	-0.6	198.7	74.6	-1.2
228770_at	BE645027	G protein-coupled receptor 146	GPR146	114.6	105.7	-0.2	104.6	35.7	-1.3
204396_s_at	NM_005308	G protein-coupled receptor kinase 5	GRK5	687.3	296.4	-1.2	715.1	246.3	-1.7
202355_s_at	BC000120	general transcription factor IIF, polypeptide 1, 74kDa	GTF2F1	215.8	110.8	-0.9	246.4	95.3	-1.2
202451_at	BC000365	general transcription factor IIH, polypeptide 1, 62kDa	GTF2H1	488.8	299.2	-0.8	486.4	243.9	-0.8
221942_s_at	AI719730	guanylate cyclase 1, soluble, alpha 3	GUCY1A3	383.7	221	-0.7	387.6	47	-2.9
228568_at	AI926697	GRINL1A complex upstream protein	Gup1	600.7	183.6	-1.7	284.9	70.3	-2.5
208886_at	BC000145	H1 histone family, member 0	H1F0	452.5	196.7	-1	240.7	87.7	-1.3
208579_x_at	NM_017445	H2B histone family, member S	H2BFS	132.2	32.8	-1.5	244.5	112	-1.2
208631_s_at	U04627	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	HADHA	1312.8	812.2	-0.8	1406.1	514.7	-1.5
205635_at	NM_003947	huntingtin-associated protein interacting protein (duo)	HAPIP	220.3	98.3	-0.9	174.4	54.8	-1.8
209252_at	U18937	histidyl-tRNA synthetase-like	HARSL	283.8	235.3	-0.5	325.1	190.6	-1
209316_s_at	BC001465	HBS1-like (S. cerevisiae)	HBS1L	558.2	367.1	-0.7	517.8	242.9	-1
235381_at	BF033855	Hepatitis B virus x associated protein	HBXAP	186	111.8	-0.9	206.4	70.5	-1.4
201209_at	NM_004964	histone deacetylase 1	HDAC1	1219.9	654.1	-0.9	1063.2	487.7	-1.1
218450_at	NM_015987	heme binding protein 1	HEBP1	1283.2	773.9	-0.8	1032.9	400.9	-1.4
1556037_s_at	AK098525	hedgehog interacting protein	HHIP	2116.4	1611.3	-0.4	3589.7	1383.4	-1.4
208826_x_at	U27143	histidine triad nucleotide binding protein 1	HINT1	3426.9	2269.3	-0.6	4083.1	1943.2	-1
209558_s_at	AB013384	huntingtin interacting protein-1-related	HIP1R	237.4	176.8	-0.9	212.5	156.2	-0.6
225179_at	AA161140	Huntingtin interacting protein 2	HIP2	364.7	166.8	-1	256.1	205.2	-0.5
225368_at	BF218115	Homeodomain interacting protein kinase 2	HIPK2	731.5	279.4	-1.2	483.9	261.5	-1
209806_at	BC000893	histone 1, H2bk	HIST1H2BK	556.6	112.1	-2.3	924	219.9	-1.8
214438_at	M60721	H2.0-like homeo box 1 (Drosophila)	HLX1	370	85.6	-2.3	111.5	81.2	-0.9
218152_at	NM_018200	high-mobility group 20A	HMG20A	341.3	188.7	-1.2	313.6	153.2	-1.3
208808_s_at	BC000903	high-mobility group box 2	HMGB2	987.1	444.7	-1.3	430.2	271.8	-0.5
202539_s_at	AL518627	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	451.1	254.4	-0.9	174.4	111.4	-0.7
216559_x_at	AL050348	heterogeneous nuclear ribonucleoprotein A1	HNRPA1	441.1	333.9	-0.5	376.6	202.3	-1
208713_at	BF724216	heterogeneous nuclear ribonucleoprotein U-like 1	HNRPUL1	570.6	259.8	-1	319.8	145.4	-1.1
205522_at	NM_014621	homeo box D4	HOXD4	195.3	113	-0.8	120.9	40.6	-1.4
231906_at	BF057634	homeo box D8	HOXD8	374.6	197.8	-0.9	216.1	120.1	-1
204818_at	NM_002153	hydroxysteroid (17-beta) dehydrogenase 2	HSD17B2	1582.9	1273.9	-0.4	898.1	323.1	-1.3
203480_s_at	NM_014928	HIV-1 induced protein HIN-1	HSHIN1	1326.5	341.3	-1.4	472.8	281.2	-1.5
217926_at	NM_014047	HSPC023 protein	HSPC023	880.6	341.7	-1.2	914	174.6	-2.3
225845_at	BG253884	HSPC063 protein	HSPC063	226.6	158	-0.6	187.5	96.7	-1.2
226711_at	BF590117	human T-cell leukemia virus enhancer factor	HTLF	408.4	244.1	-0.9	357.1	205.4	-0.8
208937_s_at	D13889	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	ID1	1229.2	706	-0.8	757.2	147.8	-2.2
225661_at	AA811138	interferon (alpha, beta and omega) receptor 1	IFNAR1	214	116	-0.8	222.3	72.8	-1.3
202105_at	NM_001551	immunoglobulin (CD79A) binding protein 1	IGBP1	487.3	303.6	-0.6	652.9	296.2	-1
209541_at	AI972496	insulin-like growth factor 1 (somatomedin C)	IGF1	234.1	53.6	-2.6	107.1	38.3	-1.4
210095_s_at	M31159	insulin-like growth factor binding protein 3	IGFBP3	388.5	277.1	-0.4	469.8	75.4	-2.4
202491_s_at	NM_003640	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	IKBKAP	371.1	189.1	-1	285.6	120.9	-1.2
228977_at	AI669535	Interleukin 17D	IL17D	260.3	112	-1.2	246.6	178.5	-0.8
203332_s_at	NM_005541	inositol polyphosphate-5-phosphatase, 145kDa	INPP5D	206.5	112.6	-0.8	175.8	102.5	-0.7
210114_at	AF039217	inversin	INVS	133.2	60.5	-1.1	133.7	71.6	-0.9
205885_s_at	L12002	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	ITGA4	106.7	42.1	-1.3	156.2	45.7	-2
235213_at	AA348410	inositol 1,4,5-trisphosphate 3-kinase B	ITPKB	133.4	59.2	-0.8	195.4	98.7	-1
225817_at	AB051536	likely ortholog of mouse junction-associated coiled-coil protein	JACOP	443.6	240.4	-0.9	609.1	100.1	-2.4
225800_at	AI990891	juxtaposed with another zinc finger gene 1	JAZF1	111.7	27.1	-1.4	182.4	16.9	-2.3
226518_at	AW073741	potassium channel tetramerisation domain containing 10	KCTD10	697.5	343.6	-1	735.8	340.6	-1.1
212188_at	AA551075	potassium channel tetramerisation domain containing 12 /// potassium channel tetramerisation domain containing 12	KCTD12	3194.4	2664.9	-0.2	3428.2	1201.3	-1.4
218823_s_at	NM_017634	potassium channel tetramerisation domain containing 9	KCTD9	213.8	113.5	-0.9	138.1	64.1	-1.2
1555575_a_at	BC008958	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	KDELR1	1433.6	1139.3	-0.5	1652.8	995	-1
203934_at	NM_002253	kinase insert domain receptor (a type III receptor tyrosine kinase)	KDR	2754.7	1433.3	-1	2316.1	1072.1	-1.1
202503_s_at	NM_014736	KIAA0101	KIAA0101	1276.1	317.9	-1.9	222.9	18.4	-3.4
227056_at	AA181172	KIAA0141 gene product	KIAA0141	150.8	88.8	-0.6	101.9	64.4	-0.9
200617_at	NM_014730	KIAA0152 gene product	KIAA0152	405.4	89.3	-1.5	264.8	79.7	-2
212846_at	AA811192	KIAA0179	KIAA0179	733.1	456.6	-0.8	501.7	169.6	-1.7
208952_s_at	AA811923	KIAA0217	KIAA0217	167.1	86.7	-0.8	207.1	110.9	-0.9
212264_s_at	BE645850	KIAA0261	KIAA0261	261.6	163.1	-0.7	297.7	123.8	-1.1
225611_at	AI922968	KIAA0303 protein	KIAA0303	1042.5	718	-0.6	1033.5	537.2	-0.9
202713_s_at	AA129755	KIAA0391	KIAA0391	416.4	237.8	-0.8	409.4	250.8	-0.8
201778_s_at	NM_014774	KIAA0494 gene product	KIAA0494	3731.7	1576	-1.2	2928.6	898.9	-1.7
212068_s_at	AB011087	KIAA0515	KIAA0515	506.2	385.4	-0.5	418.2	200.7	-1.2
212675_s_at	AB011154	KIAA0582	KIAA0582	654.5	420.4	-0.8	605.2	150.8	-1.5
205631_at	NM_014749	KIAA0586	KIAA0586	107.5	39.3	-0.9	108.1	54.3	-0.9
203364_s_at	NM_014741	KIAA0652 gene product	KIAA0652	192.2	105.8	-0.8	231.9	82.9	-1.3
213099_at	AB018302	KIAA0759	KIAA0759	123	78	-1	146.9	68.1	-0.8
213351_s_at	AB018322	KIAA0779 protein	KIAA0779	399.8	162.1	-1.3	309.8	84.7	-1.5
212546_s_at	AI126634	KIAA0826	KIAA0826	731.9	341	-1	609.4	271.7	-1.2
243495_s_at	AL036450	KIAA0924 protein	KIAA0924	277.6	124.3	-1.2	306.2	101.1	-1.6
213894_at	BF447246	KIAA0960 protein	KIAA0960	504.6	494.7	0	550.4	141.8	-1.7
200860_s_at	BC000779	KIAA1007 protein	KIAA1007	1010.8	595.7	-0.7	1028.7	408.4	-1.4
203940_s_at	NM_014909	KIAA1036	KIAA1036	414.5	172.4	-1.6	254.1	147.3	-0.8
215146_s_at	AB028966	KIAA1043 protein	KIAA1043	310.4	176.6	-0.7	160.2	78.1	-1.4
212327_at	AK026815	KIAA1102 protein	KIAA1102	521	367.4	-0.4	306.6	61.4	-1.8
224576_at	AK000752	endoplasmic reticulum-golgi intermediate compartment 32 kDa protein	KIAA1181	307.5	113.3	-1.3	464.2	232.7	-1
225045_at	AB033038	KIAA1212	KIAA1212	197.5	94.7	-1.1	127.6	28	-1.8
221736_at	AA156777	KIAA1219 protein /// KIAA1219 protein	KIAA1219	318.1	172	-0.8	320.5	151.6	-1.2
225978_at	AW409794	KIAA1238 protein	KIAA1238	202	106.9	-1	286.4	129.7	-1.2
225499_at	AW296194	KIAA1272 protein	KIAA1272	442.4	309.6	-0.5	450.9	221.2	-1.1
233759_s_at	AK026437	KIAA1387 protein	KIAA1387	377.6	126.5	-1.5	449	60.1	-2.7
224826_at	AK001947	hypothetical protein KIAA1434	KIAA1434	257.2	145.4	-0.7	269	145.6	-0.8
225922_at	BE501838	KIAA1450 protein	KIAA1450	539.8	318.1	-0.9	365.5	224.5	-0.9
227228_s_at	AB040942	KIAA1509	KIAA1509	144	74.5	-0.8	134.6	57.6	-1.2
225525_at	AB051458	KIAA1671 protein /// Pleckstrin homology domain containing, family M (with RUN domain) member 1	KIAA1671 /// PLEKHM1	1232.5	528.7	-1.3	1017.7	365.5	-1.5
226691_at	AI936523	KIAA1856 protein	KIAA1856	353.3	135.7	-1.3	246.4	117.4	-1.2
225913_at	AK025943	KIAA2002 protein	KIAA2002	879.7	450.3	-0.7	830.7	457.3	-1
209234_at	BF939474	kinesin family member 1B	KIF1B	207.2	111.9	-0.8	178.2	89.8	-1.1
225205_at	AI819734	kinesin family member 3B	KIF3B	284.2	79.9	-2	235	46.7	-2
201991_s_at	BF223224	kinesin family member 5B	KIF5B	1668.6	873	-0.9	1753.9	793.7	-1
220239_at	NM_018846	kelch-like 7 (Drosophila)	KLHL7	210.3	79.5	-1.1	130.7	66.1	-0.9
223205_s_at	AI985709	l(3)mbt-like 2 (Drosophila)	L3MBTL2	146.6	118.7	-0.7	169.6	108.4	-0.9
216081_at	AK027151	laminin, alpha 4	LAMA4	183.1	87.3	-1.2	183.7	112.9	-0.8
205569_at	NM_014398	lysosomal-associated membrane protein 3	LAMP3	1443.1	1061.9	-0.5	1175.6	129.4	-3.3
212408_at	AK023204	lamina-associated polypeptide 1B	LAP1B	467.2	247.9	-0.7	402.3	130.5	-1.5
206481_s_at	NM_001290	LIM domain binding 2	LDB2	1533.7	721.8	-1.1	1069.5	292.6	-1.8
211356_x_at	U66495	leptin receptor	LEPR	871.1	659.8	-0.3	646.2	274.8	-1.2
228762_at	AW151924	lunatic fringe homolog (Drosophila)	LFNG	108.1	40.8	-1.1	107.3	26.6	-1.7
218253_s_at	NM_006893	ligatin	LGTN	634.5	304.7	-1	587.2	214.3	-1.3
216804_s_at	AK027217	LIM protein (similar to rat protein kinase C-binding enigma)	LIM	650.7	485.7	-0.4	632.8	295	-1.1
212687_at	AL110164	LIM and senescent cell antigen-like domains 1	LIMS1	2720.8	1755.4	-0.6	3768.3	1819.3	-1
201847_at	NM_000235	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	LIPA	1249.3	591.2	-1.2	876.9	283.1	-1.6
226119_at	AA453163	similar to hypothetical protein FLJ10883	LOC115294	511.8	302.2	-0.9	561.2	274.3	-1.3
228489_at	AI721164	hypothetical protein BC014339	LOC116441	2840.6	612.2	-2.1	2425.8	394.8	-2.5
229910_at	AI797276	Hypothetical protein LOC126669	LOC126669	942.9	372.6	-1.3	818.8	193.7	-2.1
1568619_s_at	BC015343	Hypothetical protein LOC162073	LOC162073	318	98	-1.8	460.6	148.2	-1.4
