Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
FOXF1	A_23_P118254	chr16:86547686-86547745	FOXF1	NM_001451	Forkhead box F1	molecular function|DNA binding|IDA|GO:0003677|GOA|9769171//molecular function|protein binding|TAS|GO:0005515|GOA|9722567//molecular function|sequence-specific DNA binding|ISS|GO:0043565|GOA|7957066//molecular function|transcription activator activity|IDA|GO:0016563|GOA|ARRAY(0xd581a8)//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|branching involved in lung morphogenesis|IEA|GO:0060441|GOA|na//biological process|determination of left/right symmetry|IEA|GO:0007368|GOA|na//biological process|embryonic foregut morphogenesis|IEA|GO:0048617|GOA|na//biological process|embryonic gut development|IEA|GO:0048566|GOA|na//biological process|establishment of epithelial cell apical/basal polarity|IEA|GO:0045198|GOA|na//biological process|extracellular matrix organization|IEA|GO:0030198|GOA|na//biological process|in utero embryonic development|IEA|GO:0001701|GOA|na//biological process|lung alveolus development|IEA|GO:0048286|GOA|na//biological process|lung lobe morphogenesis|IEA|GO:0060463|GOA|na//biological process|mesoderm development|IEA|GO:0007498|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|ARRAY(0x156f190)//biological process|right lung morphogenesis|IEA|GO:0060461|GOA|na//biological process|smooth muscle cell differentiation|IEA|GO:0051145|GOA|na//biological process|smoothened signaling pathway|IEA|GO:0007224|GOA|na//biological process|trachea development|IEA|GO:0060438|GOA|na//biological process|vasculogenesis|IEA|GO:0001570|GOA|na//cellular component|nucleus|IC|GO:0005634|GOA|9769171//cellular component|transcription factor complex|TAS|GO:0005667|GOA|9722567	F	0.8406	-1.1896	0.000009271	590.8309	494.0769	13
	A_23_P11902						F	0.8447	-1.1839	0.0029	11.9898	10.0861	13
ATF5	A_23_P119337	chr19:50436754-50436813	ATF5	NM_012068	Activating transcription factor 5	molecular function|RNA polymerase II transcription factor activity|IEA|GO:0003702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12812986//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription corepressor activity|TAS|GO:0003714|GOA|10373550//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|anti-apoptosis|IEA|GO:0006916|GOA|na//biological process|negative regulation of astrocyte differentiation|IEA|GO:0048712|GOA|na//biological process|negative regulation of neurogenesis|IEA|GO:0050768|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|IEA|GO:0006357|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	F	0.7946	-1.2585	7.22E-10	16803.7832	13274.2969	13
RHPN2	A_23_P119464	chr19:33470866-33470925	RHPN2	NM_033103	Rhophilin, Rho GTPase binding protein 2	molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na	M	1.1584	1.1584	5.45E-10	899.699	1041.854	13
TGFBRAP1	A_23_P120146	chr2:105883898-105883957	TGFBRAP1	NM_004257	Transforming growth factor, beta receptor associated protein 1	molecular function|SMAD binding|IDA|GO:0046332|GOA|11278302//molecular function|protein binding|IPI|GO:0005515|GOA|11278302//molecular function|small GTPase regulator activity|IEA|GO:0005083|GOA|na//molecular function|transforming growth factor beta receptor binding|IDA|GO:0005160|GOA|11278302//biological process|regulation of transcription|IDA|GO:0045449|GOA|11278302//biological process|signal transduction|IDA|GO:0007165|GOA|11278302//biological process|transforming growth factor beta receptor signaling pathway|TAS|GO:0007179|GOA|9545258//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|membrane|IDA|GO:0016020|GOA|11278302	F	0.8306	-1.204	2.56E-06	205.9983	167.3443	13
SULT1B1	A_23_P121622	chr4:70592722-70592782	SULT1B1	D89479	Sulfotransferase family, cytosolic, 1B, member 1	molecular function|aryl sulfotransferase activity|IEA|GO:0004062|GOA|na//molecular function|sulfotransferase activity|IDA|GO:0008146|GOA|9463486//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|cellular biogenic amine metabolic process|TAS|GO:0006576|GOA|9443824//biological process|phenol metabolic process|IDA|GO:0018958|GOA|9463486//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//biological process|thyroid hormone metabolic process|IDA|GO:0042403|GOA|9443824//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|NAS|GO:0005829|GOA|9463486	F	0.8683	-1.1516	0.00008369	715.8384	624.6198	12
SORCS2	A_23_P121665	chr4:7744241-7744300	SORCS2	NM_020777	Sortilin-related VPS10 domain containing receptor 2	molecular function|neuropeptide receptor activity|NAS|GO:0008188|GOA|11499680//biological process|neuropeptide signaling pathway|NAS|GO:0007218|GOA|11499680//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|NAS|GO:0016020|GOA|11499680	F	0.8435	-1.1855	0.0001	164.0933	137.2841	13
TOX	A_23_P123413	chr8:59720039-59720098	TOX	NM_014729	Thymocyte selection-associated high mobility group box	molecular function|DNA binding|IEA|GO:0003677|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8232	-1.2148	0.0014	58.8984	48.4048	13
TGFBR1	A_23_P123943	chr9:101912197-101912256	TGFBR1	NM_004612	Transforming growth factor, beta receptor 1	molecular function|ATP binding|IDA|GO:0005524|GOA|12065756//molecular function|SMAD binding|IDA|GO:0046332|GOA|ARRAY(0x12c9fbc)//molecular function|SMAD binding|IPI|GO:0046332|GOA|ARRAY(0x29373a0)//molecular function|growth factor binding|IPI|GO:0019838|GOA|14517293//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2a17f20)//molecular function|protein complex binding|IEA|GO:0032403|GOA|na//molecular function|protein heterodimerization activity|IDA|GO:0046982|GOA|1333888//molecular function|protein serine/threonine kinase activity|IDA|GO:0004674|GOA|ARRAY(0x490dd28)//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transforming growth factor beta binding|IDA|GO:0050431|GOA|ARRAY(0x42caab0)//molecular function|transforming growth factor beta binding|IMP|GO:0050431|GOA|1333888//molecular function|transforming growth factor beta binding|IPI|GO:0050431|GOA|1326540//molecular function|transforming growth factor beta receptor activity|IC|GO:0005024|GOA|1326540//molecular function|transforming growth factor beta receptor activity|IDA|GO:0005024|GOA|14633705//molecular function|transforming growth factor beta receptor activity|IMP|GO:0005024|GOA|18625725//molecular function|transforming growth factor beta receptor activity|IMP|GO:0005024|GOA|1333888//molecular function|transforming growth factor beta receptor activity, type I|IDA|GO:0005025|GOA|8752209//molecular function|transmembrane receptor protein serine/threonine kinase activity|IDA|GO:0004675|GOA|12015308//molecular function|type II transforming growth factor beta receptor binding|IDA|GO:0005114|GOA|11157754//molecular function|type II transforming growth factor beta receptor binding|IPI|GO:0005114|GOA|1333888//molecular function|ubiquitin protein ligase binding|IEA|GO:0031625|GOA|na//biological process|activation of MAPKK activity|IDA|GO:0000186|GOA|18625725//biological process|aging|IEA|GO:0007568|GOA|na//biological process|anterior/posterior pattern formation|ISS|GO:0009952|GOA|na//biological process|artery morphogenesis|ISS|GO:0048844|GOA|na//biological process|blastocyst development|IEA|GO:0001824|GOA|na//biological process|cell motility|IMP|GO:0048870|GOA|18625725//biological process|collagen fibril organization|ISS|GO:0030199|GOA|na//biological process|embryo implantation|IEA|GO:0007566|GOA|na//biological process|embryonic cranial skeleton morphogenesis|ISS|GO:0048701|GOA|na//biological process|embryonic development|IEA|GO:0009790|GOA|na//biological process|germ cell migration|ISS|GO:0008354|GOA|na//biological process|gut development|IEA|GO:0048565|GOA|na//biological process|heart development|ISS|GO:0007507|GOA|na//biological process|in utero embryonic development|ISS|GO:0001701|GOA|na//biological process|induction of apoptosis|IEA|GO:0006917|GOA|na//biological process|kidney development|ISS|GO:0001822|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|negative regulation of apoptosis|IEA|GO:0043066|GOA|na//biological process|negative regulation of endothelial cell differentiation|IEA|GO:0045602|GOA|na//biological process|neuron fate commitment|ISS|GO:0048663|GOA|na//biological process|organ regeneration|IEA|GO:0031100|GOA|na//biological process|palate development|ISS|GO:0060021|GOA|na//biological process|parathyroid gland development|ISS|GO:0060017|GOA|na//biological process|pathway-restricted SMAD protein phosphorylation|IDA|GO:0060389|GOA|ARRAY(0x1b64fec)//biological process|peptidyl-serine phosphorylation|IDA|GO:0018105|GOA|12015308//biological process|peptidyl-threonine phosphorylation|IDA|GO:0018107|GOA|12015308//biological process|pharyngeal system development|ISS|GO:0060037|GOA|na//biological process|positive regulation of SMAD protein nuclear translocation|IDA|GO:0060391|GOA|9389648//biological process|positive regulation of cell growth|IDA|GO:0030307|GOA|18625725//biological process|positive regulation of cell proliferation|IMP|GO:0008284|GOA|14633705//biological process|positive regulation of cellular component movement|IMP|GO:0051272|GOA|18625725//biological process|positive regulation of filopodium assembly|IEA|GO:0051491|GOA|na//biological process|positive regulation of pathway-restricted SMAD protein phosphorylation|IDA|GO:0010862|GOA|ARRAY(0x42f8de8)//biological process|positive regulation of protein kinase B signaling cascade|IDA|GO:0051897|GOA|18625725//biological process|positive regulation of survival gene product expression|IMP|GO:0045885|GOA|18625725//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|ARRAY(0x1c01f68)//biological process|post-embryonic development|IEA|GO:0009791|GOA|na//biological process|protein amino acid autophosphorylation|IEA|GO:0046777|GOA|na//biological process|protein amino acid phosphorylation|IDA|GO:0006468|GOA|12065756//biological process|regulation of transcription|IDA|GO:0045449|GOA|14517293//biological process|regulation of transcription|IMP|GO:0045449|GOA|15702480//biological process|response to cholesterol|IDA|GO:0070723|GOA|17878231//biological process|response to electrical stimulus|IEA|GO:0051602|GOA|na//biological process|response to estrogen stimulus|IEA|GO:0043627|GOA|na//biological process|response to hypoxia|IEA|GO:0001666|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to prostaglandin E stimulus|IEA|GO:0034695|GOA|na//biological process|response to toxin|IEA|GO:0009636|GOA|na//biological process|signal transduction|IDA|GO:0007165|GOA|14633705//biological process|skeletal system development|ISS|GO:0001501|GOA|na//biological process|skeletal system morphogenesis|ISS|GO:0048705|GOA|na//biological process|thymus development|ISS|GO:0048538|GOA|na//biological process|transforming growth factor beta receptor signaling pathway|IC|GO:0007179|GOA|1326540//biological process|transforming growth factor beta receptor signaling pathway|IDA|GO:0007179|GOA|ARRAY(0x12e3148)//biological process|transforming growth factor beta receptor signaling pathway|IMP|GO:0007179|GOA|1333888//cellular component|apical plasma membrane|IEA|GO:0016324|GOA|na//cellular component|basolateral plasma membrane|IEA|GO:0016323|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x2e536fc)//cellular component|plasma membrane part|IDA|GO:0044459|GOA|17878231//cellular component|receptor complex|IDA|GO:0043235|GOA|8774881//cellular component|transforming growth factor beta receptor complex|IC|GO:0070022|GOA|1326540	M	1.1501	1.1501	5.61E-08	56.8486	65.4078	12
TMEFF2	A_23_P125383	chr2:192814946-192815005	TMEFF2	NM_016192	Transmembrane protein with EGF-like and two follistatin-like domains 2	molecular function|molecular_function|ND|GO:0003674|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|integral to membrane|NAS|GO:0016021|GOA|ARRAY(0x19f4750)//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.6094	-1.6409	2.55E-07	23.2783	13.9084	12
APBB1IP	A_23_P12549	chr10:26800780-26800835	APBB1IP	NM_019043	Amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x148ce90)//cellular component|focal adhesion|IEA|GO:0005925|GOA|na//cellular component|lamellipodium|IEA|GO:0030027|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.8326	-1.201	0.000086185	512.7938	422.834	13
RPS6KA6	A_23_P125596	chrX:83319259-83319318	RPS6KA6	NM_014496	Ribosomal protein S6 kinase, 90kDa, polypeptide 6	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|kinase activity|EXP|GO:0016301|GOA|11160957//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein kinase activity|TAS|GO:0004672|GOA|10644430//molecular function|protein serine/threonine kinase activity|IEA|GO:0004674|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|central nervous system development|TAS|GO:0007417|GOA|10644430//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|protein kinase cascade|IEA|GO:0007243|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|10644430//cellular component|cytosol|EXP|GO:0005829|GOA|12832467//cellular component|nucleoplasm|EXP|GO:0005654|GOA|11160957	M	1.1594	1.1594	0.000035376	23.2217	26.832	13
RNF186	A_23_P126248	chr1:20140654-20140713	RNF186	NM_019062	Ring finger protein 186	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.6563	-1.5237	7.05E-06	31.4225	20.747	12
ADCY10	A_23_P126313	chr1:167778976-167779035	ADCY10	NM_018417	Adenylate cyclase 10 (soluble)	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|adenylate cyclase activity|NAS|GO:0004016|GOA|9874775//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|activation of adenylate cyclase activity by G-protein signaling pathway|EXP|GO:0007189|GOA|14993377//biological process|activation of protein kinase A activity|EXP|GO:0034199|GOA|2165385//biological process|cAMP biosynthetic process|NAS|GO:0006171|GOA|9874775//biological process|hormone-mediated signaling pathway|EXP|GO:0009755|GOA|12626323//biological process|inhibition of adenylate cyclase activity by G-protein signaling pathway|EXP|GO:0007193|GOA|14993377//biological process|spermatogenesis|IEA|GO:0007283|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|cytosol|NAS|GO:0005829|GOA|9874775//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0xf18594)//cellular component|soluble fraction|TAS|GO:0005625|GOA|9874775	M	1.1601	1.1601	0.000053096	351.9416	410.1244	12
PPRC1	A_23_P127079	chr10:103909689-103909748	PPRC1	NM_015062	Peroxisome proliferator-activated receptor gamma, coactivator-related 1	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1919	1.1919	1.29E-10	1947.2439	2307.323	13
MRC1	A_23_P12746	chr10:18199506-18199565	MRC1	NM_002438	Mannose receptor, C type 1	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|mannose binding|TAS|GO:0005537|GOA|2373685//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|sugar binding|IEA|GO:0005529|GOA|na//biological process|receptor-mediated endocytosis|TAS|GO:0006898|GOA|2373685//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|1294118//cellular component|plasma membrane|TAS|GO:0005886|GOA|2373685	M	1.2871	1.2871	0.000052496	13510.3828	17405.7129	13
TMPRSS4	A_23_P127608	chr11:117989048-117989107	TMPRSS4	NM_019894	Transmembrane protease, serine 4	molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|scavenger receptor activity|IEA|GO:0005044|GOA|na//molecular function|serine-type endopeptidase activity|NAS|GO:0004252|GOA|10825129//biological process|proteolysis|NAS|GO:0006508|GOA|10825129//cellular component|integral to membrane|NAS|GO:0016021|GOA|10825129//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7401	-1.3512	0.0001	42.2429	31.9395	13
AHNAK	A_23_P127789	chr11:62296810-62296869	AHNAK	NM_001620	AHNAK nucleoprotein	molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|nervous system development|NAS|GO:0007399|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|1608957	F	0.6755	-1.4805	0.000010885	17.8309	11.9301	13
ZNF689	A_23_P129659	chr16:30615049-30615108	ZNF689	NM_138447	Zinc finger protein 689	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8539	-1.1711	0.0001	415.4615	354.0981	13
