ProbeName	p-value	FCAbsolute	regulation	[Group(DMH+Calcium)](raw)	[Group(DMH)](raw)	[Group(DMH+Calcium)](normalized)	[Group(DMH)](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_52_P213483	0.038446788	2.3619587	down	678.8113	1505.3712	3.0493815	4.2893653	AF045501	chr12:117100268-117100209		Mus musculus 6E6 monoclonal antibody heavy chain variable region, (IgH) mRNA, partial cds. [AF045501]	Mm.313480		ENSMUST00000109705	NP_049389
A_52_P416756	0.001606753	1.8012139	down	631.69025	1187.5946	3.1038563	3.9528258	AK075966	chr17:35134712-35134653	D17H6S56E-5	Mus musculus 13 days embryo liver cDNA, RIKEN full-length enriched library, clone:2510003D08 product:G7e protein, full insert sequence. [AK075966]	Mm.22506	110956		TC1654577
A_51_P472829	0.014312633	2.2455552	down	185.5913	418.09232	1.2799252	2.4469974	NM_145144	chr2:31828806-31828865	Aif1l	Mus musculus allograft inflammatory factor 1-like (Aif1l), mRNA [NM_145144]	Mm.24838	108897	ENSMUST00000001920	TC1575594
A_51_P465211	0.003518546	1.5396144	up	44270.137	30304.955	9.247209	8.6246395	NM_026323	chr2:164393935-164393994	Wfdc2	Mus musculus WAP four-disulfide core domain 2 (Wfdc2), mRNA [NM_026323]	Mm.27289	67701	ENSMUST00000109343	TC1579380
A_51_P489503	0.06320052	3.8334534	down	462.6212	1317.9264	2.1637342	4.102379	NM_175263	chr11:120515580-120515521	Notum	Mus musculus notum pectinacetylesterase homolog (Drosophila) (Notum), mRNA [NM_175263]	Mm.32839	77583	ENSMUST00000106177	TC1588352
A_51_P206585	0.020455932	1.5368484	down	52.239166	83.85264	-0.49453783	0.1254371	NM_009821	chr16:92604472-92604413	Runx1	Mus musculus runt related transcription factor 1 (Runx1), transcript variant 4, mRNA [NM_009821]	Mm.4081	12394	ENSMUST00000113956	TC1583025
A_52_P444368	0.029515496	1.5779482	up	176.92554	115.852776	1.2469454	0.5888955	NM_033604	chr9:70350806-70350747	Rnf111	Mus musculus ring finger 111 (Rnf111), mRNA [NM_033604]	Mm.29783	93836	ENSMUST00000113595	TC1615560
A_51_P492366	0.04174898	1.5360072	down	399.76102	635.0236	2.4310372	3.0502222	NM_007557	chr2:172695341-172695282	Bmp7	Mus musculus bone morphogenetic protein 7 (Bmp7), mRNA [NM_007557]	Mm.595	12162	ENSMUST00000009143	TC1581559
A_51_P334093	0.025319638	2.1740067	down	84.77118	180.58893	0.1076831	1.2280394	NM_026228	chr3:135549902-135549961	Slc39a8	Mus musculus solute carrier family 39 (metal ion transporter), member 8 (Slc39a8), transcript variant 3, mRNA [NM_026228]	Mm.30239	67547	ENSMUST00000081978	TC1649661
A_51_P369862	1.38E-05	2.0265205	down	1998.9701	4245.1978	4.7725463	5.791551	NM_178772	chr3:27143709-27143768	Nceh1	Mus musculus arylacetamide deacetylase-like 1 (Nceh1), mRNA [NM_178772]	Mm.24576	320024	ENSMUST00000046515	TC1763056
A_51_P423709	0.09650381	1.9321063	down	193.63667	354.0734	1.2531813	2.2033558	NM_029007	chr12:14154930-14154871	Fam84a	Mus musculus family with sequence similarity 84, member A (Fam84a), mRNA [NM_029007]	Mm.227253	105005	ENSMUST00000020926	NP_1218017
A_51_P349888	0.044524185	4.340158	down	548.80963	1974.4703	2.4160979	4.5338454	NM_007449	chr14:51815374-51815315	Ang2	Mus musculus angiogenin, ribonuclease A family, member 2 (Ang2), mRNA [NM_007449]	Mm.377077	11731	ENSMUST00000051274	NP_382325
A_52_P156314	0.02081764	1.8669626	up	51.40968	27.658392	-0.57256347	-1.4732565	NM_207707	chr12:77222370-77222311	Esr2	Mus musculus estrogen receptor 2 (beta) (Esr2), transcript variant 1, mRNA [NM_207707]	Mm.2561	13983	ENSMUST00000076634	NP_723042
A_51_P246119	0.021821989	1.9082574	down	474.17188	924.7951	2.6546621	3.5869179	NM_001081363	chr1:191465993-191465934	Cenpf	Mus musculus centromere protein F (Cenpf), mRNA [NM_001081363]	Mm.129746	108000	ENSMUST00000027900	TC1637499
A_52_P213527	0.000532023	1.7979689	down	385.69046	728.5372	2.400216	3.2465842	XM_001476823	chr6:69135068-69135009		predicted gene 10880 Gene [Source:MGI Symbol;Acc:MGI:3779447] [ENSMUST00000103344]	Mm.449734		ENSMUST00000103344	NP_050934
A_51_P303749	0.008359354	1.610769	down	345.18433	580.961	2.234343	2.9220927	NM_178683	chr13:109179573-109179632	Depdc1b	Mus musculus DEP domain containing 1B (Depdc1b), mRNA [NM_178683]	Mm.32318	218581	ENSMUST00000051594	TC1582514
A_51_P335969	0.00112767	2.0819483	up	6439.0977	3324.3728	6.4693933	5.411459	NM_010043	chr1:75363404-75363629	Des	Mus musculus desmin (Des), mRNA [NM_010043]	Mm.6712	13346	ENSMUST00000027409	TC1572490
A_51_P476757	0.06315612	2.061284	down	2947.5461	5650.3413	5.159511	6.2030544	XM_905362	chr12:116383778-116383719		Ig heavy chain V region 23 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P01748] [ENSMUST00000103523]	Mm.361298		ENSMUST00000103522	NP_1216382
A_52_P14626	0.000695979	1.8239229	down	439.09024	835.1833	2.5787754	3.44582	XM_001476590	chr6:69218100-69218041	LOC100047316	predicted gene 1502 Gene [Source:MGI Symbol;Acc:MGI:2686348] [ENSMUST00000103348]	Mm.333130	100047316	ENSMUST00000103348	NP_049355
A_51_P345121	0.007439563	1.7963336	down	58.23816	108.39947	-0.34495458	0.5001006	NM_001081110	chr6:71327330-71327389	Cd8a	Mus musculus CD8 antigen, alpha chain (Cd8a), transcript variant 1, mRNA [NM_001081110]	Mm.1858	12525		NP_570089
A_51_P254425	0.000905803	1.7647146	down	98.012215	180.7544	0.41806355	1.2374984	NM_009644	chr13:74348612-74348566	Ahrr	Mus musculus aryl-hydrocarbon receptor repressor (Ahrr), mRNA [NM_009644]	Mm.290446	11624	ENSMUST00000022059	TC1579597
A_52_P420466	0.00550776	1.5299739	down	71.60859	114.655334	-0.032643955	0.580863	NM_175660	chr13:23843392-23843451	Hist1h2ab	Mus musculus histone cluster 1, H2ab (Hist1h2ab), mRNA [NM_175660]	Mm.423402	319172	ENSMUST00000078369	TC1594441
A_52_P478420	0.001011395	1.6602887	up	202.11507	126.492775	1.4525906	0.7211564	AK086555	chr15:82205978-82205919	Cyp2d22	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930036L18 product:cytochrome P450, family 2, subfamily d, polypeptide 22, full insert sequence. [AK086555]		56448		TC1589783
A_51_P323579	0.020839486	1.6855947	down	53.936024	90.69354	-0.51727337	0.23598433	NM_023794	chr16:22383465-22383406	Etv5	Mus musculus ets variant gene 5 (Etv5), mRNA [NM_023794]	Mm.155708	104156	ENSMUST00000051229	TC1572047
A_52_P681310	0.009583443	1.5383735	down	915.5195	1475.3053	3.644225	4.2656307	NM_011113	chr7:25260569-25260628	Plaur	Mus musculus plasminogen activator, urokinase receptor (Plaur), mRNA [NM_011113]	Mm.1359	18793	ENSMUST00000002284	TC1581513
A_51_P333438	0.051921945	1.574861	up	609.8888	401.3876	3.0360222	2.3807976		chr9:79662971-79662912		Q8K4T4_RAT (Q8K4T4) Filamin-interacting protein L-FILIP, partial (22%) [TC1651696]				TC1651696
A_51_P114714	0.026790192	1.5061277	down	329.18057	518.2767	2.1661441	2.7569883	NM_023233	chr14:62224541-62224600	Trim13	Mus musculus tripartite motif-containing 13 (Trim13), transcript variant 2, mRNA [NM_023233]	Mm.479263	66597	ENSMUST00000039562	TC1580412
A_51_P501844	0.000261327	2.286694	up	352.38992	160.30426	2.256189	1.0629257	NM_175475	chr6:84522011-84521952	Cyp26b1	Mus musculus cytochrome P450, family 26, subfamily b, polypeptide 1 (Cyp26b1), transcript variant 1, mRNA [NM_175475]	Mm.255246	232174	ENSMUST00000077705	TC1583864
A_51_P102096	0.008531993	1.6119415	down	2816.5022	4776.36	5.269143	5.9579425	NM_010849	chr15:61821516-61821576	Myc	Mus musculus myelocytomatosis oncogene (Myc), transcript variant 1, mRNA [NM_010849]	Mm.2444	17869	ENSMUST00000022971	TC1574039
A_52_P131548	0.017503466	2.1311762	down	172.24678	367.58237	1.1683363	2.2599862	NM_010590	chr14:55186871-55186812	Jub	Mus musculus ajuba (Jub), mRNA [NM_010590]	Mm.100253	16475	ENSMUST00000054487	TC1593184
A_52_P104581	0.03800256	1.514431	down	2859.3533	4361.8423	5.22954	5.8283157	NM_029741	chr7:52594801-52594742	Ppfia3	Mus musculus protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 (Ppfia3), mRNA [NM_029741]	Mm.277235	76787	ENSMUST00000094439	TC1581164
A_51_P469942	7.54E-05	2.554389	up	69.07134	28.288507	-0.087403454	-1.4403816	NM_145136	chr11:64990465-64990406	Myocd	Mus musculus myocardin (Myocd), transcript variant A, mRNA [NM_145136]	Mm.32257	214384	ENSMUST00000108695	TC1595366
A_51_P252859	0.000451696	1.5767765	down	664.59863	1103.2435	3.189676	3.8466542	NM_010516	chr3:145310246-145310187	Cyr61	Mus musculus cysteine rich protein 61 (Cyr61), mRNA [NM_010516]	Mm.1231	16007	ENSMUST00000029846	TC1572761
A_51_P285725	0.005572706	2.8031976	down	34.431423	94.93701	-1.1830462	0.30402723	NM_009309	chr17:8634870-8634929	T	Mus musculus brachyury (T), mRNA [NM_009309]	Mm.913	20997	ENSMUST00000074667	TC1586132
A_51_P328275	0.000130353	4.89014	down	53.657135	263.8339	-0.5077393	1.7821364	AF296421	chr12:115947007-115946948	LOC100048770	Mus musculus clone J558.B4 immunoglobulin heavy chain variable region mRNA, partial cds. [AF296421]	Mm.379534	100048770	ENSMUST00000103505	NP_614463
A_51_P367462	0.000492272	2.2568462	down	64.30977	152.46803	-0.18919826	0.9851098	AF006582	chr12:114826537-114826478		predicted gene 9145 Gene [Source:MGI Symbol;Acc:MGI:3643263] [ENSMUST00000103443]	Mm.462717		ENSMUST00000103443	NP_921753
A_51_P178772	0.001396287	2.7889924	down	1766.3265	4843.181	4.49921	5.978954	NM_144930	chr8:95780284-95780225	AU018778	Mus musculus expressed sequence AU018778 (AU018778), mRNA [NM_144930]	Mm.29110	234564	ENSMUST00000034178	TC1578464
A_51_P145220	0.000791552	1.5464737	up	64.37354	43.719532	-0.18440938	-0.8133917	NM_008691	chr14:68738252-68738193	Nefm	Mus musculus neurofilament, medium polypeptide (Nefm), mRNA [NM_008691]	Mm.390700	18040	ENSMUST00000022638	TC1574924
A_52_P615247	0.002190668	1.7465806	down	463.08533	852.10596	2.669257	3.4737902	AK087744	chr1_random:751383-751324		RIKEN cDNA A530040E14 gene Gene [Source:MGI Symbol;Acc:MGI:3612703] [ENSMUST00000113384]	Mm.436517		ENSMUST00000111365	TC1581465
A_51_P170807	0.010793321	1.5778692	up	2004.7168	1313.4147	4.755548	4.0975704	AB021861	chr4:132808784-132808843	Map3k6	Mus musculus ASK2 mRNA for apoptosis signal-regulating kinase 2, complete cds. [AB021861]	Mm.36640	53608
A_51_P298802	0.004226679	1.6954939	down	187.1862	334.05164	1.3615575	2.1232631	NM_001002896	chr9:103327283-103327254	Bfsp2	Mus musculus beaded filament structural protein 2, phakinin (Bfsp2), mRNA [NM_001002896]	Mm.335403	107993	ENSMUST00000035165	TC1581862
A_51_P254855	0.000152559	2.8746915	down	86.40683	266.00308	0.24859135	1.7719984	NM_011198	chr1:151954744-151954803	Ptgs2	Mus musculus prostaglandin-endoperoxide synthase 2 (Ptgs2), mRNA [NM_011198]	Mm.292547	19225	ENSMUST00000035065	TC1575619
A_52_P465669	0.005227682	1.555059	down	35.610107	57.800434	-1.0459219	-0.40895256		chr6:64122690-64122518
A_52_P505143	0.050086297	1.6154554	down	132.1357	215.1435	0.7965204	1.4884614	NM_008415	chr15:74535526-74535467	Jrk	Mus musculus jerky (Jrk), mRNA [NM_008415]	Mm.87052	16469	ENSMUST00000050234	TC1577101
A_51_P273667	0.012261761	2.2102582	down	429.7395	952.67554	2.489164	3.633379	NM_011441	chr1:4481949-4481890	Sox17	Mus musculus SRY-box containing gene 17 (Sox17), mRNA [NM_011441]	Mm.279103	20671	ENSMUST00000116652	TC1595463
A_51_P304607	0.000293242	1.7985271	down	204.1001	387.3746	1.479524	2.32634	NM_145551	chr4:111548938-111548879	Slc5a9	Mus musculus solute carrier family 5 (sodium/glucose cotransporter), member 9 (Slc5a9), mRNA [NM_145551]	Mm.26630	230612	ENSMUST00000102720	TC1584530
A_51_P393518	0.005146003	1.5666567	up	93.42016	62.41759	0.35037366	-0.29731545	NM_001024720	chr1:152410493-152410434	Hmcn1	Mus musculus hemicentin 1 (Hmcn1), mRNA [NM_001024720]	Mm.379425	545370	ENSMUST00000074783	TC1604028
A_51_P168646	0.012973503	1.8168166	up	323.9104	182.45747	2.110965	1.2495522	AK149219	chr14:68706866-68706925	Nefl	neurofilament, light polypeptide Gene [Source:MGI Symbol;Acc:MGI:97313] [ENSMUST00000022639]	Mm.1956	18039	ENSMUST00000022639	TC1607814
A_51_P365008	0.010381152	1.8449169	up	14587.2705	8463.826	7.636148	6.752592	NM_027884	chr1:73956907-73956848	Tns1	Mus musculus tensin 1 (Tns1), mRNA [NM_027884]	Mm.309975	21961		TC1702789
A_52_P578634	0.003380507	1.6909617	up	6289.862	3889.3547	6.4223084	5.6644645	NM_033612	chr15:100515073-100515014	Cela1	Mus musculus chymotrypsin-like elastase family, member 1 (Cela1), mRNA [NM_033612]	Mm.2131	109901	ENSMUST00000023775	TC1696591
A_51_P144303	0.000585909	1.7626029	up	76.09724	45.34535	0.054638863	-0.7630687	BC138739	chr8:86193681-86193740	Ptger1	Mus musculus prostaglandin E receptor 1 (subtype EP1), mRNA (cDNA clone MGC:170366 IMAGE:8861761), complete cds. [BC138739]	Mm.474430	19216
A_51_P501002	0.001007818	1.547084	up	42.25365	28.343744	-0.81119704	-1.4407486	AK017575	chr1:78591754-78591695	5730419F03Rik	Mus musculus 8 days embryo whole body cDNA, RIKEN full-length enriched library, clone:5730419F03 product:unclassifiable, full insert sequence. [AK017575]	Mm.462998	70537		NP_741061
A_52_P512955	0.001715464	1.6669643	down	82.83191	146.11855	0.18651748	0.9237407	NM_028390	chr9:22142382-22138566	Anln	Mus musculus anillin, actin binding protein (Anln), mRNA [NM_028390]	Mm.282751	68743	ENSMUST00000040912	TC1617199
A_51_P367563	0.017104164	1.5803947	down	524.80035	857.10284	2.8210042	3.4812891	NM_025789	chr17:8139154-8145458	Rsph3a	Mus musculus radial spoke 3A homolog (Chlamydomonas) (Rsph3a), mRNA [NM_025789]	Mm.359991	66832	ENSMUST00000024572	TC1773185
A_51_P481920	0.007302204	1.7956631	down	2651.3894	4950.687	5.1672363	6.011753	NM_009828	chr3:36464037-36463978	Ccna2	Mus musculus cyclin A2 (Ccna2), mRNA [NM_009828]	Mm.4189	12428	ENSMUST00000029270	TC1572126
A_51_P344566	0.086385176	1.6956699	down	911.79596	1543.0558	3.565715	4.3275704	NM_011121	chr7:129313220-129313279	Plk1	Mus musculus polo-like kinase 1 (Drosophila) (Plk1), mRNA [NM_011121]	Mm.16525	18817	ENSMUST00000033154	TC1572403
A_52_P357611	0.09035656	1.5657343	up	157.89201	104.54798	1.0686792	0.42183986	NM_016720	chr7:106960012-106959953	Neu3	Mus musculus neuraminidase 3 (Neu3), mRNA [NM_016720]	Mm.103703	50877	ENSMUST00000036331	TC1586763
A_52_P96782	0.009842628	1.6847639	up	427.3589	262.98196	2.5301776	1.7776312	NM_028459	chr6:24584587-24583890	Wasl	Mus musculus Wiskott-Aldrich syndrome-like (human) (Wasl), transcript variant 1, mRNA [NM_028459]	Mm.1574	73178	ENSMUST00000041737	TC1731506
A_52_P301085	0.017882783	1.5675757	down	189.1101	306.58652	1.3485323	1.9970675	NM_178788	chr8:49226475-49226534	Dctd	Mus musculus dCMP deaminase (Dctd), transcript variant 1, mRNA [NM_178788]	Mm.121549	320685	ENSMUST00000033966	TC1577659
A_52_P523459	0.007385995	1.9850565	down	1226.609	2504.1243	4.0382843	5.0274644	NM_009851	chr2:102651726-102651667	Cd44	Mus musculus CD44 antigen (Cd44), transcript variant 1, mRNA [NM_009851]	Mm.423621	12505	ENSMUST00000005218
A_52_P668285	0.001035801	1.7404833	down	97.23535	178.56342	0.4182969	1.2177849	NM_011495	chr3:40615898-40616037	Plk4	Mus musculus polo-like kinase 4 (Drosophila) (Plk4), mRNA [NM_011495]	Mm.3794	20873	ENSMUST00000026858	NP_854312
A_51_P171510	0.008685296	1.5366222	up	1799.955	1216.9574	4.6045303	3.984768	NM_001011811	chr7:115355873-115355814	Olfr487	Mus musculus olfactory receptor 487 (Olfr487), mRNA [NM_001011811]	Mm.377337	258042	ENSMUST00000081996	TC1600659
A_51_P514085	0.029952386	1.5444925	down	981.27295	1559.3873	3.718441	4.345574	NM_013606	chr16:97782327-97782386	Mx2	Mus musculus myxovirus (influenza virus) resistance 2 (Mx2), mRNA [NM_013606]	Mm.14157	17858	ENSMUST00000024112	TC1584229
A_51_P317427	0.001303634	1.6314821	down	724.6115	1249.3713	3.3173568	4.02354	NM_177420	chr19:15980029-15979970	Psat1	Mus musculus phosphoserine aminotransferase 1 (Psat1), mRNA [NM_177420]	Mm.289936	107272	ENSMUST00000025542	TC1573903
A_52_P33287	0.009114029	1.5222504	down	430.13577	699.46564	2.566929	3.1731348	NM_011561	chr10:82112311-82112370	Tdg	Mus musculus thymine DNA glycosylase (Tdg), transcript variant 1, mRNA [NM_011561]	Mm.347607	21665	ENSMUST00000092266	TC1572236
A_52_P463637	0.005045721	2.2180312	down	111.26062	272.3319	0.6072946	1.7565742	AY895789	chr12:114666800-114666741		Mus musculus clone RLS1478F immunoglobulin heavy chain (Igh) mRNA, partial cds. [AY895789]				NP_614402
A_52_P200458	0.02784193	1.5475743	up	2595.7463	1733.7656	5.1294837	4.499475	NM_010242	chr9:14553283-14553224	Fut4	Mus musculus fucosyltransferase 4 (Fut4), mRNA [NM_010242]	Mm.63450	14345		TC1585571
A_52_P8100	0.01743557	1.581035	down	62.196056	103.10984	-0.23673034	0.42413902	NM_023564	chr11:69661074-69661319	Plscr3	Mus musculus phospholipid scramblase 3 (Plscr3), transcript variant 1, mRNA [NM_023564]	Mm.28874	70310	ENSMUST00000152566	TC1698320
A_51_P422257	0.018822283	1.5098273	up	58.60513	41.281925	-0.31515074	-0.9095343	NM_010131	chr6:85144192-85153937	Emx1	Mus musculus empty spiracles homolog 1 (Drosophila) (Emx1), mRNA [NM_010131]	Mm.391473	13796	ENSMUST00000045942	TC1588999
A_52_P120037	0.0396629	1.6028223	down	9478.198	14518.456	6.884875	7.5654893	NM_010128	chr6:135332885-135332944	Emp1	Mus musculus epithelial membrane protein 1 (Emp1), mRNA [NM_010128]	Mm.182785	13730	ENSMUST00000111907	TC1682741
A_52_P279294	0.003772508	1.5417814	down	55.53415	88.75004	-0.4148272	0.20977099	NM_029823	chrX:132529484-132529543	2900062L11Rik	Mus musculus RIKEN cDNA 2900062L11 gene (2900062L11Rik), mRNA [NM_029823]	Mm.328305	76976	ENSMUST00000058119	TC1677001
A_51_P294161	0.000308015	1.8694887	down	84.21034	166.18823	0.21159594	1.1142397	NM_197997	chr3:127319307-127319366	4930422G04Rik	Mus musculus RIKEN cDNA 4930422G04 gene (4930422G04Rik), mRNA [NM_197997]	Mm.274884	71643	ENSMUST00000043108	TC1616882
A_52_P180310	0.024864221	1.7418609	up	85.88993	48.17893	0.1284225	-0.6722069	AK042645	chr11:96712375-96712434		Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730013F24 product:unclassifiable, full insert sequence. [AK042645]	Mm.22144			TC1633560
A_51_P470630	0.030224709	1.7446924	up	80.732155	46.036804	0.0628469	-0.74012583	NM_029809	chr7:13516229-13516288	2310014L17Rik	Mus musculus RIKEN cDNA 2310014L17 gene (2310014L17Rik), mRNA [NM_029809]	Mm.439896	381845	ENSMUST00000045870	TC1584415
A_52_P551154	0.010291862	1.5680852	down	958.7082	1569.5903	3.7049007	4.3539047		chr4:107088863-107088922	Tmem48	transmembrane protein 48 Gene [Source:MGI Symbol;Acc:MGI:1920037] [ENSMUST00000139560]		72787	ENSMUST00000139560	TC1652077
A_51_P191649	0.005966777	1.7150043	down	66.47708	119.97549	-0.13987295	0.6383392	NM_023294	chr17:71861755-71860793	Ndc80	Mus musculus NDC80 homolog, kinetochore complex component (S. cerevisiae) (Ndc80), mRNA [NM_023294]	Mm.225956	67052	ENSMUST00000024851	TC1578485
A_52_P30641	0.04618988	2.2116373	down	196.98613	414.73682	1.280156	2.4252708	DQ372749	chr6:68860899-68860655		Mus musculus clone BL6immB-20 immunoglobulin kappa light chain mRNA, partial cds. [DQ372749]			ENSMUST00000103337	TC1668130
A_51_P112405	0.001671478	1.5214539	down	533.50525	857.3084	2.8764699	3.4819205	NM_011113	chr7:25259315-25259374	Plaur	Mus musculus plasminogen activator, urokinase receptor (Plaur), mRNA [NM_011113]	Mm.1359	18793	ENSMUST00000002284	TC1581513
A_52_P162099	0.05585352	1.8125997	down	140.54803	258.07898	0.8738963	1.7319566	NM_001004140	chr8:23279443-23279384	Ckap2	Mus musculus cytoskeleton associated protein 2 (Ckap2), mRNA [NM_001004140]	Mm.22448	80986	ENSMUST00000046916	TC1648084
A_52_P229981	0.015005546	6.2901006	down	857.8934	3711.3586	2.9417388	5.594822	NM_145932	chr16:32475930-32475871	Osta	Mus musculus organic solute transporter alpha (Osta), mRNA [NM_145932]	Mm.476915	106407	ENSMUST00000042042	TC1582847
A_51_P407053	8.49E-06	2.020131	down	146.76573	306.1125	0.9820473	1.9964962	NM_009851	chr2:102674479-102674420	Cd44	Mus musculus CD44 antigen (Cd44), transcript variant 1, mRNA [NM_009851]	Mm.423621	12505	ENSMUST00000111189	TC1660204
A_51_P248819	0.009297624	1.9232843	down	1316.285	2621.3489	4.148846	5.092418	NM_026505	chr18:3512455-3512514	Bambi	Mus musculus BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis) (Bambi), mRNA [NM_026505]	Mm.284863	68010	ENSMUST00000025075	TC1577865
A_51_P105709	0.03180723	1.5039546	down	486.837	763.03033	2.7258244	3.3145854	NM_027182	chr13:74050175-74050116	Trip13	Mus musculus thyroid hormone receptor interactor 13 (Trip13), mRNA [NM_027182]	Mm.275095	69716	ENSMUST00000022053	TC1578427
A_51_P302856	0.014107431	1.9118202	down	49.104584	99.063835	-0.6288994	0.30604744	NM_053215	chr5:87669766-87669707	Ugt2b37	Mus musculus UDP glucuronosyltransferase 2 family, polypeptide B37 (Ugt2b37), mRNA [NM_053215]	Mm.160362	112417	ENSMUST00000075858	TC1606243
A_51_P510914	0.001553597	1.6667447	down	801.03467	1406.6857	3.4609149	4.197948	AK013921	chr2:175872655-175872714		KRAB box and zinc finger, C2H2 type domain containing  [Source:RefSeq peptide;Acc:NP_001092778] [ENSMUST00000109055]	Mm.441314		ENSMUST00000109055
A_52_P433847	0.015021115	1.5869778	down	649.1926	1091.5955	3.1609535	3.8272355	NM_009514	chr10:75412265-75412324	Vpreb3	Mus musculus pre-B lymphocyte gene 3 (Vpreb3), mRNA [NM_009514]	Mm.333851	22364	ENSMUST00000121151	TC1705768
