Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P193011	chr11:69458639-69458698	CCND1	0	NM_053056	Cyclin D1	molecular function|cyclin-dependent protein kinase regulator activity|IEA|GO:0016538|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xaf0480)//molecular function|protein complex binding|IEA|GO:0032403|GOA|na//molecular function|protein kinase activity|IEA|GO:0004672|GOA|na//molecular function|protein kinase binding|IPI|GO:0019901|GOA|8114739//biological process|G1/S DNA damage checkpoint|IDA|GO:0031571|GOA|19412162//biological process|G1/S transition of mitotic cell cycle|IDA|GO:0000082|GOA|19412162//biological process|G1/S transition of mitotic cell cycle|TAS|GO:0000082|GOA|18483258//biological process|Leydig cell differentiation|IEA|GO:0033327|GOA|na//biological process|Wnt receptor signaling pathway through beta-catenin|IEA|GO:0060070|GOA|na//biological process|cell division|IEA|GO:0051301|GOA|na//biological process|endoplasmic reticulum unfolded protein response|IEA|GO:0030968|GOA|na//biological process|fat cell differentiation|IEA|GO:0045444|GOA|na//biological process|liver development|IEA|GO:0001889|GOA|na//biological process|negative regulation of Wnt receptor signaling pathway|IEA|GO:0030178|GOA|na//biological process|negative regulation of epithelial cell differentiation|IEA|GO:0030857|GOA|na//biological process|organ regeneration|IEA|GO:0031100|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|positive regulation of cyclin-dependent protein kinase activity|IDA|GO:0045737|GOA|8114739//biological process|positive regulation of protein amino acid phosphorylation|IDA|GO:0001934|GOA|8114739//biological process|re-entry into mitotic cell cycle|IEA|GO:0000320|GOA|na//biological process|regulation of cell cycle|IEA|GO:0051726|GOA|na//biological process|response to DNA damage stimulus|IDA|GO:0006974|GOA|19412162//biological process|response to UV-A|IDA|GO:0070141|GOA|18483258//biological process|response to X-ray|IEA|GO:0010165|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to corticosterone stimulus|IEA|GO:0051412|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to estrogen stimulus|IEA|GO:0043627|GOA|na//biological process|response to ethanol|IEA|GO:0045471|GOA|na//biological process|response to iron ion|IEA|GO:0010039|GOA|na//biological process|response to magnesium ion|IEA|GO:0032026|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to organic nitrogen|IEA|GO:0010243|GOA|na//biological process|response to vitamin E|IEA|GO:0033197|GOA|na//cellular component|cyclin-dependent protein kinase holoenzyme complex|IDA|GO:0000307|GOA|ARRAY(0xeaccf8)//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|9106657//cellular component|intracellular|IDA|GO:0005622|GOA|11256614//cellular component|nucleoplasm|EXP|GO:0005654|GOA|ARRAY(0xf8d468)//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	16	0.754	-1.3263	1.1454E-16	339.2097	251.8766
A_23_P145889	chr7:90747380-90747414	CDK14	0	NM_012395	Cyclin-dependent kinase 14	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|cyclin binding|IPI|GO:0030332|GOA|19524571//molecular function|cyclin-dependent protein kinase activity|IMP|GO:0004693|GOA|19524571//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1e96450)//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|G2/M transition of mitotic cell cycle|IDA|GO:0000086|GOA|na//biological process|Wnt receptor signaling pathway|IEA|GO:0016055|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell division|IEA|GO:0051301|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|regulation of Wnt receptor signaling pathway through beta-catenin|IDA|GO:0060828|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytoplasmic cyclin-dependent protein kinase holoenzyme complex|IDA|GO:0000308|GOA|19524571//cellular component|cytosol|IEA|GO:0005829|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|IDA|GO:0005886|GOA|19524571	F	14	0.8185	-1.2217	0.000000997	101.295	82.1495
A_24_P135319	chr15:57745940-57745999	CGNL1	0	NM_032866	Cingulin-like 1	molecular function|motor activity|IEA|GO:0003774|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|myosin complex|IEA|GO:0016459|GOA|na//cellular component|tight junction|IEA|GO:0005923|GOA|na	F	14	0.7475	-1.3377	1.9918E-07	68.56	51.0439
A_23_P145606	chr7:136700790-136700849	CHRM2	0	NM_001006632	Cholinergic receptor, muscarinic 2	molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|drug binding|IEA|GO:0008144|GOA|na//molecular function|muscarinic acetylcholine receptor activity|IEA|GO:0004981|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|EXP|GO:0007186|GOA|18240029//biological process|G-protein signaling, coupled to cAMP nucleotide second messenger|TAS|GO:0007188|GOA|8139539//biological process|G-protein signaling, coupled to cyclic nucleotide second messenger|TAS|GO:0007187|GOA|10895079//biological process|activation of phospholipase C activity by muscarinic acetylcholine receptor signaling pathway|TAS|GO:0007207|GOA|2739737//biological process|nervous system development|TAS|GO:0007399|GOA|2739737//biological process|regulation of heart contraction|TAS|GO:0008016|GOA|10544184//biological process|regulation of smooth muscle contraction|IEA|GO:0006940|GOA|na//biological process|response to virus|IEP|GO:0009615|GOA|16548883//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|asymmetric synapse|IEA|GO:0032279|GOA|na//cellular component|axon terminus|IEA|GO:0043679|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|dendrite|IEA|GO:0030425|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|3037705//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na//cellular component|plasma membrane|IDA|GO:0005886|GOA|11256614//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na//cellular component|symmetric synapse|IEA|GO:0032280|GOA|na	F	16	0.7521	-1.3296	5.1054E-17	22.2216	16.6428
A_23_P401472	chr1:240071981-240072040	CHRM3	0	NM_000740	Cholinergic receptor, muscarinic 3	molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|acetylcholine binding|IEA|GO:0042166|GOA|na//molecular function|drug binding|IEA|GO:0008144|GOA|na//molecular function|muscarinic acetylcholine receptor activity|IEA|GO:0004981|GOA|na//molecular function|phosphoinositide phospholipase C activity|TAS|GO:0004435|GOA|1905013//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|EXP|GO:0007186|GOA|18240029//biological process|cell proliferation|TAS|GO:0008283|GOA|8063729//biological process|digestion|IEA|GO:0007586|GOA|na//biological process|muscarinic acetylcholine receptor signaling pathway|IEA|GO:0007213|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|2739737//biological process|positive regulation of smooth muscle contraction|IEA|GO:0045987|GOA|na//biological process|protein modification process|TAS|GO:0006464|GOA|10051746//biological process|regulation of vascular smooth muscle contraction|IEA|GO:0003056|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|asymmetric synapse|IEA|GO:0032279|GOA|na//cellular component|axon terminus|IEA|GO:0043679|GOA|na//cellular component|basolateral plasma membrane|IEA|GO:0016323|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|dendrite|IEA|GO:0030425|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|3443095//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na	F	14	0.6558	-1.5249	2.0885E-08	17.9331	11.3877
A_24_P165949	chr3:190027965-190028024	CLDN1	0	NM_021101	Claudin 1	molecular function|PDZ domain binding|IEA|GO:0030165|GOA|na//molecular function|identical protein binding|ISS|GO:0042802|GOA|na//molecular function|structural molecule activity|IEA|GO:0005198|GOA|na//biological process|calcium-independent cell-cell adhesion|ISS|GO:0016338|GOA|na//biological process|cell adhesion|TAS|GO:0007155|GOA|9647647//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|myelination|IEA|GO:0042552|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|integral to membrane|TAS|GO:0016021|GOA|9931503//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9647647//cellular component|lateral plasma membrane|IEA|GO:0016328|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|tight junction|ISS|GO:0005923|GOA|na	F	15	0.7704	-1.298	9.7409E-18	3020.4917	2315.4749
A_24_P306425	chr12:122826165-122826224	CLIP1	0	NM_198240	CAP-GLY domain containing linker protein 1	molecular function|metal ion binding|NAS|GO:0046872|GOA|15928712//molecular function|microtubule binding|TAS|GO:0008017|GOA|10052454//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11940666//molecular function|protein homodimerization activity|TAS|GO:0042803|GOA|15928712//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|mitosis|TAS|GO:0007067|GOA|15928712//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|endosome|TAS|GO:0005768|GOA|1356075//cellular component|intermediate filament|TAS|GO:0005882|GOA|1600942//cellular component|kinetochore|TAS|GO:0000776|GOA|15928712//cellular component|microtubule|IEA|GO:0005874|GOA|na//cellular component|microtubule cytoskeleton|TAS|GO:0015630|GOA|10052454	F	16	0.6151	-1.6259	1.468E-16	930.2277	558.0667
A_32_P167471	chr14:95648617-95648676	CLMN	0	NM_024734	Calmin (calponin-like, transmembrane)	molecular function|actin binding|IEA|GO:0003779|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	14	1.2201	1.2201	6.1806E-06	2599.8682	3186.2341
A_23_P9869	chr18:72252138-72252197	CNDP1	0	NM_032649	Carnosine dipeptidase 1 (metallopeptidase M20 family)	molecular function|carboxypeptidase activity|IEA|GO:0004180|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|metallopeptidase activity|IEA|GO:0008237|GOA|na//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na	F	15	0.7797	-1.2826	2.9281E-06	11824.165	9132.4561
A_24_P17490	chr3:74313553-74313612	CNTN3	1	NM_020872	Contactin 3 (plasmacytoma associated)	molecular function|protein binding|IPI|GO:0005515|GOA|18272596//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	15	1.2992	1.2992	4.234E-15	216.2695	280.6779
A_23_P84399	chr7:148112791-148112850	CNTNAP2	0	NM_014141	Contactin associated protein-like 2	molecular function|receptor binding|IEA|GO:0005102|GOA|na//biological process|behavior|TAS|GO:0007610|GOA|18179893//biological process|brain development|TAS|GO:0007420|GOA|10624965//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|cellular protein localization|ISS|GO:0034613|GOA|na//biological process|cerebral cortex development|IEP|GO:0021987|GOA|ARRAY(0xe81e84)//biological process|clustering of voltage-gated potassium channels|ISS|GO:0045163|GOA|na//biological process|limbic system development|IEP|GO:0021761|GOA|18179895//biological process|neuron recognition|NAS|GO:0008038|GOA|10624965//biological process|signal transduction|IEA|GO:0007165|GOA|na//biological process|striatum development|IEP|GO:0021756|GOA|18179893//biological process|superior temporal gyrus development|IEP|GO:0071109|GOA|18179893//biological process|thalamus development|IEP|GO:0021794|GOA|18179893//biological process|transmission of nerve impulse|NAS|GO:0019226|GOA|11352571//cellular component|axolemma|TAS|GO:0030673|GOA|10624965//cellular component|cell body fiber|TAS|GO:0070852|GOA|10624965//cellular component|dendrite|TAS|GO:0030425|GOA|10624965//cellular component|integral to membrane|NAS|GO:0016021|GOA|11352571//cellular component|juxtaparanode region of axon|ISS|GO:0044224|GOA|na//cellular component|juxtaparanode region of axon|TAS|GO:0044224|GOA|10624965//cellular component|plasma membrane|TAS|GO:0005886|GOA|12963709//cellular component|voltage-gated potassium channel complex|TAS|GO:0008076|GOA|10624965	F	16	0.7336	-1.3632	8.7945E-24	293.8199	215.1317
A_24_P315120	chr9:101829168-101829227	COL15A1	0	NM_001855	Collagen, type XV, alpha 1	molecular function|extracellular matrix structural constituent|IC|GO:0005201|GOA|9651385//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|angiogenesis|IEA|GO:0001525|GOA|na//biological process|cell adhesion|IC|GO:0007155|GOA|9651385//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|signal transduction|NAS|GO:0007165|GOA|10891348//cellular component|basement membrane|IEA|GO:0005604|GOA|na//cellular component|collagen type XV|TAS|GO:0005582|GOA|9651385//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|integral to membrane|NAS|GO:0016021|GOA|10891348	M	14	1.4306	1.4306	0.000032324	12.3427	17.6016
A_24_P25452	chr14:74424991-74425050	COQ6	0	BC020966	coenzyme Q6 homolog, monooxygenase (S. cerevisiae)	molecular function|FAD binding|IEA|GO:0050660|GOA|na//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen|IEA|GO:0016709|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|ubiquinone biosynthetic process|IEA|GO:0006744|GOA|na//cellular component|mitochondrion|IDA|GO:0005739|GOA|11256614	F	14	0.8453	-1.1831	3.5476E-13	558.7529	472.5542
A_24_P532232	chr7:28865345-28865404	CREB5	0	NM_182899	CAMP responsive element binding protein 5	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|8440710//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|8378084//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|8378084//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8378084//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IC|GO:0005634|GOA|8378084	M	14	1.2664	1.2664	0.000015666	408.6657	506.4278
A_23_P170233	chr3:122060446-122060505	CSTA	0	NM_005213	Cystatin A (stefin A)	molecular function|cysteine-type endopeptidase inhibitor activity|IDA|GO:0004869|GOA|6203523//molecular function|protease binding|IPI|GO:0002020|GOA|6203523//molecular function|protein binding, bridging|IDA|GO:0030674|GOA|10908733//molecular function|structural molecule activity|IDA|GO:0005198|GOA|10908733//biological process|keratinocyte differentiation|IDA|GO:0030216|GOA|10908733//biological process|negative regulation of peptidase activity|IDA|GO:0010466|GOA|6203523//biological process|peptide cross-linking|IDA|GO:0018149|GOA|10908733//cellular component|cornified envelope|IDA|GO:0001533|GOA|10908733//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	M	16	1.5459	1.5459	1.3145E-14	2803.2258	4356.6641
A_23_P73117	chr10:67680009-67680068	CTNNA3	0	NM_013266	Catenin (cadherin-associated protein), alpha 3	molecular function|cadherin binding|TAS|GO:0045296|GOA|11590244//molecular function|protein binding|IPI|GO:0005515|GOA|11590244//molecular function|structural molecule activity|IEA|GO:0005198|GOA|na//biological process|cell-cell adhesion|IPI|GO:0016337|GOA|11590244//cellular component|actin cytoskeleton|IEA|GO:0015629|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|fascia adherens|IDA|GO:0005916|GOA|11590244//cellular component|lamellipodium|IEA|GO:0030027|GOA|na	F	15	0.7833	-1.2767	9.8065E-07	391.4824	306.1518
A_24_P281908	chr12:111655692-111655741	CUX2	0	NM_015267	cut-like homeobox 2	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|na//molecular function|transcription repressor activity|IEA|GO:0016564|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	M	16	1.8031	1.8031	0	119.905	217.1646
