Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.23	2435005	0	SELENBP1	selenium binding protein 1	8991	1q21.3	Q13228
0.23	2367743	0	PRDX6	peroxiredoxin 6	9588	1q25.1	P30041
0.23	3455946	0	EIF4B	eukaryotic translation initiation factor 4B	283335	12q13.13	na
0.23	3082590	0	LOC286161	hypothetical protein LOC286161	286161	8p23.3	na
0.23	4054117	0.1	TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	na	---	na
0.23	3988987	0.3	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	4694	Xq24	O15239
0.24	3289031	0	TIMM23	translocase of inner mitochondrial membrane 23 homolog (yeast)	10431	10q11.23	C9JV18
0.24	3493448	0	PIBF1	progesterone immunomodulatory binding factor 1	10464	13q22.1	Q8WXW3
0.24	3168385	0	GLIPR2	GLI pathogenesis-related 2	152007	9p13.3	Q9H4G4
0.24	2334932	0	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	1580	1p33	P13584
0.24	3308864	0	RAB11FIP2	RAB11 family interacting protein 2 (class I)	22841	10q26.11	Q7L804
0.24	2320048	0	LOC643387	TAR DNA binding protein pseuodgene	23435	1p36.22	Q13148
0.24	3252382	0	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	23522	10q22.2	Q8WYB5
0.24	2327219	0	STX12	syntaxin 12	23673	1p35.3	Q86Y82
0.24	3174121	0	RPL24	ribosomal protein L24	256691	9q21.11	Q7Z304
0.24	3620515	0	TMEM87A	transmembrane protein 87A	25963	15q15.1	Q8NBN3
0.24	2691014	0	GSK3B	glycogen synthase kinase 3 beta	2932	3q13.33	P49841
0.24	2583014	0	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	29994	2q24.2	Q9UIF8
0.24	2825733	0	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	3295	5q23.1	P51659
0.24	3199431	0	ZDHHC21	zinc finger, DHHC-type containing 21	340481	9p22.3	Q8IVQ6
0.24	3781794	0	LAMA3	laminin, alpha 3	3909	18q11.2	Q16787
0.24	3444820	0	LRP6	low density lipoprotein receptor-related protein 6	4040	12p13.2	O75581
0.24	3024275	0	MKLN1	muskelin 1, intracellular mediator containing kelch motifs	4289	7q32.3	Q9UL63
0.24	3744463	0	MYH10	myosin, heavy chain 10, non-muscle	4628	17p13.1	P35580
0.24	3199207	0	NFIB	nuclear factor I/B	4781	9p23 / 9p22.3	O00712
0.24	2619344	0	NKTR	natural killer-tumor recognition sequence	4820	3p22.1	P30414
0.24	2777070	0	HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11	51170	4q22.1	Q8NBQ5
0.24	2660648	0	CRBN	cereblon	51185	3p26.3	Q96SW2
0.24	3258477	0	PLCE1	phospholipase C, epsilon 1	51196	10q23.33	Q9P212
0.24	3258260	0	EXOC6	exocyst complex component 6	54536	10q23.33	Q8TAG9
0.24	2687840	0	IFT57	intraflagellar transport 57 homolog (Chlamydomonas)	55081	3q13.12	Q9NWB7
0.24	3130211	0	PPP2CB	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	5516	8p12	P62714
0.24	3281621	0	ARHGAP21	Rho GTPase activating protein 21	57584	10p12.1	Q5T5U3
0.24	2548970	0	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	6432	2p22.1	Q16629
0.24	2981874	0	DYNLT1	dynein, light chain, Tctex-type 1	6993	6q25.3	P63172
0.24	3971923	0	ZFX	zinc finger protein, X-linked	7543	Xp22.11	P17010
0.24	2911903	0	PTP4A1	protein tyrosine phosphatase type IVA, member 1	7803	6q12	Q93096
0.24	3389529	0	KIAA1826	KIAA1826	84437	11q22.3	Q8NCY6
0.24	3011250	0	DMTF1	cyclin D binding myb-like transcription factor 1	9988	7q21.12	Q9Y222
0.24	3039830	0.1	AGR3	anterior gradient homolog 3 (Xenopus laevis)	155465	7p21.1	Q8TD06
0.24	3464000	0.1	CCDC59	coiled-coil domain containing 59	29080	12q21.31	Q9P031
0.24	2614120	0.1	RPL15	ribosomal protein L15	6138	3p24.2	P61313
0.25	2828564	0	RAD50	RAD50 homolog (S. cerevisiae)	10111	5q31.1	Q92878
0.25	2767378	0	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	10396	4p13	Q9Y2Q0
0.25	3376155	0	NXF1	nuclear RNA export factor 1	10482	11q12.3	Q9UBU9
0.25	3692895	0	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	11051	16q13	O43809
0.25	3606304	0	AKAP13	A kinase (PRKA) anchor protein 13	11214	15q25.3	Q12802
0.25	2514658	0	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	130507	2q31.1	Q6ZT12
0.25	3554851	0	CRIP1	cysteine-rich protein 1 (intestinal)	1396	14q32.33	P50238
0.25	3114365	0	FAM91A1	family with sequence similarity 91, member A1	157769	8q24.13	Q658Y4
0.25	3106310	0	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	1666	8q21.3	Q16698
0.25	3511031	0	ELF1	E74-like factor 1 (ets domain transcription factor)	1997	13q14.11	P32519
0.25	3226138	0	AK1	adenylate kinase 1	203	9q34.11	P00568
0.25	3807732	0	CCDC11	coiled-coil domain containing 11	220136	18q21.1	Q96M91
0.25	3059942	0	KIAA1324L	KIAA1324-like	222223	7q21.12	A8MWY0
0.25	3154136	0	LRRC6	leucine rich repeat containing 6	23639	8q24.22	Q86X45
0.25	3219682	0	C9orf5	chromosome 9 open reading frame 5	23731	9q31.3	Q9H330
0.25	3956290	0	PITPNB	phosphatidylinositol transfer protein, beta	23760	22q12.1	P48739
0.25	3204903	0	SPAG8	sperm associated antigen 8	26206	9p13.3	Q99932
0.25	3576889	0	ATXN3	ataxin 3	4287	14q32.12	P54252
0.25	3633890	0	SCAPER	S-phase cyclin A-associated protein in the ER	49855	15q24.3	Q9BY12
0.25	3044597	0	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa	5137	7p15.1 / 7p14.3	Q14123
0.25	2487696	0	PCYOX1	prenylcysteine oxidase 1	51449	2p14	Q9UHG3
0.25	2562821	0	VPS24	vacuolar protein sorting 24 homolog (S. cerevisiae)	51652	2p11.2	Q9Y3E7
0.25	2813060	0	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	5295	5q13.1	P27986
0.25	3851072	0	ACP5	acid phosphatase 5, tartrate resistant	54	19p13.2	P13686
0.25	2611056	0	PPARG	peroxisome proliferator-activated receptor gamma	5468	3p25.2 / 3p25.1	P37231
0.25	3631397	0	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	55075	15q23	Q9BZF9
0.25	3624513	0	MYO5C	myosin VC	55930	15q21.2	Q9NQX4
0.25	3730941	0	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	5705	17q23.3	P62195
0.25	4020444	0	THOC2	THO complex 2	57187	Xq25	Q8NI27
0.25	3539499	0	RHOJ	ras homolog gene family, member J	57381	14q23.2	Q9H4E5
0.25	2565902	0	LOC730658	similar to ankyrin repeat domain 26	57730	2q11.2	Q8N2N9
0.25	2810458	0	GPBP1	GC-rich promoter binding protein 1	65056	5q11.2	Q86WP2
0.25	3757840	0	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	6774	17q21.2	P40763
0.25	3579546	0	WARS	tryptophanyl-tRNA synthetase	7453	14q32.2	P23381
0.25	2596763	0	FZD5	frizzled homolog 5 (Drosophila)	7855	2q33.3	Q13467
0.25	3792656	0	CCDC102B	coiled-coil domain containing 102B	79839	18q22.1 / 18q22.2	Q68D86
0.25	3131741	0	RAB11FIP1	RAB11 family interacting protein 1 (class I)	80223	8p12	Q6WKZ4
0.25	3716337	0	CCDC55	coiled-coil domain containing 55	84081	17q11.2	Q9H0G5
0.25	3881404	0	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	84701	20q11.21	Q96KJ9
0.25	2441386	0	RGS5	regulator of G-protein signaling 5	8490	1q23.3	O15539
0.25	3828162	0	C19orf2	chromosome 19 open reading frame 2	8725	19q12	O94763
0.25	2705706	0	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	8743	3q26.31	P50591
0.25	3628650	0	HERC1	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	8925	15q22.31	Q15751
0.25	3762519	0	SPAG9	sperm associated antigen 9	9043	17q21.33	O60271
0.25	3301218	0	PDLIM1	PDZ and LIM domain 1	9124	10q23.33	O00151
0.25	3811497	0	VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)	9525	18q21.33	O75351
0.25	2555277	0	USP34	ubiquitin specific peptidase 34	9736	2p15	Q70CQ2
0.25	2928930	0	PHACTR2	phosphatase and actin regulator 2	9749	6q24.2	O75167
0.25	2870397	0	PJA2	praja ring finger 2	9867	5q21.3	O43164
0.25	3973839	0.1	CYBB	cytochrome b-245, beta polypeptide	1536	Xp11.4	P04839
0.25	4004819	0.1	DYNLT3	dynein, light chain, Tctex-type 3	6990	Xp11.4	P51808
0.25	3375648	0.3	FTH1	ferritin, heavy polypeptide 1	2495	11q12.3	P02794
0.25	2779486	0.3	H2AFZ	H2A histone family, member Z	3015	4q23	P0C0S5
0.25	3247712	0.5	CISD1	CDGSH iron sulfur domain 1	55847	10q21.1	Q9NZ45
0.26	3480657	0	SAP18	Sin3A-associated protein, 18kDa	10284	13q12.11	O00422
0.26	3403140	0	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	10436	12p13.31	Q92979
0.26	3430552	0	PWP1	PWP1 homolog (S. cerevisiae)	11137	12q23.3	Q13610
0.26	3376529	0	PLA2G16	phospholipase A2, group XVI	11145	11q12.3 / 11q13.1	P53816
0.26	2968054	0	SEC63	SEC63 homolog (S. cerevisiae)	11231	6q21	Q9UGP8
0.26	3743551	0	CLDN7	claudin 7	1366	17p13.1	O95471
0.26	3461341	0	CPM	carboxypeptidase M	1368	12q15	P14384
0.26	2525053	0	CREB1	cAMP responsive element binding protein 1	1385	2q33.3	P16220
0.26	3177880	0	DAPK1	death-associated protein kinase 1	1612	9q21.33	P53355
0.26	3718555	0	SLFN5	schlafen family member 5	162394	17q12	Q08AF3
0.26	3983962	0	DIAPH2	diaphanous homolog 2 (Drosophila)	1730	Xq21.33	O60879
0.26	3390195	0	EXPH5	exophilin 5	23086	11q22.3	Q8NEV8
0.26	3294280	0	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	23234	10q22.2	Q8WXX5
0.26	3212728	0	AGTPBP1	ATP/GTP binding protein 1	23287	9q21.33	Q9UPW5
0.26	3023384	0	AHCYL2	S-adenosylhomocysteine hydrolase-like 2	23382	7q32.1	Q96HN2
0.26	3249587	0	SIRT1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	23411	10q21.3	Q96EB6
0.26	3210808	0	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	2776	9q21.2	P50148
0.26	3915087	0	USP25	ubiquitin specific peptidase 25	29761	21q21.1	Q9UHP3
0.26	2784027	0	ANXA5	annexin A5	308	4q27	P08758
0.26	3742627	0	C17orf87	chromosome 17 open reading frame 87	388325	17p13.2	Q6UWF3
0.26	3536905	0	KTN1	kinectin 1 (kinesin receptor)	3895	14q22.3	Q86UP2
0.26	3150289	0	SAMD12	sterile alpha motif domain containing 12	401474	8q24.12	Q8N8I0
0.26	2648677	0	MME	membrane metallo-endopeptidase	4311	3q25.2 / 3q25.31	P08473
0.26	3457275	0	MMP19	matrix metallopeptidase 19	4327	12q13.2	Q99542
0.26	2375706	0	SNORA77	small nucleolar RNA, H/ACA box 77	493	1q32.1	P23634
0.26	3260423	0	CUTC	cutC copper transporter homolog (E. coli)	51076	10q24.2	Q9NTM9
0.26	2644418	0	CLDN18	claudin 18	51208	3q22.3	P56856
0.26	3166844	0	BAG1	BCL2-associated athanogene	51510	9p13.3	Q9NZZ3
0.26	3726772	0	CROP	cisplatin resistance-associated overexpressed protein	51747	17q21.33	O95232
0.26	3720228	0	CRKRS	Cdc2-related kinase, arginine/serine-rich	51755	17q12	Q9NYV4
0.26	2377094	0	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	5208	1q32.1 / 1q32.2	O60825
0.26	2939069	0	SERPINB6	serpin peptidase inhibitor, clade B (ovalbumin), member 6	5269	6p25.2	P35237
0.26	3945133	0	POLR2F	polymerase (RNA) II (DNA directed) polypeptide F	5435	22q13.1	P61218
0.26	2347132	0	FNBP1L	formin binding protein 1-like	54874	1p22.1	Q5T0N5
0.26	2961816	0	PHIP	pleckstrin homology domain interacting protein	55023	6q14.1	Q8WWQ0
0.26	3031573	0	GIMAP5	GTPase, IMAP family member 5	55340	7q36.1	Q96F15
0.26	2581548	0	PRPF40A	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	55660	2q23.3	O75400
0.26	3320865	0	PARVA	parvin, alpha	55742	11p15.3	Q9NVD7
0.26	2366028	0	IQWD1	IQ motif and WD repeats 1	55827	1q24.2	Q58WW2
0.26	3538893	0	PRKCH	protein kinase C, eta	5583	14q23.1	P24723
0.26	2345617	0	PKN2	protein kinase N2	5586	1p22.2	Q16513
0.26	3284596	0	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	56288	10p11.22 / 10p11.21	Q8TEW0
0.26	3668617	0	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	5713	16q22.3	P51665
0.26	2972310	0	SERINC1	serine incorporator 1	57515	6q22.31	Q9NRX5
0.26	3308489	0	KIAA1598	KIAA1598	57698	10q25.3	A0MZ66
0.26	3009959	0	PTPN12	protein tyrosine phosphatase, non-receptor type 12	5782	7q11.23	Q05209
0.26	3439603	0	KDM5A	lysine (K)-specific demethylase 5A	5927	12p13.33	P29375
0.26	3800619	0	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	6093	18q11.1	Q13464
0.26	4004878	0	RPGR	retinitis pigmentosa GTPase regulator	6103	Xp11.4	Q92834
0.26	3627076	0	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2	663	15q22.2	Q12982
0.26	3563734	0	SOS2	son of sevenless homolog 2 (Drosophila)	6655	14q22.1	Q07890
0.26	2518428	0	SSFA2	sperm specific antigen 2	6744	2q31.3	P28290
0.26	3189932	0	STXBP1	syntaxin binding protein 1	6812	9q34.11	P61764
0.26	2350339	0	STXBP3	syntaxin binding protein 3	6814	1p13.3	O00186
0.26	2422722	0	TGFBR3	transforming growth factor, beta receptor III	7049	1p22.2 / 1p22.1	Q03167
0.26	3679564	0	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	7874	16p13.2	Q93009
0.26	3091848	0	HMBOX1	homeobox containing 1	79618	8p21.1	Q6NT76
0.26	2971724	0	FAM184A	family with sequence similarity 184, member A	79632	6q22.31	Q8NB25
0.26	3719161	0	GGNBP2	gametogenetin binding protein 2	79893	17q12	Q9H3C7
0.26	3133135	0	MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	7994	8p11.21	Q92794
0.26	3718791	0	TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	8148	17q12	Q92804
0.26	2945677	0	C6orf62	chromosome 6 open reading frame 62	81688	6p22.2	Q9GZU0
0.26	3147173	0	NCALD	neurocalcin delta	83988	8q22.3	P61601
0.26	2459042	0	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	8476	1q42.13	Q5VT25
0.26	3233049	0	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	8644	10p15.1	P42330
0.26	2491661	0	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	8673	2p11.2	Q9BV40
0.26	3608113	0	IQGAP1	IQ motif containing GTPase activating protein 1	8826	15q26.1	P46940
0.26	2343231	0	NEXN	nexilin (F actin binding protein)	91624	1p31.1	Q0ZGT2
0.26	2738466	0	SCYE1	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)	9255	4q24	Q12904
0.26	2720584	0	SLIT2	slit homolog 2 (Drosophila)	9353	4p15.31	O94813
0.26	2973694	0	ARHGAP18	Rho GTPase activating protein 18	93663	6q22.33	Q8N392
0.26	2973232	0	KIAA0408	KIAA0408	9729	6q22.33	Q6ZU52
0.26	3768015	0	HELZ	helicase with zinc finger	9931	17q24.2	P42694
0.26	3798291	0	PPP4R1	protein phosphatase 4, regulatory subunit 1	9989	18p11.22	Q8TF05
0.26	2342391	0.3	TYW3	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)	127253	1p31.1	Q6IPR3
0.26	3603408	0.3	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	5685	15q25.1	P25789
0.27	3012381	0	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142	7q21.2	Q99996
0.27	3393720	0	MPZL2	myelin protein zero-like 2	10205	11q23.3	O60487
0.27	3508696	0	N4BP2L2	NEDD4 binding protein 2-like 2	10443	13q13.1	Q92802
0.27	3917155	0	USP16	ubiquitin specific peptidase 16	10600	21q21.3	Q9Y5T5
0.27	3020646	0	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	1080	7q31.2	P13569
0.27	3906942	0	SERINC3	serine incorporator 3	10955	20q13.12	Q13530
0.27	3609138	0	CHD2	chromodomain helicase DNA binding protein 2	1106	15q26.1	O14647
0.27	3730899	0	DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	11325	17q23.3	Q86XP3
0.27	2812539	0	SFRS12	splicing factor, arginine/serine-rich 12	140890	5q12.3	Q8WXA9
0.27	2440440	0	ITLN2	intelectin 2	142683	1q23.3	Q8WWU7
0.27	3487095	0	DGKH	diacylglycerol kinase, eta	160851	13q14.11	Q86XP1
0.27	3031517	0	GIMAP7	GTPase, IMAP family member 7	168537	7q36.1	Q8NHV1
0.27	3767531	0	CCDC46	coiled-coil domain containing 46	201134	17q24.1 / 17q24.2	Q8N8E3
0.27	3397589	0	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	2113	11q24.3	P14921
0.27	3538213	0	DAAM1	dishevelled associated activator of morphogenesis 1	23002	14q23.1	Q9Y4D1
0.27	3228007	0	SETX	senataxin	23064	9q34.13	Q7Z333
0.27	3174224	0	SMC5	structural maintenance of chromosomes 5	23137	9q21.11	Q8IY18
0.27	3712363	0	MPRIP	myosin phosphatase Rho interacting protein	23164	17p11.2	Q6WCQ1
0.27	2433232	0	FMO5	flavin containing monooxygenase 5	2330	1q21.1	P49326
0.27	3904691	0	SAMHD1	SAM domain and HD domain 1	25939	20q11.23	Q9Y3Z3
0.27	3020192	0	TES	testis derived transcript (3 LIM domains)	26136	7q31.2	Q9UGI8
0.27	3130161	0	GSR	glutathione reductase	2936	8p12	P00390
0.27	2487412	0	ANXA4	annexin A4	307	2p14	P09525
0.27	3400384	0	HSN2	hereditary sensory neuropathy, type II	378465	12p13.33	Q6IFS5
0.27	3125571	0	MSR1	macrophage scavenger receptor 1	4481	8p22	P21757
0.27	2800906	0	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	4552	5p15.31	Q9UBK8
0.27	3682028	0	MYH11	myosin, heavy chain 11, smooth muscle	4629	16p13.11	P35749
0.27	3087813	0	PCM1	pericentriolar material 1	5108	8p22	Q15154
0.27	2871685	0	PGGT1B	protein geranylgeranyltransferase type I, beta subunit	5229	5q22.3	P53609
0.27	4000512	0	PIGA	phosphatidylinositol glycan anchor biosynthesis, class A	5277	Xp22.2	P37287
0.27	3333622	0	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G	5436	11q12.3	P62487
0.27	2741236	0	USP53	ubiquitin specific peptidase 53	54532	4q26	Q70EK8
0.27	3019158	0	LRRN3	leucine rich repeat neuronal 3	54674	7q31.1	Q9H3W5
0.27	3320604	0	USP47	ubiquitin specific peptidase 47	55031	11p15.3	Q96K76
0.27	2536183	0	PPP1R7	protein phosphatase 1, regulatory (inhibitor) subunit 7	5510	2q37.3	Q15435
0.27	3739679	0	VPS53	vacuolar protein sorting 53 homolog (S. cerevisiae)	55275	17p13.3	Q5VIR6
0.27	3031533	0	GIMAP4	GTPase, IMAP family member 4	55303	7q36.1	Q9NUV9
0.27	3755903	0	GSDMB	gasdermin B	55876	17q12	Q8TAX9
0.27	2352106	0	CTTNBP2NL	CTTNBP2 N-terminal like	55917	1p13.2	Q9P2B4
0.27	3095313	0	C8orf4	chromosome 8 open reading frame 4	56892	8p11.21	Q9NR00
0.27	3632037	0	PARP6	poly (ADP-ribose) polymerase family, member 6	56965	15q23	Q2NL67
0.27	2599371	0	TMBIM1	transmembrane BAX inhibitor motif containing 1	64114	2q35	Q969X1
0.27	2523478	0	NBEAL1	neurobeachin-like 1	65065	2q33.2	Q6ZS30
0.27	3190558	0	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	6709	9q34.11	Q13813
0.27	3241316	0	ZEB1	zinc finger E-box binding homeobox 1	6935	10p11.22	P37275
0.27	3929664	0	TMEM50B	transmembrane protein 50B	757	21q22.11	P56557
0.27	2417390	0	GPR177	G protein-coupled receptor 177	79971	1p31.3	Q5T9L3
0.27	3751625	0	SSH2	slingshot homolog 2 (Drosophila)	85464	17q11.2	Q76I76
0.27	2336271	0	BTF3L4	basic transcription factor 3-like 4	91408	1p32.3	Q96K17
0.27	2675315	0	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	9254	3p21.31	Q9NY47
0.27	2591942	0	ORMDL1	ORM1-like 1 (S. cerevisiae)	94101	2q32.2	Q9P0S3
0.27	3283920	0	ARHGAP12	Rho GTPase activating protein 12	94134	10p11.22	Q8IWW6
0.27	2540477	0	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	9475	2p25.1	O75116
0.27	3443868	0	CD69	CD69 molecule	969	12p13.31	Q07108
0.27	3040967	0	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	9771	7p15.3	Q92565
0.27	2975680	0	BCLAF1	BCL2-associated transcription factor 1	9774	6q23.3	Q9NYF8
0.27	2845078	0	TRIM52	tripartite motif-containing 52	na	5q35.3	na
0.27	3325680	0.1	EIF3M	eukaryotic translation initiation factor 3, subunit M	10480	11p13	Q7L2H7
0.27	3426917	0.1	METAP2	methionyl aminopeptidase 2	10988	12q22	P50579
0.27	3393946	0.1	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	1656	11q23.3	P26196
0.27	2796066	0.1	RWDD4A	RWD domain containing 4A	201965	4q35.1	Q6NW29
0.27	2363562	0.1	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	2207	1q23.3	P30273
0.27	2828146	0.1	CDC42SE2	CDC42 small effector 2	56990	5q31.1	Q9NRR3
0.27	4026560	0.5	FAM58A	family with sequence similarity 58, member A	92002	Xq28	Q8N1B3
0.28	3634071	0	TSPAN3	tetraspanin 3	10099	15q24.3	O60637
0.28	2812120	0	SDCCAG10	serologically defined colon cancer antigen 10	10283	5q12.3	Q6UX04
0.28	3576749	0	FBLN5	fibulin 5	10516	14q32.12	Q9UBX5
0.28	2356115	0	TXNIP	thioredoxin interacting protein	10628	1q21.1	Q9H3M7
0.28	2882834	0	C5orf4	chromosome 5 open reading frame 4	10826	5q33.2	Q96IV6
0.28	3629494	0	CLPX	ClpX caseinolytic peptidase X homolog (E. coli)	10845	15q22.31	O76031
0.28	3988740	0	PGRMC1	progesterone receptor membrane component 1	10857	Xq24	O00264
0.28	3420442	0	IRAK3	interleukin-1 receptor-associated kinase 3	11213	12q14.3	Q9Y616
0.28	3134922	0	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	115294	8q11.23	Q96MG8
0.28	2594497	0	CLK1	CDC-like kinase 1	1195	2q33.1	P49759
0.28	3251353	0	C10orf104	chromosome 10 open reading frame 104	119504	10q22.1	Q96DE5
0.28	3988435	0	DOCK11	dedicator of cytokinesis 11	139818	Xq24	Q5JSL3
0.28	3915479	0	CXADRP2	coxsackie virus and adenovirus receptor pseudogene 2	1525	21q21.1	P78310
0.28	3718682	0	AP2B1	adaptor-related protein complex 2, beta 1 subunit	163	17q12	P63010
0.28	3091077	0	DPYSL2	dihydropyrimidinase-like 2	1808	8p21.2	Q16555
0.28	3362719	0	SNORD97	small nucleolar RNA, C/D box 97	1982	11p15.4 / 11p15.3	P78344
0.28	2796553	0	ACSL1	acyl-CoA synthetase long-chain family member 1	2180	4q35.1	P33121
0.28	2554018	0	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	2202	2p16.1	Q12805
0.28	3215570	0	FBP1	fructose-1,6-bisphosphatase 1	2203	9q22.32	P09467
0.28	2951567	0	FKBP5	FK506 binding protein 5	2289	6p21.31	Q13451
0.28	3693673	0	CNOT1	CCR4-NOT transcription complex, subunit 1	23019	16q21	A5YKK6
0.28	2677653	0	C3orf63	chromosome 3 open reading frame 63	23272	3p14.3	Q9UK61
0.28	3470549	0	CORO1C	coronin, actin binding protein, 1C	23603	12q24.11	Q9ULV4
0.28	3958045	0	C22orf30	chromosome 22 open reading frame 30	253143	22q12.2	Q5THK1
0.28	3943414	0	FBXO7	F-box protein 7	25793	22q12.3	Q9Y3I1
0.28	2923359	0	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	25842	6q22.31	Q9Y294
0.28	2773023	0	ANKRD17	ankyrin repeat domain 17	26057	4q13.3	O75179
0.28	3715109	0	WSB1	WD repeat and SOCS box-containing 1	26118	17q11.1	Q9Y6I7
0.28	3518455	0	FBXL3	F-box and leucine-rich repeat protein 3	26224	13q22.3	Q9UKT7
0.28	2488114	0	ZNF638	zinc finger protein 638	27332	2p13.3	Q14966
0.28	2617041	0	GOLGA4	golgi autoantigen, golgin subfamily a, 4	2803	3p22.2	Q13439
0.28	3549575	0	IFI27	interferon, alpha-inducible protein 27	3429	14q32.13	P40305
0.28	3257204	0	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	3437	10q23.31	O14879
0.28	2992576	0	IL6	interleukin 6 (interferon, beta 2)	3569	7p15.3	P05231
0.28	3806913	0	SMAD2	SMAD family member 2	4087	18q21.1	Q15796
0.28	2376037	0	MDM4	Mdm4 p53 binding protein homolog (mouse)	4194	1q32.1	O15151
0.28	3786039	0	PIK3C3	phosphoinositide-3-kinase, class 3	5289	18q12.3	Q8NEB9
0.28	2728448	0	IGFBP7	insulin-like growth factor binding protein 7	5431	4q12	P30876
0.28	3091628	0	ELP3	elongation protein 3 homolog (S. cerevisiae)	55140	8p21.1	Q9H9T3
