probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
Gga.1130.1.S1_at	PCMTD2: Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	BU317875	419248	1.27	3.945	0.021678	0.71	1.992	0.107706	-0.57	-1.397	0.221576
Gga.11302.1.S1_at	Finished cDNA, clone ChEST184h18	BX929425.2		-1.36	-4.515	0.030331	-2.07	-5.079	0.004172	-0.72	-2.314	0.088069
Gga.11307.1.S1_at	LOC420475: similar to supervillin (archvillin) (SVIL)	BU225110	420475	0.02	0.264	0.808573	1.23	3.813	0.026024	1.2	3.818	0.029707
Gga.11308.1.S1_at	LOC422092: similar to dysferlin-interacting protein 1	BX929379.1	422092	-1.13	-17.088	0.000496	-1.03	-8.092	0.002668	0.09	0.668	0.539037
Gga.11315.1.S1_at	RCJMB04_3g3: integrin, alpha 9	BX929301.1	420757	1.26	4.551	0.039588	0.42	1.833	0.155644	-0.84	-2.366	0.072204
Gga.11317.1.S1_at	FGF7: Fibroblast growth factor 7 (keratinocyte growth factor)	CR354361.1	415439	-0.33	-0.689	0.545494	-1.56	-6.246	0.002075	-1.23	-2.611	0.092536
Gga.11317.2.S1_a_at	FGF7: Fibroblast growth factor 7 (keratinocyte growth factor)	BX929277.1	415439	-1.16	-1.833	0.173255	-2.84	-8.275	0.000601	-1.69	-2.7	0.084121
Gga.11323.1.S1_at	CRH: corticotropin releasing hormone	AJ621492.2	404297	-0.06	-0.301	0.779505	-1.29	-5.766	0.002238	-1.23	-6.056	0.001959
Gga.11327.1.S1_at	Gga.11327.1	BU371385		-1.23	-10.414	0.001317	-1.31	-11.184	0.000975	-0.08	-0.962	0.382437
Gga.11350.2.S1_at	Finished cDNA, clone ChEST804b23	BX934887.2		-1.84	-11.768	0.004823	-1.68	-13.797	0.000327	0.17	0.884	0.425775
Gga.11369.1.S1_at	Finished cDNA, clone ChEST107e11	BU113474		1.28	6.098	0.003719	0.57	1.518	0.202098	-0.71	-1.916	0.128583
Gga.1137.1.S1_at	MYBPC3: myosin binding protein C, cardiac	U38949.1	396013	1.46	4.979	0.007665	0.64	1.037	0.361799	-0.81	-1.314	0.264934
Gga.11371.1.S1_s_at	LOC424227: similar to 25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial precursor (Calcidiol 1-monooxygenase) (25-OHD-1 alpha-hydroxylase) (25-hydroxyvitamin D(3) 1-alpha-hydroxylase) (VD3 1A hydroxylase) (P450C1 alpha) (P450VD1-alpha)	BX935896.2	424227	1.1	4.389	0.015593	0.41	0.868	0.439917	-0.69	-1.368	0.24145
Gga.11385.1.S1_at	LMO7: LIM domain 7	BU384536	418815	-1.79	-22.155	0.000773	-2.1	-10.858	0.001444	-0.31	-1.496	0.210877
Gga.11387.1.S1_s_at	LOC769163: Similar to GPBP-interacting protein 130b	BX935828.1	769163	-0.06	-0.485	0.658594	-1.32	-5.335	0.009503	-1.27	-4.843	0.008455
Gga.1139.1.A1_at	MESDC1: Mesoderm development candidate 1	CN218500	415473	-0.9	-3.554	0.033179	-1.08	-4.378	0.008282	-0.18	-0.6	0.575793
Gga.11395.1.S1_at	Finished cDNA, clone ChEST188j13	CD729845		1.46	4.778	0.010048	0.42	0.646	0.554739	-1.04	-1.642	0.184675
Gga.11403.1.S1_at	Finished cDNA, clone ChEST2c11	BX935740.1		-1.31	-9.058	0.008197	-1.3	-8.286	0.002539	0.01	0.033	0.974737
Gga.11417.1.S1_at	Finished cDNA, clone ChEST194p9	BX933381.1		1.33	3.641	0.025387	0.53	0.939	0.401666	-0.81	-1.345	0.242065
Gga.1142.1.A1_at	NEDD9: neural precursor cell expressed, developmentally down-regulated 9	AF104246.1	395736	-1.17	-3.246	0.054101	-1.07	-4.96	0.004375	0.1	0.273	0.802595
Gga.11430.1.S1_at	PENK: proenkephalin	BU351001	421131	-0.15	-1.023	0.371201	1.89	3.161	0.045263	2.04	3.457	0.038249
Gga.11449.1.S1_at	Finished cDNA, clone ChEST336o5	BX929825.1		1.15	2.734	0.084662	2.01	9.317	0.000284	0.86	2.052	0.145377
Gga.11456.1.S1_at	LOC418268: similar to PLCPI=cysteine proteinase inhibitor	CK611983	418268	0.05	0.283	0.803171	4.18	13.669	0.000817	4.13	11.48	0.000127
Gga.11460.1.S1_at	CLK4: CDC-like kinase 4	BU469281	416295	1.11	3.538	0.028936	0.66	2.033	0.100015	-0.44	-1.186	0.289917
Gga.11471.1.S1_at	LOC417169: similar to RNA polymerase I transcription termination factor 1	BU268902	417169	-1.98	-18.637	0.002121	-1.84	-10.267	0.001785	0.14	0.674	0.532481
Gga.11472.1.S1_s_at	TEX2: testis expressed sequence 2	BG641698	417415	1.11	6.912	0.006931	0.95	4.357	0.014701	-0.16	-0.621	0.562147
Gga.11475.1.A1_at	Transcribed locus	CD218267		1.31	3.537	0.031105	0.27	0.463	0.663778	-1.05	-2.003	0.116505
Gga.11491.1.S1_at	Transcribed locus, moderately similar to XP_001055500.1  similar to pad-1-like isoform 1 [Rattus norvegicus]	BU220753		1.79	8.42	0.011439	0.8	1.42	0.230606	-0.99	-1.877	0.156299
Gga.11492.1.S1_at	LOC424149: similar to mixed lineage kinase-related kinase MRK-beta; mixed lineage kinase with a leucine zipper and a sterile alpha motif; mixed lineage kinase-related kinase	BX933897.2	424149	-0.5	-2.873	0.046375	-1.06	-5.603	0.002555	-0.56	-2.819	0.037288
Gga.11526.1.S1_at	Transcribed locus	CK608693		-2.16	-27.424	0.000114	-2.33	-16.087	0.000259	-0.17	-1.077	0.338322
Gga.11554.1.S1_at	Gga.11554.1	BU422669		-0.58	-1.584	0.235434	-1.1	-3.27	0.035658	-0.52	-1.089	0.330231
Gga.11592.2.S1_a_at	Transcribed locus, moderately similar to XP_001061440.1  similar to metallothionein-like 5, testis-specific (tesmin) (predicted) [Rattus norvegicus]	BU466948		-1.31	-10.445	0.008579	-1.19	-6.554	0.00706	0.12	0.557	0.602059
Gga.11595.1.S1_a_at	LOC417096: hypothetical LOC417096	BX933204.1	417096	-0.36	-2.459	0.098708	-1	-2.961	0.041049	-0.64	-2.02	0.13036
Gga.11597.1.S1_s_at	RCJMB04_17i9: signal transducer and activator of transcription 4	BU232030	424044	-0.61	-2.905	0.096742	0.8	2.976	0.057141	1.41	4.164	0.00882
Gga.11597.2.S1_at	RCJMB04_17i9: signal transducer and activator of transcription 4	BX932542.1	424044	-1.87	-26.481	0.000491	-1.85	-8.506	0.003162	0.02	0.095	0.929375
Gga.11597.2.S1_s_at	RCJMB04_17i9: signal transducer and activator of transcription 4	BX932542.1	424044	-0.26	-2.153	0.113269	1.22	4.852	0.007622	1.48	6.276	0.005358
Gga.11614.1.S1_at	SERPINF1: serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	BU240384	417561	1.13	2.14	0.130872	-0.98	-3.233	0.024045	-2.12	-3.97	0.03209
Gga.11623.1.S1_at	Finished cDNA, clone ChEST662b5	BU253098		-1.16	-4.282	0.021136	-0.58	-2.422	0.12643	0.58	4.065	0.036409
Gga.11630.2.S1_a_at	Finished cDNA, clone ChEST516d4	BX933221.1		-0.91	-2.233	0.134202	-1.8	-3.316	0.038992	-0.88	-1.342	0.237755
Gga.11634.1.S1_at	CTHRC1: collagen triple helix repeat containing 1	BX935556.2	420262	0.22	1.55	0.258571	-1.04	-2.963	0.059131	-1.26	-3.331	0.030635
Gga.11643.2.S1_s_at	LOC416727: similar to URP1	BU290715	416727	0.43	1.615	0.205604	1.59	8.868	0.000327	1.16	4.248	0.020884
Gga.11646.1.S1_at	FAM20A: family with sequence similarity 20, member A	CR353950.1	417439	-1.12	-2.963	0.042192	-2.28	-8.543	0.006041	-1.16	-3.91	0.042889
Gga.11666.1.S1_at	Transcribed locus, weakly similar to XP_001068874.1  similar to secreted nidogen domain protein [Rattus norvegicus]	BU448286		-1.08	-15.104	0.000132	-1.12	-10.858	0.000165	-0.04	-0.435	0.683966
Gga.11681.1.S1_s_at	SSX2IP: synovial sarcoma, X breakpoint 2 interacting protein	BU219962	424532	-1.37	-10.298	0.003007	-1.6	-9.027	0.001415	-0.22	-1.069	0.334577
Gga.11683.2.S1_at	CREB5: cAMP responsive element binding protein 5	BX930883.1	428435	-1.31	-6.277	0.020489	-1.55	-17.162	0.000045	-0.23	-1.065	0.374826
Gga.11686.1.S1_at	Finished cDNA, clone ChEST893a9	BX932066.1		-1.61	-27.746	0.000082	-1.61	-14.034	0.000418	0	0.026	0.980348
Gga.11695.1.S1_s_at	THSD1: thrombospondin, type I, domain containing 1	CR353702.1	418884	-1.96	-15.982	0.001591	-1.77	-6.958	0.005238	0.19	0.7	0.521298
Gga.1171.1.S1_at	LY6E: lymphocyte antigen 6 complex, locus E	NM_204775.1	395550	-0.08	-1.042	0.400853	1.3	9.453	0.00031	1.38	11.692	0.001187
Gga.11710.1.S1_at	Finished cDNA, clone ChEST40j17	BX933736.1		-1.69	-12.388	0.003838	-1.64	-13.195	0.000411	0.05	0.283	0.789709
Gga.11714.2.S1_at	LOC425962: Hypothetical gene supported by BX934539	BX933018.1	425962	-1.33	-12.8	0.004047	-1.44	-11.684	0.000955	-0.11	-0.712	0.508172
Gga.11719.1.S1_at	LOC419892: similar to dJ109F14.3 (novel putative ring finger protein)	BU453028	419892	-1.38	-32.931	0.000006	-1.1	-6.392	0.006646	0.27	1.583	0.205925
Gga.11723.2.S1_s_at	TNRC6B: trinucleotide repeat containing 6B	BX935382.2	418010	-0.93	-7.399	0.006692	-1.02	-8.657	0.009528	-0.09	-1.552	0.21693
Gga.11727.3.S1_a_at	LOC427469: Similar to putative repair and recombination helicase RAD26L	CR338737.1	427469	0.14	0.596	0.585965	1.12	6.487	0.002333	0.99	4.637	0.014411
Gga.11732.1.S1_at	Finished cDNA, clone ChEST757d16	BX935719.2		-1.91	-12.49	0.005137	-2.04	-9	0.002622	-0.14	-0.504	0.636484
Gga.11752.1.S1_a_at	RABL2B: RAB, member of RAS oncogene family-like 2B	BU134148	426865	0.29	1.883	0.195135	-0.83	-5.941	0.008229	-1.12	-5.431	0.003841
Gga.11753.1.S1_at	Finished cDNA, clone ChEST393a1	BX931496.1		-1.83	-24.738	0.000023	-2.28	-5.805	0.009032	-0.45	-1.139	0.335503
Gga.11784.1.S1_at	Finished cDNA, clone ChEST276e2	BX932790.1		-1.34	-6.345	0.012804	-1.7	-6.683	0.004045	-0.36	-1.158	0.299273
Gga.11800.1.S1_at	RCJMB04_21j12: catenin (cadherin-associated protein), delta 1	BU237193	428852	-1.49	-8.478	0.013415	-1.3	-56.652	0.000001	0.19	1.071	0.393691
Gga.11816.3.A1_at	Finished cDNA, clone ChEST140e17	BX950246.1		1.05	5.426	0.011748	0.36	0.9	0.4286	-0.7	-1.653	0.172481
Gga.11823.1.S1_at	UBXD2: UBX domain containing 2	BX950405.1	424293	1.02	3.287	0.030437	0.27	0.574	0.594114	-0.74	-1.564	0.187919
Gga.11824.1.S1_at	CST7: cystatin F (leukocystatin)	BX932453.1	416716	-0.73	-4.255	0.013388	-1.08	-4.795	0.006028	-0.35	-1.518	0.191803
Gga.11848.1.A1_at	Finished cDNA, clone ChEST394j22	BX931565.1		1.37	5.315	0.00762	0.65	1.61	0.183792	-0.73	-1.718	0.152646
Gga.11855.1.S1_at	LOC421956: similar to egg envelope component ZPAX	BU447264	421956	1.79	4.085	0.027748	0.5	0.547	0.612393	-1.29	-1.516	0.217989
Gga.11877.1.S1_a_at	Finished cDNA, clone ChEST334d18	CR406566.1		-0.56	-2.494	0.089534	-1.13	-9.619	0.001655	-0.56	-2.668	0.099237
Gga.11886.1.S1_at	Finished cDNA, clone ChEST72d20	BU466332		-0.14	-1.068	0.381646	0.92	14.232	0.000034	1.06	7.973	0.005599
Gga.11887.1.S1_at	Finished cDNA, clone ChEST644h21	BX935172.1		0.47	2.767	0.071732	-1.34	-4.858	0.011842	-1.81	-5.914	0.002709
Gga.11900.1.S1_at	LOC424451: similar to niban protein	BU261686	424451	0.5	3.125	0.052147	1.61	4.709	0.014668	1.11	3.045	0.03817
Gga.11909.1.S1_s_at	MPP7: membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	BX931281.1	420481	-1.22	-3.784	0.056725	-1.52	-9.238	0.000906	-0.3	-0.851	0.45855
Gga.11915.1.S1_at	CD99L2: CD99 molecule-like 2	BU239934	422386	-0.71	-2.293	0.088821	0.5	1.346	0.236451	1.21	3.6	0.016616
Gga.11955.1.S1_at	Finished cDNA, clone ChEST388p22 /// Transcribed locus, weakly similar to NP_598226.1  superfamily, member 6 [Rattus norvegicus]	BX931490.1		-1.6	-12.286	0.00036	-1.57	-8.77	0.000686	0.03	0.179	0.865403
Gga.11956.2.S1_s_at	LOC423344: similar to hypothetical protein	CR405825.1	423344	-2.1	-15.292	0.00068	-2.24	-13.325	0.000227	-0.13	-0.673	0.530684
Gga.11969.1.S1_at	CYTL1: cytokine-like 1	BU111245	422849	2.18	5.511	0.009187	4.33	8.639	0.000902	2.14	3.766	0.013276
Gga.11975.1.S1_at	Finished cDNA, clone ChEST881g3	BX934212.1		0.06	0.221	0.844788	-0.96	-7.783	0.002671	-1.02	-3.379	0.04942
Gga.11987.1.S1_s_at	WASF3: WAS protein family, member 3	BU285276	418934	1.04	5.011	0.007515	0.53	2.261	0.073486	-0.51	-2.115	0.088086
Gga.11989.1.S1_at	Finished cDNA, clone ChEST594l15	BG711755		-1.07	-16.147	0.000447	-1.36	-21.557	0.000449	-0.29	-7.278	0.001799
Gga.12002.1.S1_a_at	LOC426055: similar to calcyphosine-like	BX930244.1	426055	-1.59	-8.749	0.012425	-1.5	-9.929	0.002043	0.09	0.399	0.708583
Gga.12011.2.S1_a_at	CEP290: centrosomal protein 290kDa	BX934669.1	417887	-0.83	-1.654	0.176432	-2.09	-5.542	0.007314	-1.26	-2.852	0.063459
Gga.12023.1.S1_at	LOC420476: similar to KIAA1462 protein	BU259971	420476	-1.38	-23.836	0.000769	-1.93	-19.523	0.000008	-0.55	-6.557	0.005704
Gga.12027.1.S1_s_at	LOC417121: similar to centrosomal protein 1; centriole associated protein; centriolin	CD727815	417121	1.21	3.111	0.076469	1.11	3.879	0.020204	-0.11	-0.227	0.83178
Gga.12042.1.S1_at	Finished cDNA, clone ChEST931b9	BX936140.1		0.33	1.767	0.184731	1.29	11.453	0.000091	0.96	5.054	0.014904
Gga.12043.1.S1_at	PALMD: palmdelphin	BX929529.2	424475	1.12	2.953	0.045003	0.11	0.182	0.864284	-1.01	-1.554	0.189164
Gga.12043.2.S1_a_at	PALMD: palmdelphin	BX932560.1	424475	-1	-11.747	0.00128	-1.06	-14.159	0.000048	-0.06	-0.572	0.595484
Gga.12049.1.S1_at	LOC419438: Similar to Solute carrier family 2, facilitated glucose transporter, member 5 (Glucose transporter type 5, small intestine) (Fructose transporter)	BU470540	419438	-1.4	-12.098	0.000753	-1.41	-11.568	0.000154	-0.01	-0.079	0.939894
Gga.1205.1.S2_at	PLA2G7: phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	BU254591	395816	-0.36	-2.14	0.102606	-1.12	-5.749	0.002332	-0.76	-4.278	0.008091
Gga.12050.1.S1_at	LAT2: Linker for activation of T cells family, member 2	BX935994.2	417489	-1.5	-13.988	0.000284	-1.72	-19.893	0.00001	-0.21	-2.019	0.118118
Gga.12060.1.S1_at	Finished cDNA, clone ChEST599g20	BX932450.1		-1.08	-7.538	0.014668	-0.84	-3.148	0.027376	0.25	1.093	0.352542
Gga.12066.1.S1_at	Finished cDNA, clone ChEST444a24	BX935616.1		-1.47	-8.592	0.002021	-1.6	-10.617	0.000131	-0.14	-0.736	0.499286
Gga.12071.1.S1_at	Finished cDNA, clone ChEST189o19	BU457106		0.35	2.46	0.120684	1.03	5.479	0.003676	0.68	5.21	0.009996
Gga.12072.2.A1_at	MED31: Mediator of RNA polymerase II transcription, subunit 31 homolog (S. cerevisiae)	BU393311	417679	1.05	3.622	0.022342	0.53	1.147	0.310814	-0.53	-1.15	0.310663
Gga.12082.1.S1_at	QPCT: glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	BU368772	421479	0.48	2.455	0.125381	1.2	12.182	0.000322	0.72	3.383	0.044892
Gga.12084.1.S1_at	NHSL1: NHS-like 1	BU266312	421680	-1.58	-15.519	0.000699	-1.86	-18.89	0.000025	-0.28	-2.173	0.085267
Gga.12088.2.A1_at	FLRT3: fibronectin leucine rich transmembrane protein 3	CD740434	428552	-1.19	-14.831	0.000362	-1.22	-14.709	0.000046	-0.03	-0.313	0.767518
Gga.12092.1.S1_at	FAM20C: family with sequence similarity 20, member C	BU369564	416445	0.88	4.362	0.027787	-0.19	-1.324	0.244847	-1.07	-4.839	0.011029
Gga.12110.2.S1_a_at	OLFM3: olfactomedin 3	BU350228	424461	-1.46	-4.479	0.020407	-2.07	-5.533	0.005007	-0.61	-1.367	0.23006
Gga.12132.1.S1_at	SRD5A2L2: steroid 5 alpha-reductase 2-like 2	BU356918	422618	1.44	9.737	0.000628	0.65	1.909	0.137462	-0.79	-2.296	0.090378
Gga.12155.1.S1_at	Finished cDNA, clone ChEST648p24	BU409786		0.19	1.489	0.211933	1.95	15.888	0.000068	1.76	15.556	0.000039
Gga.12157.1.S1_at	LOC421390: Hypothetical LOC421390	BU485193	421390	-0.14	-3.889	0.026519	-1.03	-4.92	0.015538	-0.89	-4.229	0.022226
Gga.12175.1.S1_at	Gga.12175.1	BU322027		-1.31	-5.493	0.010958	-1.96	-7.089	0.001892	-0.65	-1.971	0.105803
Gga.12180.1.S1_at	MARCH8: membrane-associated ring finger (C3HC4) 8	BU268133	423770	-0.83	-8.646	0.001008	-1.06	-10.185	0.000168	-0.23	-2.289	0.070819
Gga.12181.1.S1_at	RCJMB04_13l5: Finished cDNA, clone ChEST1036h9 /// RNA binding motif protein 5	BU399262	415947	1.28	5.957	0.011221	1.34	5.642	0.00514	0.07	0.222	0.833351
Gga.12185.1.S1_at	MMP23B: matrix metallopeptidase 23B	BU477236	419407	-0.48	-1.214	0.301415	-1.03	-3.665	0.018236	-0.55	-1.474	0.231251
Gga.12186.1.S1_at	XLKD1: extracellular link domain containing 1	BX932088.2	423038	-0.38	-1.45	0.271939	-1.27	-10.279	0.000254	-0.89	-3.181	0.057787
Gga.12188.1.S1_at	Finished cDNA, clone ChEST139a2	BU366484		1.92	2.99	0.068164	2.9	4.494	0.025277	0.98	2.816	0.038454
Gga.12192.1.S1_at	OSMR: oncostatin M receptor	BU454950	427446	-0.34	-1.544	0.199555	1.02	4.547	0.006132	1.36	5.62	0.002715
Gga.12192.2.S1_a_at	OSMR: oncostatin M receptor	BU417555	427446	-0.05	-0.468	0.679337	1.04	6.656	0.001168	1.08	8.541	0.002214
Gga.12192.2.S1_s_at	OSMR: oncostatin M receptor	BU417555	427446	-0.42	-2.444	0.099636	0.89	3.91	0.011775	1.3	7.292	0.001948
Gga.12193.1.S1_a_at	C7orf16: G-substrate	BU419249	420753	-1.08	-3.949	0.024109	-1.24	-7.857	0.005241	-0.15	-0.629	0.585776
Gga.12197.3.S1_s_at	AKAP12: A kinase (PRKA) anchor protein (gravin) 12	BX933212.2	421634	-2.2	-18.794	0.000112	-2.37	-16.31	0.000047	-0.17	-1.057	0.339096
Gga.12199.2.S1_a_at	LOC416645: similar to Ataxin 2-binding protein 1	BU274413	416645	-1.22	-14.286	0.000335	-1.46	-4.597	0.015527	-0.24	-0.768	0.496292
Gga.12201.1.S1_at	LOC420764: similar to chromosome 7 open reading frame 36; GK003 protein	BU210732	420764	0.9	2.207	0.126233	1.03	5.175	0.005318	0.14	0.344	0.758201
Gga.12209.1.S1_at	LOC422672: Similar to VLLH2748	BU393130	422672	0.36	2	0.125706	1.76	10.476	0.000141	1.4	6.97	0.001369
Gga.12209.2.S1_a_at	LOC422672: Similar to VLLH2748	BX929915.1	422672	0.33	1.238	0.302819	1.98	9.636	0.000207	1.64	5.693	0.005753
Gga.12241.1.S1_s_at	PPFIA1: protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	BU362944	423147	-1.47	-13.247	0.000251	-1.19	-7.76	0.000638	0.28	1.949	0.115678
Gga.12245.1.S1_at	Finished cDNA, clone ChEST334o14	BU348553		0.72	5.213	0.008352	1.44	12.147	0.000075	0.72	5.069	0.006596
Gga.1229.1.S1_at	Finished cDNA, clone ChEST132b22	BU244306		1.75	3.065	0.060818	2.1	3.502	0.025208	0.36	0.47	0.658326
Gga.12298.1.S1_at	VSTM2: Finished cDNA, clone ChEST527c24 /// V-set and transmembrane domain containing 2	BU365173	420951	-1.62	-9.114	0.011631	-2.04	-37.929	0.000025	-0.42	-2.266	0.132083
Gga.12307.3.S1_s_at	9430041O17RIK: Arg/Abl-interacting protein ArgBP2	BX934497.2	422719	-1.27	-8.22	0.001294	-1.48	-7.81	0.000558	-0.22	-1.194	0.2877
Gga.1231.1.S1_at	Transcribed locus, weakly similar to NP_001028870.1  repeat domain 16 [Rattus norvegicus]	BU448173		0.63	7.717	0.005645	1.11	3.549	0.031772	0.47	1.548	0.217106
Gga.12310.1.S1_at	Gga.12310.1	BX950437.1		-0.31	-1.231	0.30454	-2.53	-12.976	0.000049	-2.22	-8.141	0.001604
Gga.12315.1.S1_s_at	LOC428736: similar to p56 KKIAMRE protein kinase	CR407462.1	428736	-0.09	-1.158	0.359734	0.93	7.962	0.000538	1.03	11.729	0.001005
Gga.1232.2.S1_a_at	Transcribed locus, weakly similar to NP_001029128.1  isoform Cgrp preproprotein [Rattus norvegicus]	BU213401		-1.57	-23.199	0.00003	-1.45	-8.628	0.002009	0.12	0.689	0.532815
Gga.12337.3.S1_a_at	TAF15 /// RCJMB04_27j8: TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa /// Werner syndrome	BU256284	417522 /// 422505	1.29	12.441	0.003002	0.63	1.642	0.187893	-0.66	-1.787	0.170573
Gga.12338.1.S1_at	LOC424568: Similar to receptor protein tyrosine phosphatase LAR	BU375782	424568	-1.18	-4.592	0.011651	-0.99	-5.541	0.010336	0.19	0.876	0.452259
Gga.12352.1.S1_s_at	UACA: uveal autoantigen with coiled-coil domains and ankyrin repeats	BU448365	415569	-1.47	-7.681	0.012417	-1.53	-9.227	0.001574	-0.06	-0.244	0.81798
Gga.12365.1.S1_at	Finished cDNA, clone ChEST657c18	BX934605.2		-0.8	-12.11	0.000268	-1.16	-12.748	0.000082	-0.36	-3.983	0.012287
Gga.12370.3.S1_a_at	LOC428608: similar to transcription factor B1, mitochondrial	BX932465.2	428608	-1.68	-25.7	0.000168	-1.83	-19.119	0.000102	-0.15	-1.374	0.230307
Gga.12370.3.S1_x_at	Finished cDNA, clone ChEST187m19	BX932465.2		-1.23	-17.815	0.000554	-1.29	-27.043	0.000001	-0.06	-0.811	0.469807
Gga.12383.1.S1_at	CRHBP: corticotropin releasing hormone binding protein	BU392202	427214	-1.2	-7.155	0.002411	-1.63	-6.876	0.001856	-0.43	-1.716	0.150669
Gga.12389.1.S1_at	LOC422968: Similar to transmembrane protein 16C; chromosome 11 open reading frame 25 /// Transcribed locus, weakly similar to XP_230381.3  similar to transmembrane protein 16C [Rattus norvegicus]	BU455389	422968	-1.73	-15.338	0.000148	-1.46	-8.554	0.000941	0.27	1.485	0.203492
Gga.12391.1.S1_at	LOC422172: similar to adrenodoxin homolog - chicken (fragment)	BX935169.2	422172	1.18	3.083	0.041555	0.37	0.646	0.548081	-0.81	-1.51	0.203112
Gga.12396.1.S1_s_at	RCJMB04_33f6: similar to AW547186 protein	CK610672	422344	-0.31	-1.393	0.256105	0.75	4.464	0.006617	1.07	4.482	0.013681
Gga.12406.1.S1_at	LOC421753 /// LOC428623: similar to solute carrier family 16, member 10; T-type amino acid transporter 1 /// similar to KIAA1919	BU296378	421753 /// 428623	1.03	9.174	0.001267	1.15	10.397	0.000153	0.12	0.941	0.39186
Gga.12407.1.S1_at	LOC422654: similar to K60 protein	CR386350.1	422654	1.46	3.41	0.031986	3.74	7.521	0.000996	2.28	4.108	0.009286
Gga.12409.1.S1_at	Finished cDNA, clone ChEST790p19	BX931944.2		2.65	4.194	0.049715	2.21	3.159	0.049199	-0.44	-0.473	0.656569
Gga.12409.1.S1_s_at	Finished cDNA, clone ChEST790p19	BX931944.2		2.04	3.792	0.057208	1.23	4.536	0.012026	-0.81	-1.38	0.263711
Gga.12412.1.S1_at	Finished cDNA, clone ChEST793c24	BU143375		1.2	14.693	0.001838	1.09	5.857	0.008857	-0.11	-0.558	0.607076
Gga.1242.1.S1_at	RCJMB04_22n3: phosphatidylinositol transfer protein, beta	BU257628	416912	1.24	3.15	0.034555	0.09	0.125	0.906696	-1.15	-1.525	0.204371
Gga.12424.1.S1_at	KIF21A: kinesin family member 21A	CN217539	417692	-0.88	-8.364	0.002377	-1.12	-5.432	0.008386	-0.24	-1.082	0.338903
Gga.12444.1.S2_s_at	Clone cDNA11 microsatellite MCW113 sequence	BU118678		-0.48	-1.495	0.209265	1.27	4.192	0.01099	1.76	5.807	0.003082
Gga.12454.1.S1_at	RLX3: relaxin 3	BU435007	427223	0.98	2.961	0.077698	1.3	8.343	0.000414	0.32	0.943	0.425933
Gga.1247.1.S2_at	Gga.1247.1	X92865.1		-0.68	-3.28	0.030508	-1.28	-7.161	0.00238	-0.6	-3.358	0.03037
Gga.12471.1.S1_at	LOC421364: hypothetical LOC421364	BU337463	421364	0.11	0.216	0.842677	-1.92	-4.838	0.004735	-2.03	-3.64	0.02504
Gga.12472.2.S1_at	LOC422745: similar to hypothetical protein DKFZp434F117.1 - human (fragment)	BU441803	422745	-2.61	-34.142	0.00001	-3.03	-20.213	0.000081	-0.42	-2.676	0.055268
Gga.12492.1.S1_at	TMEFF1: transmembrane protein with EGF-like and two follistatin-like domains 1	BU354060	420985	-0.85	-4.262	0.042689	-1.69	-12.921	0.000309	-0.84	-3.622	0.027597
Gga.12503.2.S1_at	NXN: Nucleoredoxin	BU248824	426175	-1.79	-22.607	0.000309	-1.89	-9.971	0.000612	-0.09	-0.521	0.636176
Gga.12509.1.S1_s_at	Finished cDNA, clone ChEST37d4	BU447486		-0.68	-2.693	0.113449	-1.59	-7.827	0.004107	-0.91	-2.798	0.045983
Gga.12514.1.S1_a_at	LOC395611: Glutathione S-transferase class-alpha	AF133252.1	395611	0.64	4.517	0.020423	1.28	9.297	0.000454	0.64	3.638	0.016555
Gga.12536.1.A1_at	Finished cDNA, clone ChEST423i4	BX933706.2		0.36	1.251	0.327643	-0.72	-3.975	0.018804	-1.08	-3.3	0.037132
Gga.12546.1.S1_s_at	LOC422454: similar to Inositol polyphosphate-4-phosphatase, type II, 105kDa	CN602421	422454	-0.82	-2.651	0.058925	-1.22	-5.623	0.012723	-0.4	-1.584	0.225396
Gga.12552.1.S1_at	Transcribed locus	CK607277		0.22	0.864	0.457376	-1.38	-4.243	0.008893	-1.59	-6.382	0.00315
Gga.12557.1.S1_at	Finished cDNA, clone ChEST27m19	BX933949.1		-1.07	-1.818	0.210415	-3.07	-8.71	0.003103	-2	-2.921	0.052697
Gga.12558.1.S1_s_at	LOC417595: similar to NSP5beta3beta	BU454996	417595	-1.25	-2.169	0.160965	-1.33	-4.751	0.015879	-0.07	-0.116	0.914939
Gga.12568.1.S1_at	Finished cDNA, clone ChEST569e23	BU223849		-1.61	-13.659	0.003952	-1.55	-14.051	0.0005	0.06	0.359	0.735009
Gga.12580.1.S1_s_at	LOC423882: similar to CG5882-PA	BX933054.2	423882	-1.58	-24.621	0.00002	-1.55	-8.734	0.002056	0.03	0.145	0.892713
