Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	DNA-binding	Interpro Domaon	69 Zinc Finger	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P100419	chrX:69176919-69176978	EDA	NM_001399	Ectodysplasin A	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1cbe0b8)//molecular function|receptor binding|IDA|GO:0005102|GOA|11039935//molecular function|tumor necrosis factor receptor binding|IEA|GO:0005164|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|cell-matrix adhesion|IEA|GO:0007160|GOA|na//biological process|ectoderm development|TAS|GO:0007398|GOA|8696334//biological process|gene expression|IEA|GO:0010467|GOA|na//biological process|hair follicle development|IEA|GO:0001942|GOA|na//biological process|immune response|IEA|GO:0006955|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|odontogenesis of dentine-containing tooth|IEA|GO:0042475|GOA|na//biological process|pigmentation|IEA|GO:0043473|GOA|na//biological process|positive regulation of NF-kappaB import into nucleus|IEA|GO:0042346|GOA|na//biological process|positive regulation of NF-kappaB transcription factor activity|IDA|GO:0051092|GOA|11039935//biological process|salivary gland development|IEA|GO:0007431|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|8696334//biological process|skin development|IEA|GO:0043588|GOA|na//cellular component|apical part of cell|IEA|GO:0045177|GOA|na//cellular component|cytoskeleton|TAS|GO:0005856|GOA|10484778//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|integral to membrane|TAS|GO:0016021|GOA|8696334//cellular component|integral to plasma membrane|IEA|GO:0005887|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|8696334//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	No	IPR006052:Tumor Necrosis Factor,IPR008160:Collagen triple helix repeat,IPR008983:Tumour necrosis factor-like,	0	F	14	0.7047	-1.419	7.6412E-14	32.9853	23.0099
A_24_P7887	chr22:41553254-41553313	EP300	NM_001429	E1A binding protein p300	molecular function|DNA binding|IDA|GO:0003677|GOA|9194565//molecular function|acetyltransferase activity|IMP|GO:0016407|GOA|12435739//molecular function|histone acetyltransferase activity|IDA|GO:0004402|GOA|12040021//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|peroxisome proliferator activated receptor binding|IEA|GO:0042975|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x14b4130)//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|ARRAY(0x1506cf8)//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IPI|GO:0008134|GOA|ARRAY(0xe49570)//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|N-terminal peptidyl-lysine acetylation|IDA|GO:0018076|GOA|12435739//biological process|apoptosis|IMP|GO:0006915|GOA|9194565//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|heart development|IEA|GO:0007507|GOA|na//biological process|histone H4 acetylation|IMP|GO:0043967|GOA|16325578//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|liver development|IEA|GO:0001889|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|10205054//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of cell growth|IEA|GO:0030307|GOA|na//biological process|positive regulation of proteolysis|IEA|GO:0045862|GOA|na//biological process|positive regulation of transcription factor activity|IDA|GO:0051091|GOA|10518217//biological process|positive regulation of transcription from RNA polymerase II promoter|IMP|GO:0045944|GOA|16325578//biological process|regulation of transcription|IDA|GO:0045449|GOA|15261140//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to ethanol|IEA|GO:0045471|GOA|na//biological process|response to glucocorticoid stimulus|IEA|GO:0051384|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to hypoxia|IDA|GO:0001666|GOA|15261140//biological process|skeletal muscle tissue development|IEA|GO:0007519|GOA|na//biological process|somitogenesis|IEA|GO:0001756|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|histone acetyltransferase complex|IEA|GO:0000123|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x1d34480)//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	Yes	IPR000197:Zinc finger, TAZ-type,IPR000433:Zinc finger, ZZ-type,IPR001487:Bromodomain,IPR003101:Coactivator CBP, KIX,IPR009255:Transcriptional coactivation,IPR010303:Protein of unknown function DUF902, CREBbp,IPR014744:Nuclear receptor coactivator, CREB-bp-like, interlocking,IPR018359:Bromodomain, conserved site,	1	F	16	0.6161	-1.6232	9.2623E-21	133.7901	80.969
A_24_P249784	chr12:1600127-1600186	ERC1	NR_027949	0	0	No	IPR019018:Rab11-binding domain , FIP domain, C-terminal,IPR019323:CAZ complex, RIM-binding protein,	0	F	15	0.7572	-1.3207	9.0154E-16	486.097	366.3262
A_23_P134366	chr7:13935455-13935514	ETV1	NM_004956	Ets variant 1	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|7700648//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR000418:Ets,IPR006715:PEA3-type ETS-domain transcription factor, N-terminal,IPR011991:Winged helix repressor DNA-binding,	0	F	15	0.7681	-1.3019	1.9839E-12	71.3619	54.4462
A_32_P223918	chr12:12045357-12045416	ETV6	NM_001987	Ets variant 6	molecular function|protein binding|IPI|GO:0005515|GOA|12590135//molecular function|protein domain specific binding|IPI|GO:0019904|GOA|12588862//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR000418:Ets,IPR003118:Sterile alpha motif/pointed,IPR011991:Winged helix repressor DNA-binding,IPR013761:Sterile alpha motif-type,	0	M	15	1.2785	1.2785	4.0954E-18	452.3715	577.7162
A_23_P161624	chr11:65660098-65660157	FOSL1	NM_005438	FOS-like antigen 1	molecular function|protein binding|IPI|GO:0005515|GOA|19060904//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription activator activity|IEA|GO:0016563|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|cellular defense response|TAS|GO:0006968|GOA|10918580//biological process|cellular response to extracellular stimulus|IEA|GO:0031668|GOA|na//biological process|chemotaxis|TAS|GO:0006935|GOA|10918580//biological process|female pregnancy|IEA|GO:0007565|GOA|na//biological process|learning|IEA|GO:0007612|GOA|na//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|positive regulation of apoptosis|IEA|GO:0043065|GOA|na//biological process|positive regulation of cell cycle|IEA|GO:0045787|GOA|na//biological process|positive regulation of cell proliferation|TAS|GO:0008284|GOA|8230424//biological process|positive regulation of transcription from RNA polymerase II promoter, mitotic|IEA|GO:0046022|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|10918580//biological process|response to cAMP|IEA|GO:0051591|GOA|na//biological process|response to corticosterone stimulus|IEA|GO:0051412|GOA|na//biological process|response to cytokine stimulus|IEA|GO:0034097|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to gravity|IEA|GO:0009629|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to progesterone stimulus|IEA|GO:0032570|GOA|na//biological process|response to virus|TAS|GO:0009615|GOA|8230424//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|2107490//cellular component|cytosol|IEA|GO:0005829|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|presynaptic membrane|IEA|GO:0042734|GOA|na//cellular component|synaptosome|IEA|GO:0019717|GOA|na	Yes	IPR000837:Fos transforming protein,IPR004827:Basic-leucine zipper (bZIP) transcription factor,IPR011616:bZIP transcription factor, bZIP-1,	0	M	15	1.2768	1.2768	3.3268E-06	111.5635	142.7489
A_32_P140898	chr2:48602485-48602544	FOXN2	NM_002158	Forkhead box N2	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR001766:Transcription factor, fork head,IPR011991:Winged helix repressor DNA-binding,IPR018122:Transcription factor, fork head, conserved site,	0	F	16	0.7829	-1.2772	8.9369E-06	203.1174	157.5386
A_24_P22079	chr13:41130709-41130768	FOXO1	NM_002015	Forkhead box O1	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1a15250)//molecular function|sequence-specific DNA binding|IDA|GO:0043565|GOA|12228231//molecular function|transcription activator activity|IDA|GO:0016563|GOA|ARRAY(0x1d4bb4c)//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|anti-apoptosis|IDA|GO:0006916|GOA|10871843//biological process|blood vessel development|IEA|GO:0001568|GOA|na//biological process|insulin receptor signaling pathway|IEA|GO:0008286|GOA|na//biological process|negative regulation of stress-activated MAPK cascade|IDA|GO:0032873|GOA|19696738//biological process|positive regulation of transcription|IEA|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|ARRAY(0x13c042c)//biological process|regulation of cell proliferation|IEA|GO:0042127|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|ARRAY(0xcf9aa4)//cellular component|cytosol|EXP|GO:0005829|GOA|12228231//cellular component|nucleoplasm|EXP|GO:0005654|GOA|12228231//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x1d8b93c)	Yes	IPR001766:Transcription factor, fork head,IPR011991:Winged helix repressor DNA-binding,IPR018122:Transcription factor, fork head, conserved site,	0	M	14	1.1812	1.1812	2.8057E-06	5054.4048	5971.0571
A_23_P110531	chr5:52780837-52780896	FST	NM_013409	Follistatin	molecular function|activin binding|IPI|GO:0048185|GOA|12697670//molecular function|heparan sulfate proteoglycan binding|IEA|GO:0043395|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x180496c)//molecular function|signal transducer activity|NAS|GO:0004871|GOA|12702211//biological process|BMP signaling pathway|IEA|GO:0030509|GOA|na//biological process|female gonad development|IEA|GO:0008585|GOA|na//biological process|gamete generation|IEA|GO:0007276|GOA|na//biological process|hair follicle morphogenesis|IEA|GO:0031069|GOA|na//biological process|hemopoietic progenitor cell differentiation|IDA|GO:0002244|GOA|15451575//biological process|keratinocyte proliferation|IEA|GO:0043616|GOA|na//biological process|negative regulation of activin receptor signaling pathway|IDA|GO:0032926|GOA|ARRAY(0x187dbe8)//biological process|negative regulation of cell differentiation|IEA|GO:0045596|GOA|na//biological process|negative regulation of follicle-stimulating hormone secretion|NAS|GO:0046882|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|12702211//biological process|odontogenesis of dentine-containing tooth|IEA|GO:0042475|GOA|na//biological process|pattern specification process|IEA|GO:0007389|GOA|na//biological process|positive regulation of hair follicle development|IDA|GO:0051798|GOA|12514121//cellular component|extracellular region|NAS|GO:0005576|GOA|na	No	IPR002350:Proteinase inhibitor I1, Kazal,IPR003645:Follistatin-like, N-terminal,IPR012913:Glucosidase II beta subunit-like,IPR015369:Follistatin/Osteonectin-like EGF domain,IPR017878:TGF-beta binding,	0	F	14	0.7715	-1.2961	3.5852E-06	10356.1621	7860.8633
A_23_P166219	chr21:27141714-27141773	GABPA	NM_002040	GA binding protein transcription factor, alpha subunit 60kDa	molecular function|DNA binding|TAS|GO:0003677|GOA|8441384//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|8441384//molecular function|protein binding|IPI|GO:0005515|GOA|10675337//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription coactivator activity|TAS|GO:0003713|GOA|8441384//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|in utero embryonic development|IEA|GO:0001701|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8441384//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR000418:Ets,IPR003118:Sterile alpha motif/pointed,IPR011991:Winged helix repressor DNA-binding,IPR013761:Sterile alpha motif-type,IPR016312:Transcription factor, GA-binding, alpha subunit,	0	F	14	0.851	-1.175	1.0315E-08	517.965	441.1103
A_24_P191207	chr1:151091442-151091501	GABPB2	BC027033	GA binding protein transcription factor, beta subunit 2	molecular function|protein homodimerization activity|IEA|GO:0042803|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR002110:Ankyrin,	0	F	16	0.762	-1.3123	1.9514E-08	74.9915	56.6475
A_24_P279938	chr21:34132148-34132207	GCFC1	NR_027873	0	0	No	IPR012890:GC-rich sequence DNA-binding factor-like,	0	F	14	0.7936	-1.2601	6.8584E-07	199.2772	155.7572
A_32_P84388	chr5:177612916-177612975	GMCL1L	NR_003281	0	0	No	IPR000210:BTB/POZ-like,IPR011333:BTB/POZ fold,IPR013069:BTB/POZ,	0	F	14	0.8439	-1.1849	1.2631E-08	772.5387	647.7052
A_23_P365785	chr2:10140731-10140790	GRHL1	NM_198182	Grainyhead-like 1 (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR007604:CP2 transcription factor,	0	M	14	1.2577	1.2577	0.000081389	533.8687	676.8726
A_23_P39137	chr19:47425093-47425152	GRLF1	NM_004491	Glucocorticoid receptor DNA binding factor 1	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|GTPase activator activity|IEA|GO:0005096|GOA|na//molecular function|Rho GTPase activator activity|EXP|GO:0005100|GOA|16188938//molecular function|transcription corepressor activity|TAS|GO:0003714|GOA|1894621//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|1894621//biological process|camera-type eye development|IEA|GO:0043010|GOA|na//biological process|forebrain development|IEA|GO:0030900|GOA|na//biological process|negative regulation of transcription|IDA|GO:0016481|GOA|1894621//biological process|neural tube closure|IEA|GO:0001843|GOA|na//biological process|regulation of cell shape|IEA|GO:0008360|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//biological process|transcription|TAS|GO:0006350|GOA|1894621//cellular component|actin cytoskeleton|IEA|GO:0015629|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|16188938//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IC|GO:0005634|GOA|1894621	Yes	IPR000198:RhoGAP,IPR002713:FF domain,IPR013753:Ras,	0	F	14	0.7975	-1.2539	1.2052E-07	34.848	27.6353
