Gene Name	Description	RefSeq ID	Fold Change	FDR
CASP8	Homo sapiens caspase 8, apoptosis-related cysteine protease (CASP8), transcript variant D, mRNA	NM_033357	1.6	16.964
ZFPL1	Homo sapiens zinc finger protein-like 1 (ZFPL1), mRNA	NM_006782	1.6	26.062
CBFA2T2	Homo sapiens core-binding factor, runt domain, alpha subunit 2; translocated to, 2 (CBFA2T2), transcript variant 1, mRNA	NM_175864	1.6	52.841
KIAA0423	Homo sapiens KIAA0423 (KIAA0423), mRNA	NM_015091	1.6	18.042
SPRY2	Homo sapiens sprouty homolog 2 (Drosophila) (SPRY2), mRNA	NM_005842	1.6	36.392
LOC168850	Homo sapiens hypothetical protein LOC168850 (LOC168850), mRNA	NM_176814	1.6	19.115
ATXN2L	Homo sapiens ataxin 2-like (ATXN2L), transcript variant C, mRNA	NM_148414	1.6	131.363
ATXN2L	Homo sapiens ataxin 2-like (ATXN2L), transcript variant A, mRNA	NM_007245	1.6	131.363
ATXN2L	Homo sapiens ataxin 2-like (ATXN2L), transcript variant F, mRNA	NM_017492	1.6	131.363
IARS	Homo sapiens isoleucine-tRNA synthetase (IARS), transcript variant long, mRNA	NM_013417	1.6	209.823
CTNS	Homo sapiens cystinosis, nephropathic (CTNS), mRNA	NM_004937	1.6	20.184
FLJ32731	Homo sapiens cDNA: FLJ22242 fis, clone HRC02528.	AK025895	1.6	20.184
FLJ32731	Homo sapiens cDNA FLJ32731 fis, clone TESTI2001134.	AK057293	1.6	20.184
BANP	Homo sapiens BTG3 associated nuclear protein (BANP), transcript variant 1, mRNA	NM_017869	1.6	44.007
NICAL	Homo sapiens NEDD9 interacting protein with calponin homology and LIM domains (NICAL), mRNA	NM_022765	1.6	24.419
TXNL2	Homo sapiens thioredoxin-like 2 (TXNL2), mRNA	NM_006541	1.6	38.486
DNCLI1	Homo sapiens dynein, cytoplasmic, light intermediate polypeptide 1 (DNCLI1), mRNA	NM_016141	1.6	91.326
EEF2	Homo sapiens eukaryotic translation elongation factor 2 (EEF2), mRNA	NM_001961	1.6	2667.762
CANX	Homo sapiens calnexin (CANX), mRNA	NM_001746	1.6	921.475
ARL10B	Homo sapiens ADP-ribosylation factor-like 10B (ARL10B), mRNA	NM_138795	1.6	29.673
GTPBP5	Homo sapiens GTP binding protein 5 (putative) (GTPBP5), mRNA	NM_015666	1.6	26.489
ZNF552	Homo sapiens zinc finger protein 552 (ZNF552), mRNA	NM_024762	1.6	25.451
CBR1	Homo sapiens carbonyl reductase 1 (CBR1), mRNA	NM_001757	1.6	16.906
TFDP2	Homo sapiens transcription factor Dp-2 (E2F dimerization partner 2) (TFDP2), mRNA	NM_006286	1.6	14.763
POLM	Homo sapiens polymerase (DNA directed), mu (POLM), mRNA	NM_013284	1.6	14.763
LMO4	Homo sapiens LIM domain only 4 (LMO4), mRNA	NM_006769	1.6	84.354
MGC11308	Homo sapiens hypothetical protein MGC11308 (MGC11308), mRNA	NM_032889	1.6	24.885
SFRS12	Homo sapiens splicing factor, arginine/serine-rich 12 (SFRS12), mRNA	NM_139168	1.6	48.188
RHOT1	Homo sapiens cDNA FLJ12633 fis, clone NT2RM4001856.	AK022695	1.6	22.682
RHOT1	Homo sapiens ras homolog gene family, member T1 (RHOT1), mRNA	NM_018307	1.6	22.682
ZNF295	Homo sapiens zinc finger protein 295 (ZNF295), mRNA	NM_020727	1.6	21.647
GCAT	Homo sapiens glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase) (GCAT), nuclear gene encoding mitochondrial protein, mRNA	NM_014291	1.6	35.128
C6orf83	Homo sapiens chromosome 6 open reading frame 83 (C6orf83), mRNA	NM_145169	1.6	16.350
KLF13	Homo sapiens Kruppel-like factor 13 (KLF13), mRNA	NM_015995	1.6	76.442
TNPO1	Homo sapiens transportin 1 (TNPO1), transcript variant 1, mRNA	NM_002270	1.6	73.080
RBM28	Homo sapiens RNA binding motif protein 28 (RBM28), mRNA	NM_018077	1.6	28.529
MGC11349	Homo sapiens hypothetical protein MGC11349 (MGC11349), mRNA	NM_025112	1.6	84.805
RASEF	Homo sapiens cDNA FLJ31614 fis, clone NT2RI2002970.	AK056176	1.6	14.212
CARF	Homo sapiens collaborates/cooperates with ARF (alternate reading frame) protein (CARF), mRNA	NM_017632	1.6	13.155
SRPRB	Homo sapiens signal recognition particle receptor, B subunit (SRPRB), mRNA	NM_021203	1.6	41.578
C1orf35	Homo sapiens chromosome 1 open reading frame 35 (C1orf35), mRNA	NM_024319	1.6	21.117
ABC1	Homo sapiens amplified in breast cancer 1 (ABC1), mRNA	NM_022070	1.6	21.117
CRSP6	Homo sapiens cofactor required for Sp1 transcriptional activation, subunit 6, 77kDa (CRSP6), mRNA	NM_004268	1.6	21.117
WBSCR14	Homo sapiens Williams Beuren syndrome chromosome region 14 (WBSCR14), transcript variant 1, mRNA	NM_032951	1.6	21.117
SBF1	Homo sapiens SET binding factor 1 (SBF1), transcript variant 1, mRNA	NM_002972	1.6	230.303
PPP2R5A	Homo sapiens protein phosphatase 2, regulatory subunit B (B56), alpha isoform (PPP2R5A), mRNA	NM_006243	1.6	40.478
RSAD1	Homo sapiens radical S-adenosyl methionine domain containing 1 (RSAD1), mRNA	NM_018346	1.6	30.140
ARFIP1	Homo sapiens ADP-ribosylation factor interacting protein 1 (arfaptin 1) (ARFIP1), mRNA	NM_014447	1.6	19.023
FLJ10726	Homo sapiens hypothetical protein FLJ10726 (FLJ10726), mRNA	NM_018195	1.6	26.945
DHX33	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 33 (DHX33), mRNA	NM_020162	1.6	25.913
PHF15	Homo sapiens PHD finger protein 15 (PHF15), mRNA	NM_015288	1.6	50.248
SSR4	Homo sapiens signal sequence receptor, delta (translocon-associated protein delta) (SSR4), mRNA	NM_006280	1.6	90.919
RNASEH1	Homo sapiens ribonuclease H1 (RNASEH1), mRNA	NM_002936	1.6	16.864
POLG2	Homo sapiens polymerase (DNA directed), gamma 2, accessory subunit (POLG2), mRNA	NM_007215	1.6	16.864
RNASEH1	Homo sapiens ribonuclease H1 (RNASEH1), mRNA	NM_002936	1.6	16.864
DNAJC4	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 4 (DNAJC4), mRNA	NM_005528	1.6	15.792
LOC147991	Homo sapiens hypothetical protein LOC147991 (LOC147991), mRNA	NM_207325	1.6	27.418
FLJ13614	Homo sapiens hypothetical protein FLJ13614 (FLJ13614), mRNA	NM_139076	1.6	13.660
SPTBN1	Homo sapiens spectrin, beta, non-erythrocytic 1 (SPTBN1), transcript variant 1, mRNA	NM_003128	1.6	922.619
FAM20A	Homo sapiens family with sequence similarity 20, member A (FAM20A), mRNA	NM_017565	1.6	36.117
TXNDC4	Homo sapiens thioredoxin domain containing 4 (endoplasmic reticulum) (TXNDC4), mRNA	NM_015051	1.6	50.726
KTN1	Homo sapiens kinectin 1 (kinesin receptor) (KTN1), mRNA	NM_182926	1.6	139.337
PFTK1	Homo sapiens PFTAIRE protein kinase 1 (PFTK1), mRNA	NM_012395	1.6	22.122
C20orf112	Homo sapiens chromosome 20 open reading frame 112 (C20orf112), mRNA	NM_080616	1.6	62.378
ARHGDIA	Homo sapiens Rho GDP dissociation inhibitor (GDI) alpha (ARHGDIA), mRNA	NM_004309	1.6	226.947
TUSC4	Homo sapiens tumor suppressor candidate 4 (TUSC4), mRNA	NM_006545	1.6	15.228
MGC3047	Homo sapiens limitrin (MGC3047), mRNA	NM_032348	1.6	28.436
TP53BP2	Homo sapiens tumor protein p53 binding protein, 2 (TP53BP2), mRNA	NM_005426	1.6	104.773
NR3C1	Homo sapiens nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) (NR3C1), mRNA	NM_000176	1.6	42.007
GPR35	Homo sapiens G protein-coupled receptor 35 (GPR35), mRNA	NM_005301	1.6	14.173
C10orf26	Homo sapiens chromosome 10 open reading frame 26 (C10orf26), mRNA	NM_017787	1.6	40.899
KIF5B	Homo sapiens kinesin family member 5B (KIF5B), mRNA	NM_004521	1.6	138.625
C10orf10	Homo sapiens chromosome 10 open reading frame 10 (C10orf10), mRNA	NM_007021	1.6	36.072
SLITRK2	Homo sapiens clone DNA219240 LSGV9197 (UNQ9197) mRNA, complete cds.	AY358828	1.6	17.895
ATP9B	Homo sapiens ATPase, Class II, type 9B (ATP9B), mRNA	NM_198531	1.6	17.895
USP20	Homo sapiens ubiquitin specific protease 20 (USP20), transcript variant 2, mRNA	NM_006676	1.6	34.978
DRE1	Homo sapiens DRE1 protein (DRE1), mRNA	NM_017644	1.6	73.875
PEX1	Homo sapiens peroxisome biogenesis factor 1 (PEX1), mRNA	NM_000466	1.6	16.820
FLJ35867	Homo sapiens hypothetical protein FLJ35867 (FLJ35867), mRNA	NM_152455	1.6	20.537
HSA9761	Homo sapiens putative dimethyladenosine transferase (HSA9761), mRNA	NM_014473	1.6	24.224
MICAL-L1	Homo sapiens MICAL-like 1 (MICAL-L1), mRNA	NM_033386	1.6	31.673
HRB	Homo sapiens HIV-1 Rev binding protein (HRB), mRNA	NM_004504	1.6	111.363
FKSG27	Homo sapiens FKSG27 protein (FKSG27), mRNA	NM_001007561	1.6	78.806
P15RS	Homo sapiens hypothetical protein FLJ10656 (P15RS), mRNA	NM_018170	1.6	80.463
KLHL18	Homo sapiens cDNA FLJ13703 fis, clone PLACE2000246, weakly similar to RING CANAL PROTEIN.	AK023765	1.6	37.632
CCNJ	Homo sapiens cyclin J (CCNJ), mRNA	NM_019084	1.6	27.342
HSPC163	Homo sapiens HSPC163 protein (HSPC163), mRNA	NM_014184	1.6	17.341
SCARF2	Homo sapiens scavenger receptor class F, member 2 (SCARF2), transcript variant 1, mRNA	NM_153334	1.6	30.004
BCAS3	Homo sapiens breast carcinoma amplified sequence 3 (BCAS3), mRNA	NM_017679	1.6	30.004
LRRC14	Homo sapiens leucine rich repeat containing 14 (LRRC14), mRNA	NM_014665	1.6	20.010
ANKS1	Homo sapiens ankyrin repeat and sterile alpha motif domain containing 1 (ANKS1), mRNA	NM_015245	1.6	20.010
SUHW2	Homo sapiens suppressor of hairy wing homolog 2 (Drosophila) (SUHW2), mRNA	NM_080764	1.6	26.310
STX18	Homo sapiens syntaxin 18 (STX18), mRNA	NM_016930	1.6	32.736
SELS	Homo sapiens selenoprotein S (SELS), transcript variant 2, mRNA	NM_018445	1.6	39.199
MGC48972	Homo sapiens hypothetical protein MGC48972 (MGC48972), mRNA	NM_173475	1.6	16.260
XRN2	Homo sapiens 5-3 exoribonuclease 2 (XRN2), mRNA	NM_012255	1.6	137.721
XRN2	Homo sapiens 5-3 exoribonuclease 2 (XRN2), mRNA	NM_012255	1.6	137.721
XRN2	Homo sapiens 5-3 exoribonuclease 2 (XRN2), mRNA	NM_012255	1.6	137.721
SUV420H2	Homo sapiens suppressor of variegation 4-20 homolog 2 (Drosophila) (SUV420H2), mRNA	NM_032701	1.6	32.156
SEL1L	Homo sapiens sel-1 suppressor of lin-12-like (C. elegans) (SEL1L), mRNA	NM_005065	1.6	55.479
CDH2	Homo sapiens cadherin 2, type 1, N-cadherin (neuronal) (CDH2), mRNA	NM_001792	1.6	61.054
DCP2	Homo sapiens DCP2 decapping enzyme homolog (S. cerevisiae) (DCP2), mRNA	NM_152624	1.6	11.518
DCP2	Homo sapiens DCP2 decapping enzyme homolog (S. cerevisiae) (DCP2), mRNA	NM_152624	1.6	11.518
C7orf19	Homo sapiens chromosome 7 open reading frame 19 (C7orf19), mRNA	NM_032831	1.6	16.783
MGC16471	Homo sapiens cDNA FLJ35457 fis, clone SMINT2004589.	AK092776	1.6	16.783
MSI2	Homo sapiens musashi homolog 2 (Drosophila) (MSI2), transcript variant 1, mRNA	NM_138962	1.6	35.411
MSI2	Homo sapiens musashi homolog 2 (Drosophila) (MSI2), transcript variant 2, mRNA	NM_170721	1.6	35.411
TMEM33	Homo sapiens transmembrane protein 33 (TMEM33), mRNA	NM_018126	1.6	48.907
FAM38A	Homo sapiens family with sequence similarity 38, member A (FAM38A), mRNA	NM_014745	1.6	153.900
GULP1	Homo sapiens GULP, engulfment adaptor PTB domain containing 1 (GULP1), mRNA	NM_016315	1.6	34.292
LOC90799	Homo sapiens hypothetical protein BC009518 (LOC90799), mRNA	NM_138363	1.6	18.361
KLC2	Homo sapiens likely ortholog of kinesin light chain 2 (KLC2), mRNA	NM_022822	1.6	113.233
CARKL	Homo sapiens carbohydrate kinase-like (CARKL), mRNA	NM_013276	1.6	13.066
COMMD5	Homo sapiens COMM domain containing 5 (COMMD5), mRNA	NM_014066	1.6	13.066
SVH	Homo sapiens SVH protein (SVH), mRNA	NM_031905	1.6	19.972
PDE3A	Homo sapiens phosphodiesterase 3A, cGMP-inhibited (PDE3A), mRNA	NM_000921	1.6	26.774
NES	Homo sapiens nestin (NES), mRNA	NM_006617	1.6	75.177
ATP11B	Homo sapiens mRNA for KIAA0956 protein, partial cds.	AB023173	1.6	25.739
FST	Homo sapiens follistatin (FST), transcript variant FST344, mRNA	NM_013409	1.6	18.887
DKC1	Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), mRNA	NM_001363	1.6	50.989
RPS21	Homo sapiens ribosomal protein S21 (RPS21), mRNA	NM_001024	1.6	289.485
LAF4	Homo sapiens lymphoid nuclear protein related to AF4 (LAF4), mRNA	NM_002285	1.6	13.587
DUSP12	Homo sapiens dual specificity phosphatase 12 (DUSP12), mRNA	NM_007240	1.6	17.813
KIAA1285	Homo sapiens KIAA1285 protein (KIAA1285), mRNA	NM_015694	1.6	19.422
C14orf101	Homo sapiens chromosome 14 open reading frame 101 (C14orf101), mRNA	NM_017799	1.6	15.147
HECA	Homo sapiens headcase homolog (Drosophila) (HECA), mRNA	NM_016217	1.6	25.176
RECQL5	Homo sapiens RecQ protein-like 5 (RECQL5), transcript variant 1, mRNA	NM_004259	1.6	20.957
HLCS	Homo sapiens holocarboxylase synthetase (biotin-proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase) (HLCS), mRNA	NM_000411	1.6	16.743
BCAT1	Homo sapiens branched chain aminotransferase 1, cytosolic (BCAT1), mRNA	NM_005504	1.6	47.139
NARS	Homo sapiens asparaginyl-tRNA synthetase (NARS), mRNA	NM_004539	1.6	137.798
ELK1	Homo sapiens ELK1, member of ETS oncogene family (ELK1), mRNA	NM_005229	1.6	22.483
PEX14	Homo sapiens peroxisomal biogenesis factor 14 (PEX14), mRNA	NM_004565	1.6	38.528
ADRM1	Homo sapiens adhesion regulating molecule 1 (ADRM1), transcript variant 1, mRNA	NM_007002	1.6	119.228
FLRT3	Homo sapiens fibronectin leucine rich transmembrane protein 3 (FLRT3), transcript variant 1, mRNA	NM_013281	1.6	79.516
BRD4	Homo sapiens bromodomain containing 4 (BRD4), transcript variant long, mRNA	NM_058243	1.6	63.054
BRD4	Homo sapiens bromodomain containing 4 (BRD4), transcript variant short, mRNA	NM_014299	1.6	63.054
PARC	Homo sapiens p53-associated parkin-like cytoplasmic protein (PARC), mRNA	NM_015089	1.6	34.748
GPATC4	Homo sapiens G patch domain containing 4 (GPATC4), transcript variant 1, mRNA	NM_015590	1.6	30.397
RAB11B	Homo sapiens RAB11B, member RAS oncogene family (RAB11B), mRNA	NM_004218	1.6	70.591
FLJ10357	Homo sapiens hypothetical protein FLJ10357 (FLJ10357), mRNA	NM_018071	1.6	47.615
SLC19A1	Homo sapiens solute carrier family 19 (folate transporter), member 1 (SLC19A1), transcript variant 1, mRNA	NM_003056	1.6	32.568
C9orf112	Homo sapiens chromosome 9 open reading frame 112 (C9orf112), mRNA	NM_138778	1.6	23.529
FLJ33008	Homo sapiens hypothetical protein FLJ33008 (FLJ33008), mRNA	NM_152449	1.6	25.140
ZNF499	Homo sapiens zinc finger protein 499 (ZNF499), mRNA	NM_032792	1.6	14.591
p44S10	Homo sapiens proteasome regulatory particle subunit p44S10 (p44S10), mRNA	NM_014814	1.6	14.591
SPOCK2	Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 (SPOCK2), mRNA	NM_014767	1.6	31.467
ZFP36L1	Homo sapiens zinc finger protein 36, C3H type-like 1 (ZFP36L1), mRNA	NM_004926	1.6	67.814
ZFP36L1	Homo sapiens zinc finger protein 36, C3H type-like 1 (ZFP36L1), mRNA	NM_004926	1.6	67.814
TEAD4	Homo sapiens TEA domain family member 4 (TEAD4), transcript variant 1, mRNA	NM_003213	1.6	20.925
KPNA4	Homo sapiens karyopherin alpha 4 (importin alpha 3) (KPNA4), mRNA	NM_002268	1.6	71.072
ZZZ3	Homo sapiens zinc finger, ZZ domain containing 3 (ZZZ3), mRNA	NM_015534	1.6	37.932
DDX31	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 31 (DDX31), transcript variant 1, mRNA	NM_022779	1.6	27.205
SMAD6	Homo sapiens SMAD, mothers against DPP homolog 6 (Drosophila) (SMAD6), mRNA	NM_005585	1.6	36.870
COVA1	Homo sapiens cytosolic ovarian carcinoma antigen 1 (COVA1), transcript variant 2, mRNA	NM_182314	1.6	15.113
TJP1	Homo sapiens tight junction protein 1 (zona occludens 1) (TJP1), transcript variant 1, mRNA	NM_003257	1.6	82.709
MGC5391	Homo sapiens hypothetical protein MGC5391 (MGC5391), mRNA	NM_032740	1.6	18.285
ELF2	Homo sapiens E74-like factor 2 (ets domain transcription factor) (ELF2), transcript variant 2, mRNA	NM_006874	1.6	21.407
RAI1	Homo sapiens retinoic acid induced 1 (RAI1), mRNA	NM_030665	1.6	22.954
DKFZP564G2022	Homo sapiens DKFZP564G2022 protein (DKFZP564G2022), mRNA	NM_015497	1.6	22.954
DOC-1R	Homo sapiens tumor suppressor deleted in oral cancer-related 1 (DOC-1R), mRNA	NM_005851	1.6	141.274
TRIM8	Homo sapiens tripartite motif-containing 8 (TRIM8), mRNA	NM_030912	1.6	46.436
PTBP2	Homo sapiens polypyrimidine tract binding protein 2 (PTBP2), mRNA	NM_021190	1.6	14.072
PCBP1	Homo sapiens poly(rC) binding protein 1 (PCBP1), mRNA	NM_006196	1.6	155.083
IPLA2(GAMMA)	Homo sapiens intracellular membrane-associated calcium-independent phospholipase A2 gamma (IPLA2(GAMMA)), mRNA	NM_015723	1.6	20.891
FLJ14397	Homo sapiens hypothetical protein FLJ14397 (FLJ14397), mRNA	NM_032779	1.6	19.344
SLC27A4	Homo sapiens fatty acid transport protein (FATP) mRNA, complete cds.	AF055899	1.6	37.869
SUSD1	Homo sapiens sushi domain containing 1 (SUSD1), mRNA	NM_022486	1.6	27.651
ATP13A1	Homo sapiens ATPase type 13A1 (ATP13A1), mRNA	NM_020410	1.6	77.549
ZNF532	Homo sapiens zinc finger protein 532 (ZNF532), mRNA	NM_018181	1.6	16.147
ZNF532	Homo sapiens mRNA for KIAA1629 protein, partial cds.	AB046849	1.6	16.147
WRN	Homo sapiens Werner syndrome (WRN), mRNA	NM_000553	1.6	24.541
DNASE2	Homo sapiens deoxyribonuclease II, lysosomal (DNASE2), mRNA	NM_001375	1.6	33.015
PL6	Homo sapiens placental protein 6 (PL6), mRNA	NM_007024	1.6	50.172
PAQR3	Homo sapiens progestin and adipoQ receptor family member III (PAQR3), mRNA	NM_177453	1.6	14.557
IL6ST	Homo sapiens cDNA clone IMAGE:4374041, containing frame-shift errors.	BC071555	1.6	105.896
IL6ST	Homo sapiens interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), transcript variant 1, mRNA	NM_002184	1.6	105.896
ECE2	Homo sapiens endothelin converting enzyme 2 (ECE2), mRNA	NM_014693	1.6	13.000
MGC2408	Homo sapiens hypothetical protein MGC2408 (MGC2408), mRNA	NM_032331	1.6	13.000
GPRC5C	Homo sapiens G protein-coupled receptor, family C, group 5, member C (GPRC5C), transcript variant 1, mRNA	NM_022036	1.6	70.363
FLJ35036	Homo sapiens cDNA FLJ31131 fis, clone IMR322000935.	AK055693	1.6	38.883
FLJ35036	Homo sapiens cDNA: FLJ22332 fis, clone HRC05753.	AK025985	1.6	38.883
PTPN23	Homo sapiens protein tyrosine phosphatase, non-receptor type 23 (PTPN23), mRNA	NM_015466	1.6	51.233
TCF8	Homo sapiens transcription factor 8 (represses interleukin 2 expression) (TCF8), mRNA	NM_030751	1.6	18.249
FLJ20397	Homo sapiens hypothetical protein FLJ20397 (FLJ20397), mRNA	NM_017802	1.6	37.305
RPS2	Homo sapiens ribosomal protein S2 (RPS2), mRNA	NM_002952	1.6	725.718
FLJ20186	Homo sapiens hypothetical protein FLJ20186 (FLJ20186), transcript variant 2, mRNA	NM_017702	1.6	67.642
TFAM	Homo sapiens transcription factor A, mitochondrial (TFAM), mRNA	NM_003201	1.6	28.676
AGPS	Homo sapiens alkylglycerone phosphate synthase (AGPS), mRNA	NM_003659	1.6	114.660
SACS	Homo sapiens spastic ataxia of Charlevoix-Saguenay (sacsin) (SACS), mRNA	NM_014363	1.6	30.823
ERBP	Homo sapiens estrogen receptor binding protein (ERBP), mRNA	NM_014597	1.6	29.195
PFKFB2	Homo sapiens 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2), mRNA	NM_006212	1.6	35.147
CAMLG	Homo sapiens calcium modulating ligand (CAMLG), mRNA	NM_001745	1.6	24.506
CYP20A1	Homo sapiens cytochrome P450, family 20, subfamily A, polypeptide 1 (CYP20A1), transcript variant 2, mRNA	NM_020674	1.6	28.132
PCQAP	Homo sapiens PC2 (positive cofactor 2, multiprotein complex) glutamine/Q-rich-associated protein (PCQAP), transcript variant 2, mRNA	NM_015889	1.6	39.364
RPS16	Homo sapiens ribosomal protein S16 (RPS16), mRNA	NM_001020	1.6	872.759
PCBP2	Homo sapiens poly(rC) binding protein 2 (PCBP2), transcript variant 1, mRNA	NM_005016	1.6	147.440
CXXC5	Homo sapiens CXXC finger 5 (CXXC5), mRNA	NM_016463	1.6	69.749
SKI	Homo sapiens v-ski sarcoma viral oncogene homolog (avian) (SKI), mRNA	NM_003036	1.6	64.377
CKLFSF4	Homo sapiens chemokine-like factor super family 4 (CKLFSF4), transcript variant 2, mRNA	NM_181521	1.6	25.043
E4F1	Homo sapiens E4F transcription factor 1 (E4F1), mRNA	NM_004424	1.6	25.043
NRIP1	Homo sapiens nuclear receptor interacting protein 1 (NRIP1), mRNA	NM_003489	1.6	45.807
C6orf107	Homo sapiens mRNA; cDNA DKFZp686F10110 (from clone DKFZp686F10110).	BX640641	1.6	67.018
TBC1D16	Homo sapiens cDNA FLJ34604 fis, clone KIDNE2013413.	AK091923	1.6	47.934
ZNF167	Homo sapiens zinc finger protein 167 (ZNF167), transcript variant 1, mRNA	NM_018651	1.6	19.829
IRF1	Homo sapiens interferon regulatory factor 1 (IRF1), mRNA	NM_002198	1.6	25.553
N4BP2	Homo sapiens Nedd4 binding protein 2 (N4BP2), mRNA	NM_018177	1.6	46.837
PPP1R8	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 8 (PPP1R8), transcript variant 2, mRNA	NM_138558	1.6	35.643
PPP1R8	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 8 (PPP1R8), transcript variant 2, mRNA	NM_138558	1.6	35.643
ARL2L1	Homo sapiens ADP-ribosylation factor-like 2-like 1 (ARL2L1), transcript variant 2, mRNA	NM_144996	1.6	14.527
YARS	Homo sapiens tyrosyl-tRNA synthetase (YARS), mRNA	NM_003680	1.6	169.043
GNAZ	Homo sapiens guanine nucleotide binding protein (G protein), alpha z polypeptide (GNAZ), mRNA	NM_002073	1.6	26.563
VPS13C	Homo sapiens vacuolar protein sorting 13C (yeast) (VPS13C), mRNA	NM_017684	1.6	44.704
VPS13C	Homo sapiens cDNA FLJ10381 fis, clone NT2RM2002055.	AK001243	1.6	44.704
PLEKHE1	Homo sapiens pleckstrin homology domain containing, family E (with leucine rich repeats) member 1 (PLEKHE1), mRNA	NM_194449	1.6	27.077
KIAA1128	Homo sapiens KIAA1128 (KIAA1128), mRNA	NM_018999	1.6	33.449
UNC50	Homo sapiens unc-50 homolog (C. elegans) (UNC50), mRNA	NM_014044	1.6	27.563
GRINA	Homo sapiens glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding) (GRINA), transcript variant 1, mRNA	NM_000837	1.6	99.975
FLJ11171	Homo sapiens hypothetical protein FLJ11171 (FLJ11171), mRNA	NM_018348	1.6	13.505
FOXK2	Homo sapiens forkhead box K2 (FOXK2), transcript variant 2, mRNA	NM_181430	1.6	126.753
TRIM2	Homo sapiens tripartite motif-containing 2 (TRIM2), mRNA	NM_015271	1.6	70.147
F25965	Homo sapiens protein F25965 (F25965), mRNA	NM_019104	1.6	15.564
FADD	Homo sapiens Fas (TNFRSF6)-associated via death domain (FADD), mRNA	NM_003824	1.6	46.779
COPE	Homo sapiens cDNA FLJ13241 fis, clone OVARC1000557.	AK023303	1.6	210.653
COPE	Homo sapiens coatomer protein complex, subunit epsilon (COPE), transcript variant 1, mRNA	NM_007263	1.6	210.653
RNF139	Homo sapiens ring finger protein 139 (RNF139), mRNA	NM_007218	1.6	17.683
MFHAS1	Homo sapiens malignant fibrous histiocytoma amplified sequence 1 (MFHAS1), mRNA	NM_004225	1.6	83.922
CTGF	Homo sapiens connective tissue growth factor (CTGF), mRNA	NM_001901	1.6	53.805
PLXNB2	Human mRNA for KIAA0315 gene, partial cds.	AB002313	1.6	129.471
SENP6	Homo sapiens SUMO1/sentrin specific protease 6 (SENP6), mRNA	NM_015571	1.6	50.007
NKIRAS1	Homo sapiens NFKB inhibitor interacting Ras-like 1 (NKIRAS1), mRNA	NM_020345	1.6	20.309
KLHL11	Homo sapiens kelch-like 11 (Drosophila) (KLHL11), mRNA	NM_018143	1.6	16.097
C4orf16	Homo sapiens chromosome 4 open reading frame 16 (C4orf16), mRNA	NM_018569	1.6	29.105
THC2163556	Q8BIW8 (Q8BIW8) Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330576A08 product:MG81 PROTEIN homolog, partial (86%)	THC2163556	1.6	27.053
FLJ35725	Homo sapiens hypothetical protein FLJ35725 (FLJ35725), mRNA	NM_152544	1.6	20.808
C1orf19	Homo sapiens chromosome 1 open reading frame 19 (C1orf19), mRNA	NM_052965	1.6	20.808
SETMAR	Homo sapiens SET domain and mariner transposase fusion gene (SETMAR), mRNA	NM_006515	1.6	18.723
DDX19	Homo sapiens DEAD (Asp-Glu-Ala-As) box polypeptide 19 (DDX19), mRNA	NM_007242	1.6	47.809
TTC21B	Homo sapiens mRNA for KIAA1992 protein.	AB082523	1.6	25.496
SLC25A10	Homo sapiens solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10 (SLC25A10), mRNA	NM_012140	1.6	25.496
GTPBP4	Homo sapiens GTP binding protein 4 (GTPBP4), mRNA	NM_012341	1.6	48.346
DNAJA3	Homo sapiens DnaJ (Hsp40) homolog, subfamily A, member 3 (DNAJA3), mRNA	NM_005147	1.6	65.228
RABGGTB	Homo sapiens Rab geranylgeranyltransferase, beta subunit (RABGGTB), mRNA	NM_004582	1.6	54.798
MEP50	Homo sapiens methylosome protein 50 (MEP50), mRNA	NM_024102	1.6	37.656
SEMA4C	Homo sapiens sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C (SEMA4C), mRNA	NM_017789	1.6	83.745
MARK4	Homo sapiens MAP/microtubule affinity-regulating kinase 4 (MARK4), mRNA	NM_031417	1.6	38.178
TMED5	Homo sapiens transmembrane emp24 protein transport domain containing 5 (TMED5), mRNA	NM_016040	1.6	91.981
MYO9A	Homo sapiens myosin IXA (MYO9A), mRNA	NM_006901	1.6	33.903
CBL	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA	NM_005188	1.6	41.877
