Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
ANKH	ankylosis, progressive homolog (mouse)	136_18	-0.370425296	0.504785795	-0.875211091	1.834276453	yes	yes	yes	chr5:14757909-14924616 (-) // 92.16 // p15.2	NP_473368.1	NM_054027	1501 // skeletal development // non-traceable author statement /// 6810 // transport // inferred from electronic annotation /// 6817 // phosphate transport // inferred from electronic annotation /// 7605 // sensory perception of sound // inferred from electronic annotation /// 7626 // locomotory behavior // non-traceable author statement /// 30500 // regulation of bone mineralization // inferred from sequence or structural similarity /// 30500 // regulation of bone mineralization // traceable author statement	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from direct assay /// 19867 // outer membrane // inferred from sequence or structural similarity /// 19867 // outer membrane // traceable author stateme	5315 // inorganic phosphate transporter activity // inferred from direct assay /// 30504 // inorganic diphosphate transporter activity // inferred from direct assay /// 15114 // phosphate transporter activity // inferred from electronic annotation	---
ANKMY2	ankyrin repeat and MYND domain containing 2	89_35	-0.173495074	0.516308487	-0.689803561	1.613063866	yes	yes	yes	chr7:16605928-16651928 (-) // 97.25 // p21.1	NP_064715.1	NM_020319	---	---	8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
ANKRD10	Ankyrin repeat domain 10	124_42	0.742638154	0.162894127	0.579744027	1.494584045	yes	yes	yes	chr13:110350427-110352397 (+) // 82.75 // q34	NP_060134.2	NM_017664	---	---	---	---
ANKRD13C	Ankyrin repeat domain 13C	115_9	-0.891100054	-0.261843886	-0.629256168	1.546767298	yes	yes	yes	chr1:70497255-70498782 (-) // 83.51 // p31.1	NP_110443.2	NM_030816	---	---	---	---
ANKRD15	ankyrin repeat domain 15	101_74	-0.132967362	0.541290081	-0.674257443	1.595775213	yes	yes	yes	chr9:666887-736103 (+) // 99.21 // p24.3	NP_055973.2 /// NP_694856.1	NM_015158 /// NM_153186	7049 // cell cycle // inferred from electronic annotation /// 45786 // negative regulation of progression through cell cycle // inferred from electronic annotation	---	---	---
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	144_34	0.393815407	1.117431738	-0.723616331	1.651316122	yes	yes	yes	chr14:19993279-19995698 (+) // 98.36 // q11.2	NP_001632.2 /// NP_542379.1 /// NP_542380.1	NM_001641 /// NM_080648 /// NM_080649	6284 // base-excision repair // traceable author statement /// 6366 // transcription from RNA polymerase II promoter // traceable author statement /// 51101 // regulation of DNA binding // inferred from direct assay /// 6281 // DNA repair // inferred from electronic annotation /// 6974 // response to DNA damage stimulus // inferred from electronic annotation /// 7126 // meiosis // inferred from electronic annotation /// 7131 // meiotic recombination // non-traceable author statement	5634 // nucleus // inferred from direct assay /// 5783 // endoplasmic reticulum // traceable author statement /// 5840 // ribosome // traceable author statement /// 48471 // perinuclear region // inferred from direct assay /// 790 // nuclear chromatin //	287 // magnesium ion binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from direct assay /// 3713 // transcription coactivator activity // inferred from direct assay /// 3714 // transcription corepressor activity // traceable author statement /// 3906 // DNA-(apurinic or apyrimidinic site) lyase activity // traceable author statement /// 4520 // endodeoxyribonuclease activity // traceable author statement /// 4523 // ribonuclease H activity // traceable author statement /// 4528 // phosphodiesterase I activity // traceable author statement /// 4844 // uracil DNA N-glycosylase activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 8408 // 3-5 exonuclease activity // traceable author statement /// 16491 // oxidoreductase activity // inferred from direct assay /// 16829 // lyase activity // inferred from electronic annotation /// 4519 // endonuclease activity // inferred from direct assay /// 8081 // phosphoric diester hydrolase activity // inferred from direct assay /// 46872 // metal ion binding // inferred from direct assay /// 3682 // chromatin binding // inferred from direct assay /// 3906 // DNA-(apurinic or apyrimidinic site) lyase activity // inferred from electronic annotation /// 4518 // nuclease activity // inferred from electronic annotation /// 4519 // endonuclease activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
APOA1BP	apolipoprotein A-I binding protein	113_58	0.347262639	1.026851494	-0.679588855	1.601683236	yes	yes	yes	chr1:154828181-154830715 (+) // 94.29 // q23.1	NP_658985.2	NM_144772	---	---	---	---
APOB	apolipoprotein B (including Ag(x) antigen)	309_69	-4.080870364	-2.896727651	-1.184142713	2.272283295	yes	yes	yes	chr2:21077805-21120450 (-) // 99.52 // p24.1	NP_000375.2	NM_000384	6629 // lipid metabolism // inferred from electronic annotation /// 6869 // lipid transport // non-traceable author statement /// 7165 // signal transduction // non-traceable author statement /// 8015 // circulation // non-traceable author statement /// 8202 // steroid metabolism // inferred from electronic annotation /// 8203 // cholesterol metabolism // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation /// 6869 // lipid transport // inferred from electronic annotation	5576 // extracellular region // non-traceable author statement /// 5625 // soluble fraction // not recorded /// 5783 // endoplasmic reticulum // non-traceable author statement /// 5792 // microsome // traceable author statement /// 42627 // chylomicron //	5102 // receptor binding // non-traceable author statement /// 5319 // lipid transporter activity // non-traceable author statement /// 8201 // heparin binding // inferred from electronic annotation /// 5319 // lipid transporter activity // inferred from electronic annotation /// 5319 // lipid transporter activity // traceable author statement	---
ARMC1	armadillo repeat containing 1	192_39	0.661486889	-0.031900475	0.693387364	1.617075865	yes	yes	yes	chr8:66677178-66708987 (-) // 95.18 // q13.1	NP_060590.1	NM_018120	---	---	5488 // binding // inferred from electronic annotation	---
ARRDC3	arrestin domain containing 3	350_66	-1.412979186	-0.023957804	-1.389021382	2.619009662	yes	yes	yes	chr5:90700299-90714893 (-) // 96.18 // q14.3	NP_065852.1	NM_020801	---	---	---	---
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	168_25	-0.527947399	-1.081063039	0.55311564	1.467250948	yes	yes	yes	chr6:119263627-119272029 (+) // 86.82 // q22.31	NP_054753.1	NM_014034	6281 // DNA repair // inferred from direct assay /// 6334 // nucleosome assembly // inferred from direct assay /// 6345 // loss of chromatin silencing // non-traceable author statement	16585 // chromatin remodeling complex // inferred from direct assay /// 5634 // nucleus // non-traceable author statement	42393 // histone binding // inferred from direct assay /// 3682 // chromatin binding // non-traceable author statement	---
NARS	asparaginyl-tRNA synthetase /// asparaginyl-tRNA synthetase	264_42	-0.783046034	-0.224400595	-0.558645439	1.472885661	yes	yes	yes	chr18:53418893-53440011 (-) // 99.37 // q21.31	NP_004530.1	NM_004539	6260 // DNA replication // inferred from electronic annotation /// 6412 // protein biosynthesis // inferred from electronic annotation /// 6421 // asparaginyl-tRNA aminoacylation // inferred from electronic annotation /// 6422 // aspartyl-tRNA aminoacylation // inferred from electronic annotation /// 6418 // tRNA aminoacylation for protein translation // inferred from electronic annotation /// 6412 // protein biosynthesis // not recorded	5625 // soluble fraction // traceable author statement /// 5737 // cytoplasm // inferred from electronic annotation /// 5737 // cytoplasm // traceable author statement	166 // nucleotide binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 3887 // DNA-directed DNA polymerase activity // inferred from electronic annotation /// 4815 // aspartate-tRNA ligase activity // inferred from electronic annotation /// 4816 // asparagine-tRNA ligase activity // inferred from electronic annotation /// 4816 // asparagine-tRNA ligase activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16874 // ligase activity // inferred from electronic annotation /// 4812 // aminoacyl-tRNA ligase activity // inferred from electronic annotation /// 16779 // nucleotidyltransferase activity // inferred from electronic annotation	Alanine and aspartate metabolism // KEGG /// Aminoacyl-tRNA biosynthesis // KEGG
ASPH	aspartate beta-hydroxylase	218_47	1.204650167	0.612731706	0.591918461	1.507249719	yes	yes	yes	chr8:62578373-62789889 (-) // 98.08 // q12.3	NP_004309.2 /// NP_064549.1 /// NP_115855.1 /// NP_115856.1 /// NP_115857.1	NM_004318 /// NM_020164 /// NM_032466 /// NM_032467 /// NM_032468	6936 // muscle contraction // traceable author statement /// 18193 // peptidyl-amino acid modification // inferred from electronic annotation	5783 // endoplasmic reticulum // traceable author statement /// 5789 // endoplasmic reticulum membrane // non-traceable author statement /// 5789 // endoplasmic reticulum membrane // traceable author statement /// 16020 // membrane // inferred from electr	4597 // peptide-aspartate beta-dioxygenase activity // inferred from electronic annotation /// 4597 // peptide-aspartate beta-dioxygenase activity // traceable author statement /// 5488 // binding // inferred from electronic annotation /// 5506 // iron ion binding // inferred from electronic annotation /// 5509 // calcium ion binding // non-traceable author statement /// 5509 // calcium ion binding // traceable author statement /// 8307 // structural constituent of muscle // traceable author statement /// 9055 // electron carrier activity // traceable author statement /// 16702 // oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 5198 // structural molecule activity // traceable author statement	---
