probe set	gene		Accession	EntrezGene	CNR NY72-4P/CNR NY72-4NP	t statistic	P value
Gga.3330.1.S1_at	SPON1	spondin 1, extracellular matrix protein	NM_204851.1	395657	-2.11	-3.133	0.035619
Gga.3852.1.S1_at	RHOB	ras homolog gene family, member B	U79758.1	395734	-2.12	-4.074	0.018913
GgaAffx.21492.1.S1_at		Finished cDNA, clone ChEST1037o8	CR523123.1		-2.12	-10.994	0.000447
Gga.18791.1.S1_at		Finished cDNA, clone ChEST771j1	BU228841		-2.12	-5.001	0.011836
Gga.4941.1.S1_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	AF055342.1	415797	-2.13	-8.183	0.010852
Gga.17021.1.S1_at		Transcribed locus, weakly similar to XP_001081730.1  similar to Transmembrane anchor protein 1 [Rattus norvegicus]	BU412398		-2.13	-9.987	0.004217
GgaAffx.25421.1.S1_s_at	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4	ENSGALT00000003429.1	424761	-2.16	-3.018	0.039384
Gga.1205.1.S1_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	NM_204969.1	395816	-2.17	-3.038	0.038511
Gga.8048.1.S1_a_at		Finished cDNA, clone ChEST881o13	CR388716.1		-2.17	-7.146	0.017133
Gga.12157.1.S1_at	LOC421390	Hypothetical LOC421390	BU485193	421390	-2.17	-6.072	0.004075
Gga.16001.1.S1_at	LOC419736	similar to junctional adhesion molecule 3	BU324886	419736	-2.18	-15.83	0.000793
Gga.12006.1.S1_at	ADM	adrenomedullin	BX950628.1	423042	-2.18	-7.278	0.018232
Gga.13535.1.S1_at		Finished cDNA, clone ChEST119p22	AW198611		-2.18	-7.051	0.010567
Gga.5933.1.S1_at		Transcribed locus	BU413402		-2.18	-6.901	0.002555
Gga.15476.1.A1_at		Transcribed locus	CN228515		-2.18	-3.81	0.020933
Gga.12623.2.S1_a_at	FGL1	fibrinogen-like 1	CR388885.1	422728	-2.19	-3.439	0.026894
GgaAffx.24843.1.S1_s_at	RIMS2	regulating synaptic membrane exocytosis 2	ENSGALT00000025901.1	420264	-2.23	-6.503	0.021899
Gga.3573.2.S1_a_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	CR354079.1	396023	-2.25	-10.777	0.006733
GgaAffx.6512.1.S1_at	LOC417870	similar to PRKC, apoptosis, WT1, regulator	ENSGALT00000016801.1	417870	-2.25	-6.459	0.005375
Gga.2551.2.S1_a_at	LTF	lactotransferrin	BX932101.1	396241	-2.26	-6.994	0.01969
Gga.696.1.S1_at	BDNF	brain-derived neurotrophic factor	X61476.1	396186	-2.26	-5.461	0.03029
Gga.19606.1.S1_at		Finished cDNA, clone ChEST612j19	BU484517		-2.27	-3.563	0.026284
Gga.2724.1.S1_at		Finished cDNA, clone ChEST446j8	BU274023		-2.27	-7.521	0.001918
Gga.3180.1.S1_at	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	U97157.1	395790	-2.32	-5.264	0.016337
GgaAffx.21413.1.S1_s_at		Finished cDNA, clone ChEST629c13	CR523202.1		-2.32	-5.014	0.02362
Gga.14263.1.S1_at		Finished cDNA, clone ChEST39a12	CR352731.1		-2.32	-5.036	0.035814
Gga.32.1.S1_at	MAB21L1	mab-21-like 1 (C. elegans)	NM_204533.1	395208	-2.33	-7.899	0.011314
GgaAffx.21450.2.S1_s_at	TGFB3	transforming growth factor, beta 3	CR523165.1	396438	-2.34	-8.721	0.000997
Gga.5799.1.S1_s_at	P4HA2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	CR385746.1	416326	-2.34	-6.22	0.003484
GgaAffx.12553.1.S1_at	RCJMB04_17o8	sterile alpha motif domain containing 11	AJ720450	419434	-2.34	-9.069	0.003467
GgaAffx.23826.7.S1_s_at	RCJMB04_18a15	PDZ and LIM domain 5	ENSGALT00000019939.1	422699	-2.34	-3.497	0.028283
Gga.2829.1.S1_at		Finished cDNA, clone ChEST888b4	BU279348		-2.35	-7.266	0.001944
Gga.3908.1.S1_at	TAGLN	transgelin	NM_205494.1	396490	-2.36	-8.526	0.005129
Gga.12409.1.S1_s_at		Finished cDNA, clone ChEST790p19	BX931944.2		-2.36	-4.331	0.012396
Gga.12911.1.S1_at	LOC422756	similar to RAS-like, family 11, member B	BU332293	422756	-2.37	-3.75	0.044057
Gga.4724.1.S2_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	CK607301	374163	-2.38	-6.157	0.010657
GgaAffx.20483.1.S1_at		Finished cDNA, clone ChEST655p17	CR524132.1		-2.38	-5.465	0.023839
Gga.556.1.S1_at	PAX6	paired box gene 6	NM_205066.1	395943	-2.39	-37.772	0.00001
GgaAffx.4028.1.S1_at	LOC427941	similar to Plexin-A4	ENSGALT00000010459.1	427941	-2.39	-5.894	0.022204
Gga.9282.1.S1_s_at	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	CF620477	423285	-2.41	-5.716	0.028976
Gga.142.1.S1_at	PTPRO	protein tyrosine phosphatase, receptor type, O	NM_204122.1	373911	-2.45	-6.048	0.010215
GgaAffx.10088.1.S1_at	LOC421839	similar to putative serine protease 35	ENSGALT00000025551.1	421839	-2.45	-7.122	0.002438
GgaAffx.1489.1.S1_at	LOC416796	polypeptide N-acetylgalactosaminyltransferase 9) (Polypeptide GalNAc transferase 9) (GalNAc-T9) (pp-GaNTase 9)	ENSGALT00000003508.1	416796	-2.46	-16.321	0.000085
GgaAffx.6469.1.S1_s_at	LOC428888	similar to Latent transforming growth factor beta binding protein 2	ENSGALT00000016686.1	428888	-2.47	-3.548	0.023867
GgaAffx.13038.1.S1_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	AJ720935	418639	-2.48	-8.667	0.002588
Gga.8360.1.S1_at		Finished cDNA, clone ChEST126b11	BX262878		-2.51	-9.55	0.001108
Gga.16495.1.S1_at		Finished cDNA, clone ChEST400g6	CR385134.1		-2.51	-7.136	0.002424
Gga.13183.1.S1_at		Finished cDNA, clone ChEST224k20	BU349946		-2.53	-6.097	0.013262
Gga.16831.1.S1_at		Finished cDNA, clone ChEST486o24	BU143139		-2.53	-6.82	0.005361
Gga.918.1.S1_at	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	AF077369.1	395301	-2.55	-4.185	0.015432
GgaAffx.13217.1.S1_s_at	RCJMB04_35i21	protein phosphatase methylesterase 1	AJ721114	419058	-2.55	-7.607	0.009959
Gga.9052.1.S1_at			BU457184		-2.58	-6.545	0.003814
Gga.15371.1.S1_at		Transcribed locus, strongly similar to XP_001231685.1  hypothetical protein [Gallus gallus]	CD761221		-2.64	-6.859	0.002825
Gga.2154.1.S1_at		Finished cDNA, clone ChEST794n20	BU379404		-2.65	-11.025	0.000387
Gga.2617.1.S1_at	MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha	NM_204766.1	395534	-2.67	-7.419	0.007172
Gga.2839.1.S1_at	COL2A1	alpha 1 type IIA collagen precursor	NM_204426.1	395069	-2.69	-4.47	0.042482
Gga.15966.1.S1_at		Finished cDNA, clone ChEST114i20	CR386300.1		-2.69	-9.81	0.006117
Gga.8064.1.S1_at		Finished cDNA, clone ChEST877h12	CR406246.1		-2.7	-21.034	0.001758
Gga.665.1.S1_at	CSRP2	cysteine and glycine-rich protein 2	NM_205208.1	396128	-2.71	-5.073	0.007862
Gga.16882.1.S1_at			CN230085		-2.71	-5.803	0.014611
Gga.1999.1.S1_a_at	CRYAB	crystallin, alpha B	U26661.1	396089	-2.73	-7.501	0.012921
Gga.4091.2.S1_a_at	MYLK	myosin, light chain kinase	M96655.1	396445	-2.73	-11.484	0.007378
Gga.3459.1.S2_at	COL9A3	collagen, type IX, alpha 3	BU408963	396242	-2.74	-4.518	0.042747
Gga.6218.1.S1_at	LOC418256	similar to Microfibrillar associated protein 5	BU415687	418256	-2.76	-9.291	0.011272
Gga.13003.1.S1_at		Finished cDNA, clone ChEST999a12	BU463188		-2.79	-4.496	0.010901
Gga.7316.1.S1_at	LOC428199	similar to tumor endothelial marker 8	BU251739	428199	-2.8	-6.984	0.003749
Gga.343.1.S1_at	PDLIM3	PDZ and LIM domain 3	BU257039	414873	-2.81	-14.896	0.004288
Gga.9889.1.S1_at	OXR1	Oxidation resistance 1	BU202663	420270	-2.83	-7.884	0.010137
Gga.9397.1.S1_at		Transcribed locus	BU304519		-2.83	-11.707	0.005168
Gga.13695.1.S1_at	TRPC4	transient receptor potential cation channel, subfamily C, member 4	CR388691.1	418895	-2.84	-10.678	0.00045
Gga.16411.1.S1_at		Transcribed locus /// Finished cDNA, clone ChEST36h24	CR386924.1		-2.85	-4.801	0.022913
Gga.13691.1.S1_at	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	CR338861.1	415794	-2.86	-4.419	0.014458
Gga.12409.1.S1_at		Finished cDNA, clone ChEST790p19	BX931944.2		-2.87	-3.578	0.030989
GgaAffx.20781.1.S1_at		Finished cDNA, clone ChEST229d1	CR523834.1		-2.9	-5.556	0.010076
Gga.2460.1.S1_at	PROX1	prospero-related homeobox 1	U46563.1	395802	-2.9	-13.346	0.000412
Gga.13491.1.S1_at	LOC422439	similar to Ets transcription factor	BU387148	422439	-2.92	-18.191	0.001311
GgaAffx.10257.1.S1_at	OXR1	Oxidation resistance 1	ENSGALT00000025909.1	420270	-2.96	-5.725	0.004627
GgaAffx.8024.1.S1_at		Transcribed locus, moderately similar to XP_369965.1  protein MG06480.4 [Magnaporthe grisea 70-15]	ENSGALT00000020673.1		-3	-7.097	0.006713
Gga.1663.1.S1_s_at	LHFP	lipoma HMGIC fusion partner	BU356057	418889	-3.02	-16.498	0.00224
Gga.13822.1.S1_at			BU301532		-3.06	-8.593	0.006789
GgaAffx.21044.1.S1_s_at		Finished cDNA, clone ChEST861l23	CR523571.1		-3.07	-12.366	0.005131
GgaAffx.20952.1.A1_s_at	COL2A1	alpha 1 type IIA collagen precursor	CR523663.1	395069	-3.07	-4.801	0.020853
Gga.16871.1.S1_at		Finished cDNA, clone ChEST107f21	CR390144.1		-3.1	-3.928	0.046405
Gga.9762.1.S1_at		Transcribed locus	CK613193		-3.11	-9.253	0.006925
Gga.16311.1.S1_at		Finished cDNA, clone ChEST673f10	BU142219		-3.12	-17.151	0.00322
Gga.1784.1.S2_at	ITGA8	integrin, alpha 8	BU392003	396225	-3.13	-7.826	0.004593
Gga.3109.1.A1_s_at	RCJMB04_2f9	selenoprotein P, plasma, 1	BU469343	431587	-3.16	-6.234	0.018465
Gga.11787.2.S1_s_at	SH3BGR	SH3 domain binding glutamic acid-rich protein	BX934070.1	418523	-3.16	-14.816	0.001966
Gga.7900.2.S1_a_at	LOC426933	similar to RIKEN cDNA 1110018M03	CR386995.1	426933	-3.17	-9.131	0.00097
GgaAffx.21044.1.S1_at	LOC421561	similar to RP11-503C24.7	CR523571.1	421561	-3.18	-5.695	0.026424
Gga.3306.1.S1_s_at	EDNRB	endothelin receptor type B	BU449947	408082	-3.22	-8.076	0.005322
Gga.7766.1.S1_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	BU211679	418639	-3.23	-6.106	0.023979
Gga.10829.1.S1_s_at	EDNRB	endothelin receptor type B	BX932265.1	408082	-3.25	-7.753	0.008928
GgaAffx.25896.1.S1_s_at	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	ENSGALT00000005670.1	395443	-3.27	-5.991	0.012336
Gga.1819.1.S1_at	DIO2	deiodinase, iodothyronine, type II	NM_204114.1	373903	-3.3	-7.474	0.011499
Gga.1784.1.S1_at	ITGA8	integrin, alpha 8	NM_205288.1	396225	-3.37	-6.265	0.017669
Gga.18991.1.S1_at		Finished cDNA, clone ChEST653p20	BU314953		-3.38	-5.63	0.029142
Gga.3108.1.S1_at	FHL2	four and a half LIM domains 2	BU312421	418726	-3.39	-7.59	0.001655
Gga.2732.1.S1_at	KLHDC8B	kelch domain containing 8B	BX936097.1	416054	-3.41	-10.279	0.003071
Gga.6248.1.S1_at	LOC419667	similar to peroxisomal protein (PeP)	CR353938.1	419667	-3.41	-7.189	0.01293
Gga.2673.1.S1_at			BU272039		-3.42	-10.468	0.000474
GgaAffx.11541.1.S1_at	RCJMB04_2f9	selenoprotein P, plasma, 1	AJ719438	431587	-3.43	-6.378	0.016337
GgaAffx.25896.1.S1_at	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	ENSGALT00000005670.1	395443	-3.44	-6.197	0.005478
Gga.13060.1.S1_at		Finished cDNA, clone ChEST291c15	CR354275.1		-3.45	-34.188	0.000285
GgaAffx.21102.1.S1_s_at	ALDOB	aldolase B, fructose-bisphosphate	CR523513.1	427308	-3.47	-7.415	0.004595
Gga.4851.1.A1_at		Finished cDNA, clone ChEST983i21	CR389359.1		-3.5	-5.052	0.024097
GgaAffx.21787.1.S1_s_at	BETA3	bHLH transcription factor beta3	NM_204503.1	395164	-3.51	-7.387	0.00343
Gga.16710.2.S1_a_at	LOC419422	hypothetical LOC419422	CN237192	419422	-3.52	-5.086	0.021178
GgaAffx.10275.1.S1_at	LOC420282	similar to Sterile alpha motif domain containing 12	ENSGALT00000025964.1	420282	-3.54	-5.894	0.013886
Gga.2551.2.S1_s_at	LTF	lactotransferrin	BX932101.1	396241	-3.55	-6.467	0.018047
Gga.3562.1.S1_at			BU467929		-3.55	-5.617	0.016797
Gga.15998.1.S1_at	COLEC12	collectin sub-family member 12	BU206620	421061	-3.55	-9.21	0.002778
Gga.9247.1.S1_at		Transcribed locus	CF620294		-3.55	-5.483	0.028409
GgaAffx.3004.1.S1_at	LOC415958	similar to plasma membrane calcium ATPase 2	ENSGALT00000007715.1	415958	-3.6	-9.027	0.010138
Gga.19603.1.S1_at		Finished cDNA, clone ChEST967g22	BU337742		-3.65	-7.231	0.013978
Gga.4119.1.S1_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	NM_204577.2	395264	-3.72	-6.39	0.005828
Gga.16392.1.S1_at		Finished cDNA, clone ChEST212d4	BU421013		-3.77	-5.79	0.022316
Gga.718.2.S1_a_at	DMD	dystrophin	BU337294	396236	-3.78	-10.97	0.005023
Gga.4345.1.S1_at	SFRP2	secreted frizzled-related protein 2	NM_204773.1	395546	-3.81	-5.852	0.022274
GgaAffx.26432.1.S1_s_at	COL11A1	collagen, type XI, alpha 1	ENSGALT00000008321.1	374046	-3.82	-19.035	0.000175
Gga.7551.1.S1_at	WISP1	WNT1 inducible signaling pathway protein 1	BU213681	420322	-3.84	-7.142	0.002348
Gga.8238.1.S1_at	EDN2	endothelin 2	BU459945	419559	-3.89	-11.992	0.002537
Gga.718.1.S1_at	DMD	dystrophin	NM_205299.1	396236	-3.9	-7.776	0.004092
Gga.2352.1.S2_at	DAB1	disabled homolog 1 (Drosophila)	NM_204238.1	374083	-3.94	-13.725	0.000166
Gga.10960.1.S1_at	COLEC12	collectin sub-family member 12	BX931545.2	421061	-3.94	-7.313	0.016851
Gga.5962.1.S1_at			BU411659		-4	-5.451	0.02697
Gga.10999.1.S1_at		Finished cDNA, clone ChEST658m22	BU257827		-4.05	-12.988	0.002805
Gga.2698.1.S1_at	MYL4	myosin, light chain 4, alkali; atrial, embryonic	NM_205479.1	396472	-4.06	-16.259	0.00028
Gga.8078.1.S1_at	LOC418737	similar to growth arrest-specific 6	BU284452	418737	-4.14	-8.732	0.004143
GgaAffx.13038.1.S1_s_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	AJ720935	418639	-4.15	-5.683	0.026338
Gga.4851.1.S1_at		Finished cDNA, clone ChEST983i21	CR389359.1		-4.2	-10.632	0.000717
Gga.4870.3.S1_a_at	LOC423298	alpha-cardiac actin	BU143248	423298	-4.27	-8.067	0.01014
Gga.837.1.S1_a_at	NPY	neuropeptide Y	NM_205473.1	396464	-4.35	-16.906	0.001237
Gga.7955.1.S1_at			BX260966		-4.37	-10.145	0.009384
Gga.4536.2.S1_a_at	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	BX934646.1	418107	-4.38	-23.557	0.000055
Gga.1951.1.S1_at	GJB6	gap junction protein, beta 6 (connexin 30)	NM_204931.1	395771	-4.41	-5.024	0.036881
GgaAffx.20264.1.S1_at		Finished cDNA, clone ChEST811i22	CR524351.1		-4.48	-23.108	0.000705
GgaAffx.25534.1.S1_s_at	COL3A1	alpha 1 type III collagen	ENSGALT00000004033.1	396340	-4.67	-9.814	0.001047
Gga.2587.1.S1_at	NOV	nephroblastoma overexpressed gene	NM_205268.1	396204	-4.74	-9.494	0.002994
Gga.16844.2.S1_s_at	COL3A1	alpha 1 type III collagen	BU413584	396340	-4.74	-6.5	0.002921
Gga.3986.2.S1_a_at	CA2	carbonic anhydrase II	CN217291	396257	-4.96	-11.402	0.001244
Gga.4091.1.S2_a_at	MYLK	myosin, light chain kinase	NM_205459.1	396445	-5.22	-9.786	0.004962
Gga.2608.1.S1_at	DCX	doublecortex	NM_205204.1	374242	-5.24	-15.314	0.000106
GgaAffx.21555.1.S1_s_at	VWC2	von Willebrand factor C domain containing 2	CR523060.1	420944	-5.33	-87.182	0
Gga.1951.1.S2_at	GJB6	gap junction protein, beta 6 (connexin 30)	BX934583.1	395771	-5.34	-8.439	0.011805
Gga.344.1.S1_s_at	PDLIM3	PDZ and LIM domain 3	BX269956	414873	-5.41	-54.424	0.000002
Gga.1444.1.S1_at			AL584098		-5.68	-14.31	0.00374
