UNIQID	Gene Symbol	Chromosome Map	Gene Description
202468_s_at	CTNNAL1	chr9q31	catenin (cadherin-associated protein) alpha-like
204017_at	KDELR3	chr22q13	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum prote
205774_at	F12	chr5q33	coagulation factor XII (Hageman factor)
200082_s_at	RPS7	chr2p25	ribosomal protein S7
202323_s_at	ACBD3	chr1q42	acyl-Coenzyme A binding domain containing 3
200093_s_at	HINT1	chr5q31	histidine triad nucleotide binding protein 1
200826_at	SNRPD2	chr19q13	small nuclear ribonucleoprotein D2 polypeptide 16
200964_at	UBE1	chrxp11	ubiquitin-activating enzyme E1 (A1S9T and BN75 tem
201264_at	COPE	chr19p13	coatomer protein complex subunit epsilon
200823_x_at	RPL29	chr3p21	ribosomal protein L29
200869_at	RPL18A	chr19p13	ribosomal protein L18a
202838_at	FUCA1	chr1p34	fucosidase alpha-L- 1 tissue
204559_s_at	LSM7	chr19p13	LSM7 homolog U6 small nuclear RNA associated (S.
212191_x_at	RPL13	chr16q24	ribosomal protein L13
203190_at	NDUFS8	chr11q13	NADH dehydrogenase (ubiquinone) Fe-S protein 8 23
202675_at	SDHB	chr1p36	succinate dehydrogenase complex subunit B iron s
215780_s_at	SET	chr9q34	SET translocation (myeloid leukemia-associated)
200875_s_at	NOL5A	chr20p13	nucleolar protein 5A (56kDa with KKE/D repeat)
203956_at	ZCWCC1	chr22q12	zinc finger CW-type with coiled-coil domain 1
203259_s_at	C6orf74	chr6q13	chromosome 6 open reading frame 74
208794_s_at	SMARCA4	chr19p13	SWI/SNF related matrix associated actin dependen
208930_s_at	ILF3	chr19p13	interleukin enhancer binding factor 3 90kDa
204175_at	ZNF593	chr1p36	zinc finger protein 593
209836_x_at	LAT1-3TM	chr16p12	LAT1-3TM protein
205436_s_at	H2AFX	chr11q23	H2A histone family member X
221496_s_at	TOB2	chr22q13	transducer of ERBB2 2
219646_at	FLJ20186	chr16q24	hypothetical protein FLJ20186
204326_x_at	MT1X	chr16q13	metallothionein 1X
204745_x_at	MT1G	chr16q13	metallothionein 1G
206461_x_at	MT1H	chr16q13	metallothionein 1H
217165_x_at	MT1F	chr16q13	metallothionein 1F (functional)
212859_x_at	MT1E	chr16q13	metallothionein 1E (functional)
204173_at	MLC1SA	chr12q13	myosin light chain 1 slow a
204805_s_at	H1FX	chr3q21	H1 histone family member X
202598_at	S100A13	chr1q21	S100 calcium binding protein A13
217728_at	S100A6	chr1q21	S100 calcium binding protein A6 (calcyclin)
209875_s_at	SPP1	chr4q21	secreted phosphoprotein 1 (osteopontin bone sialo
213668_s_at	SOX4	chr6p22	SRY (sex determining region Y)-box 4
205260_s_at	ACYP1	chr14q24	acylphosphatase 1 erythrocyte (common) type
212978_at	TA-LRRP	chr1p22	T-cell activation leucine repeat-rich protein
202519_at	MONDOA	chr12q21	Mlx interactor
202720_at	TES	chr7q31	testis derived transcript (3 LIM domains)
203510_at	MET	chr7q31	met proto-oncogene (hepatocyte growth factor recep
202018_s_at	LTF	chr3q21	lactotransferrin
202973_x_at	FAM13A1	chr4q22	family with sequence similarity 13 member A1
201656_at	ITGA6	chr2q31	integrin alpha 6
201392_s_at	IGF2R	chr6q26	insulin-like growth factor 2 receptor
203708_at	PDE4B	chr1p31	phosphodiesterase 4B cAMP-specific (phosphodieste
203038_at	PTPRK	chr6q22	protein tyrosine phosphatase receptor type K
204131_s_at	FOXO3A	chr6q21	forkhead box O3A
204400_at	EFS	chr14q11	embryonal Fyn-associated substrate
200965_s_at	ABLIM1	chr10q25	actin binding LIM protein 1
201368_at	ZFP36L2	chr2p22	zinc finger protein 36 C3H type-like 2
202886_s_at	PPP2R1B	chr11q23	protein phosphatase 2 (formerly 2A) regulatory su
209016_s_at	KRT7	chr12q12	keratin 7
212724_at	ARHE	chr2q23	ras homolog gene family member E
209109_s_at	TM4SF6	chrxq22	transmembrane 4 superfamily member 6
210024_s_at	UBE2E3	chr2q32	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog
212774_at	ZNF238	chr1q44	zinc finger protein 238
209369_at	ANXA3	chr4q13	annexin A3
202672_s_at	ATF3	chr1q32	activating transcription factor 3
204769_s_at	TAP2	chr6p21	transporter 2 ATP-binding cassette sub-family B
202671_s_at	PDXK	chr21q22	pyridoxal (pyridoxine vitamin B6) kinase
204331_s_at	MRPS12	chr19q13	mitochondrial ribosomal protein S12
200900_s_at	M6PR	chr12p13	mannose-6-phosphate receptor (cation dependent)
218747_s_at	TAPBPL	chr12p13	TAP binding protein-like
206953_s_at	LPHN2	chr1p31	latrophilin 2
204671_s_at	ANKRD6	chr6q14	ankyrin repeat domain 6
206772_at	PTHR2	chr2q33	parathyroid hormone receptor 2
203088_at	FBLN5	chr14q32	fibulin 5
203849_s_at	KIF1A	chr2q37	kinesin family member 1A
205551_at	SV2B	chr15q26	synaptic vesicle glycoprotein 2B
219764_at	FZD10	chr12q24	frizzled homolog 10 (Drosophila)
219985_at	HS3ST3A1	chr17p12	heparan sulfate (glucosamine) 3-O-sulfotransferase
203797_at	VSNL1	chr2p24	visinin-like 1
205016_at	TGFA	chr2p13	transforming growth factor alpha
206404_at	FGF9	chr13q11	fibroblast growth factor 9 (glia-activating factor
200730_s_at	PTP4A1	chr6q12	protein tyrosine phosphatase type IVA member 1
203400_s_at	TF	chr3q22	transferrin
212768_s_at	OLFM4	chr13q14	olfactomedin 4
217561_at	CALCA	chr11p15	calcitonin/calcitonin-related polypeptide alpha
213674_x_at	IGHD	chr14q32	Immunoglobulin heavy constant delta
204720_s_at	DNAJC6	chr1pter	DnaJ (Hsp40) homolog subfamily C member 6
218793_s_at	SCML1	chrxp22	sex comb on midleg-like 1 (Drosophila)
202932_at	YES1	chr18p11	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
209760_at	KIAA0922	chr4q31	KIAA0922 protein
203767_s_at	STS	chrxp22	steroid sulfatase (microsomal) arylsulfatase C i
208653_s_at	CD164	chr6q21	CD164 antigen sialomucin
205220_at	GPR109B	chr12q24	G protein-coupled receptor 109B
203744_at	HMGB3	chrxq28	high-mobility group box 3
200868_s_at	ZNF313	chr20q13	zinc finger protein 313
203221_at	TLE1	chr9q21	transducin-like enhancer of split 1 (E(sp1) homolo
204602_at	DKK1	chr10q11	dickkopf homolog 1 (Xenopus laevis)
204537_s_at	GABRE	chrxq28	gamma-aminobutyric acid (GABA) A receptor epsilon
204914_s_at	SOX11	chr2p25	SRY (sex determining region Y)-box 11
204059_s_at	ME1	chr6q12	malic enzyme 1 NADP(+)-dependent cytosolic
201120_s_at	PGRMC1	chrxq22	progesterone receptor membrane component 1
201695_s_at	NP	chr14q13	nucleoside phosphorylase
200798_x_at	MCL1	chr1q21	myeloid cell leukemia sequence 1 (BCL2-related)
203594_at	RTCD1	chr1p21	RNA terminal phosphate cyclase domain 1
200700_s_at	KDELR2	chr7p22	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum prote
200889_s_at	SSR1	chr6p24	signal sequence receptor alpha (translocon-associ
210041_s_at	PGM3	chr6q14	phosphoglucomutase 3
205246_at	PEX13	chr2p14	peroxisome biogenesis factor 13
201629_s_at	ACP1	chr2p25	acid phosphatase 1 soluble
202697_at	CPSF5	chr16q12	cleavage and polyadenylation specific factor 5 25
205443_at	SNAPC1	chr14q22	small nuclear RNA activating complex polypeptide
217985_s_at	BAZ1A	chr14q12	bromodomain adjacent to zinc finger domain 1A
214435_x_at	RALA	chr7p15	v-ral simian leukemia viral oncogene homolog A (ra
208308_s_at	GPI	chr19q13	glucose phosphate isomerase
217356_s_at	PGK1	chrxq13	phosphoglycerate kinase 1
201489_at	PPIF	chr10q22	peptidylprolyl isomerase F (cyclophilin F)
202170_s_at	AASDHPPT	chr11q22	aminoadipate-semialdehyde dehydrogenase-phosphopan
202422_s_at	ACSL4	chrxq22	acyl-CoA synthetase long-chain family member 4
203493_s_at	KIAA0092	chr11q21	translokin
203211_s_at	MTMR2	chr11q22	myotubularin related protein 2
213342_at	YAP1	chr11q13	Yes-associated protein 1 65kDa
218826_at	SLC35F2	chr11q22	solute carrier family 35 member F2
205618_at	PRRG1	chrxp21	proline rich Gla (G-carboxyglutamic acid) 1
209576_at	GNAI1	chr7q21	guanine nucleotide binding protein (G protein) al
210861_s_at	WISP3	chr6q22	WNT1 inducible signaling pathway protein 3
219439_at	C1GALT1	chr7p14	core 1 UDP-galactose:N-acetylgalactosamine-alpha-R
204846_at	CP	chr3q23	ceruloplasmin (ferroxidase)
202917_s_at	S100A8	chr1q21	S100 calcium binding protein A8 (calgranulin A)
203535_at	S100A9	chr1q21	S100 calcium binding protein A9 (calgranulin B)
205916_at	S100A7	chr1q21	S100 calcium binding protein A7 (psoriasin 1)
204988_at	FGB	chr4q28	fibrinogen B beta polypeptide
219612_s_at	FGG	chr4q28	fibrinogen gamma polypeptide
205534_at	PCDH7	chr4p15	BH-protocadherin (brain-heart)
214461_at	LBP	chr20q11	lipopolysaccharide binding protein
219232_s_at	EGLN3	chr14q13	egl nine homolog 3 (C. elegans)
205943_at	TDO2	chr4q31	tryptophan 23-dioxygenase
205945_at	IL6R	chr1q21	interleukin 6 receptor
219763_at	KIAA1608	chr9q33	KIAA1608
213094_at	GPR126	chr6q24	G protein-coupled receptor 126
212543_at	AIM1	chr6q21	Absent in melanoma 1
209357_at	CITED2	chr6q23	Cbp/p300-interacting transactivator with Glu/Asp-
203837_at	MAP3K5	chr6q22	mitogen-activated protein kinase kinase kinase 5
213624_at	SMPDL3A	chr6q22	sphingomyelin phosphodiesterase acid-like 3A
212230_at	PPAP2B	chr1pter	phosphatidic acid phosphatase type 2B
212989_at	TMEM23	chr10q11	transmembrane protein 23
219032_x_at	OPN3	chr1q43	opsin 3 (encephalopsin panopsin)
203973_s_at	CEBPD	chr8p11	CCAAT/enhancer binding protein (C/EBP) delta
208700_s_at	TKT	chr3p14	transketolase (Wernicke-Korsakoff syndrome)
221843_s_at	KIAA1609	chr16q24	KIAA1609 protein
201251_at	PKM2	chr15q22	pyruvate kinase muscle
200634_at	PFN1	chr17p13	profilin 1
202900_s_at	NUP88	chr17p13	nucleoporin 88kDa
208910_s_at	C1QBP	chr17p13	complement component 1 q subcomponent binding pro
212481_s_at	TPM4	chr19p13	tropomyosin 4
213154_s_at	BICD2	chr9q22	bicaudal D homolog 2 (Drosophila)
207030_s_at	CSRP2	chr12q21	cysteine and glycine-rich protein 2
205543_at	APG-1	chr4q28	heat shock protein (hsp110 family)
203987_at	FZD6	chr8q22	frizzled homolog 6 (Drosophila)
202393_s_at	TIEG	chr8q22	TGFB inducible early growth response
203011_at	IMPA1	chr8q21	inositol(myo)-1(or 4)-monophosphatase 1
204521_at	HSU79274	chr12q24	protein predicted by clone 23733
213129_s_at	GCSH	chr16q23	glycine cleavage system protein H (aminomethyl car
208754_s_at	NAP1L1	chr12q21	nucleosome assembly protein 1-like 1
218936_s_at	HSPC128	chr12q21	HSPC128 protein
217996_at	PHLDA1	chr12q15	pleckstrin homology-like domain family A member
203560_at	GGH	chr8q12	gamma-glutamyl hydrolase (conjugase folylpolygamm
204679_at	KCNK1	chr1q42	potassium channel subfamily K member 1
203786_s_at	TPD52L1	chr6q22	tumor protein D52-like 1
213188_s_at	MINA	chr3q11	MYC induced nuclear antigen
213427_at	RPP40	chr6p25	ribonuclease P 40kDa subunit
217867_x_at	BACE2	chr21q22	beta-site APP-cleaving enzyme 2
205428_s_at	CALB2	chr16q22	calbindin 2 29kDa (calretinin)
206421_s_at	SERPINB7	chr18q21	serine (or cysteine) proteinase inhibitor clade B
206276_at	LY6D	chr8q24	lymphocyte antigen 6 complex locus D
206018_at	FOXG1B	chr14q12	forkhead box G1B
207803_s_at	CSN3	chr4q21	casein kappa
204733_at	KLK6	chr19q13	kallikrein 6 (neurosin zyme)
209720_s_at	SERPINB3	chr18q21	serine (or cysteine) proteinase inhibitor clade B
211906_s_at	SERPINB4	chr18q21	serine (or cysteine) proteinase inhibitor clade B
209774_x_at	CXCL2	chr4q21	chemokine (C-X-C motif) ligand 2
219271_at	GALNT14	chr2p23	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
204268_at	S100A2	chr1q21	S100 calcium binding protein A2
205064_at	SPRR1B	chr1q21	small proline-rich protein 1B (cornifin)
206400_at	LGALS7	chr19q13	lectin galactoside-binding soluble 7 (galectin
210397_at	DEFB1	chr8p23	defensin beta 1
219936_s_at	GPR87	chr3q24	G protein-coupled receptor 87
213796_at	SPRR1A	chr1q21	small proline-rich protein 1A
205047_s_at	ASNS	chr7q21	asparagine synthetase
201624_at	DARS	chr2q21	aspartyl-tRNA synthetase
203403_s_at	RNF6	chr13q12	ring finger protein (C3H2C3 type) 6
204831_at	CDK8	chr13q12	Cyclin-dependent kinase 8
220643_s_at	FAIM	chr3q22	Fas apoptotic inhibitory molecule
218577_at	FLJ20331	chr1p31	hypothetical protein FLJ20331
213262_at	SACS	chr13q12	spastic ataxia of Charlevoix-Saguenay (sacsin)
205126_at	VRK2	chr2p16	vaccinia related kinase 2
200729_s_at	ACTR2	chr2p14	ARP2 actin-related protein 2 homolog (yeast)
214697_s_at	ROD1	chr9q32	ROD1 regulator of differentiation 1 (S. pombe)
203925_at	GCLM	chr1p22	glutamate-cysteine ligase modifier subunit
207469_s_at	PIR	chrxp22	pirin (iron-binding nuclear protein)
209921_at	SLC7A11	chr4q28	solute carrier family 7 (cationic amino acid tran
213457_at	MFHAS1	chr8p23	malignant fibrous histiocytoma amplified sequence
201970_s_at	NASP	chr1p34	nuclear autoantigenic sperm protein (histone-bindi
203126_at	IMPA2	chr18p11	inositol(myo)-1(or 4)-monophosphatase 2
204510_at	CDC7	chr1p22	CDC7 cell division cycle 7 (S. cerevisiae)
204900_x_at	SAP30	chr4q34	sin3-associated polypeptide 30kDa
202483_s_at	RANBP1	chr22q11	RAN binding protein 1
211725_s_at	BID	chr22q11	BH3 interacting domain death agonist
206632_s_at	APOBEC3B	chr22q13	apolipoprotein B mRNA editing enzyme catalytic po
204033_at	TRIP13	chr5p15	thyroid hormone receptor interactor 13
201014_s_at	PAICS	chr4pter	phosphoribosylaminoimidazole carboxylase phosphor
203105_s_at	DNM1L	chr12p11	dynamin 1-like
218193_s_at	CGI-141	chr12p12	CGI-141 protein
202233_s_at	UQCRH	chr1p34	ubiquinol-cytochrome c reductase hinge protein
201202_at	PCNA	chr20pter	proliferating cell nuclear antigen
205034_at	CCNE2	chr8q22	cyclin E2
201663_s_at	SMC4L1	chr3q26	SMC4 structural maintenance of chromosomes 4-like
204127_at	RFC3	chr13q12	replication factor C (activator 1) 3 38kDa
202690_s_at	SNRPD1	chr18q11	small nuclear ribonucleoprotein D1 polypeptide 16k
201761_at	MTHFD2	chr2p13	methylene tetrahydrofolate dehydrogenase (NAD+ dep
200783_s_at	STMN1	chr1p36	stathmin 1/oncoprotein 18
204240_s_at	SMC2L1	chr9q31	SMC2 structural maintenance of chromosomes 2-like
201930_at	MCM6	chr2q21	MCM6 minichromosome maintenance deficient 6 (MIS5
203358_s_at	EZH2	chr7q35	enhancer of zeste homolog 2 (Drosophila)
201196_s_at	AMD1	chr6q21	adenosylmethionine decarboxylase 1
204822_at	TTK	chr6q13	TTK protein kinase
201478_s_at	DKC1	chrxq28	dyskeratosis congenita 1 dyskerin
218238_at	GTPBP4	chr10p15	GTP binding protein 4
206102_at	KIAA0186	chr20p11	KIAA0186 gene product
202095_s_at	BIRC5	chr17q25	baculoviral IAP repeat-containing 5 (survivin)
204767_s_at	FEN1	chr11q12	flap structure-specific endonuclease 1
201897_s_at	CKS1B	chr1q21	CDC28 protein kinase regulatory subunit 1B
204709_s_at	KIF23	chr15q23	kinesin family member 23
204170_s_at	CKS2	chr9q22	CDC28 protein kinase regulatory subunit 2
207165_at	HMMR	chr5q33	hyaluronan-mediated motility receptor (RHAMM)
206364_at	KIF14	chr1pter	Kinesin family member 14
204146_at	RAD51AP1	chr12p13	RAD51 associated protein 1
201291_s_at	TOP2A	chr17q21	topoisomerase (DNA) II alpha 170kDa
202589_at	TYMS	chr18p11	thymidylate synthetase
203213_at	CDC2	chr10q21	cell division cycle 2 G1 to S and G2 to
204026_s_at	ZWINT	chr10q21	ZW10 interactor
202107_s_at	MCM2	chr3q21	MCM2 minichromosome maintenance deficient 2 mitot
204244_s_at	ASK	chr7q21	activator of S phase kinase
203764_at	DLG7	chr14q22	discs large homolog 7 (Drosophila)
202580_x_at	FOXM1	chr12p13	forkhead box M1
205339_at	SIL	chr1p32	TAL1 (SCL) interrupting locus
209408_at	KIF2C	chr1p34	kinesin family member 2C
207828_s_at	CENPF	chr1q32	centromere protein F 350/400ka (mitosin)
202954_at	UBE2C	chr20q13	ubiquitin-conjugating enzyme E2C
204162_at	KNTC2	chr18p11	kinetochore associated 2
209642_at	BUB1	chr2q14	BUB1 budding uninhibited by benzimidazoles 1 homol
204825_at	MELK	chr9p13	maternal embryonic leucine zipper kinase
204962_s_at	CENPA	chr2p24	centromere protein A 17kDa
204641_at	NEK2	chr1q32	NIMA (never in mitosis gene a)-related kinase 2
203362_s_at	MAD2L1	chr4q27	MAD2 mitotic arrest deficient-like 1 (yeast)
202705_at	CCNB2	chr15q22	cyclin B2
204444_at	KIF11	chr10q24	kinesin family member 11
203755_at	BUB1B	chr15q15	BUB1 budding uninhibited by benzimidazoles 1 homol
218039_at	NUSAP1	chr15q15	nucleolar and spindle associated protein 1
218542_at	C10orf3	chr10q23	chromosome 10 open reading frame 3
218009_s_at	PRC1	chr15q26	protein regulator of cytokinesis 1
210052_s_at	TPX2	chr20q11	TPX2 microtubule-associated protein homolog (Xeno
218355_at	KIF4A	chrxq13	kinesin family member 4A
219918_s_at	ASPM	chr1q31	asp (abnormal spindle)-like microcephaly associat
213226_at	CCNA2	chr4q25	cyclin A2
203554_x_at	PTTG1	chr5q35	pituitary tumor-transforming 1
218755_at	KIF20A	chr5q31	kinesin family member 20A
218662_s_at	HCAP-G	chr4p15	chromosome condensation protein G
219306_at	KNSL7	chr3p21	kinesin-like 7
220651_s_at	MCM10	chr10p13	MCM10 minichromosome maintenance deficient 10 (S.
213599_at	OIP5	chr15q15	Opa-interacting protein 5
222077_s_at	RACGAP1	chr12q13	Rac GTPase activating protein 1
222039_at	LOC146909	chr17q21	hypothetical protein LOC146909
219148_at	TOPK	chr8p21	T-LAK cell-originated protein kinase
208808_s_at	HMGB2	chr4q31	high-mobility group box 2
202503_s_at	KIAA0101	chr15q22	KIAA0101
218585_s_at	RAMP	chr1q32	RA-regulated nuclear matrix-associated protein
221677_s_at	DONSON	chr21q22	downstream neighbor of SON
218875_s_at	FBXO5	chr6q25	F-box protein 5
219787_s_at	ECT2	chr3q26	epithelial cell transforming sequence 2 oncogene
208079_s_at	STK6	chr20q13	serine/threonine kinase 6
210983_s_at	MCM7	chr7q21	MCM7 minichromosome maintenance deficient 7 (S. ce
219990_at	FLJ23311	chr11p15	FLJ23311 protein
202613_at	CTPS	chr1p34	CTP synthase
205394_at	CHEK1	chr11q24	CHK1 checkpoint homolog (S. pombe)
203625_x_at	SKP2	chr5p13	S-phase kinase-associated protein 2 (p45)
211042_x_at	MCAM	chr11q23	melanoma cell adhesion molecule
208627_s_at	NSEP1	chr1p34	nuclease sensitive element binding protein 1
208941_s_at	SEPHS1	chr10p14	selenophosphate synthetase 1
214431_at	GMPS	chr3q24	guanine monphosphate synthetase
220865_s_at	TPRT	chr10p12	trans-prenyltransferase
202412_s_at	USP1	chr1p32	ubiquitin specific protease 1
210093_s_at	MAGOH	chr1p34	mago-nashi homolog proliferation-associated (Dros
218877_s_at	C6orf75	chr6q11	chromosome 6 open reading frame 75
220239_at	KLHL7	chr7p15	kelch-like 7 (Drosophila)
219006_at	C6orf66	chr6q16	chromosome 6 open reading frame 66
216237_s_at	MCM5	chr22q13	MCM5 minichromosome maintenance deficient 5 cell
218349_s_at	FLJ10036	chr15q22	Zwilch
209421_at	MSH2	chr2p22	mutS homolog 2 colon cancer nonpolyposis type 1
209714_s_at	CDKN3	chr14q22	cyclin-dependent kinase inhibitor 3 (CDK2-associat
221922_at	GPSM2	chr1p13	G-protein signalling modulator 2 (AGS3-like C. el
212247_at	NUP205	chr7q33	nucleoporin 205kDa
212022_s_at	MKI67	chr10q25	antigen identified by monoclonal antibody Ki-67
212058_at	SR140	chr3q23	U2-associated SR140 protein
220295_x_at	DEPDC1	chr1p31	DEP domain containing 1
209233_at	C2F	chr12p13	C2f protein
201774_s_at	CNAP1	chr12p13	chromosome condensation-related SMC-associated pro
221436_s_at	CDCA3	chr12p13	cell division cycle associated 3
200948_at	MLF2	chr12p13	myeloid leukemia factor 2
214427_at	NOL1	chr12p13	nucleolar protein 1 120kDa
218894_s_at	FLJ10292	chr12p13	mago-nashi homolog
213007_at	FLJ10719	chr15q25	hypothetical protein FLJ10719
202243_s_at	PSMB4	chr1q21	proteasome (prosome macropain) subunit beta type
204369_at	PIK3CA	chr3q26	phosphoinositide-3-kinase catalytic alpha polype
213523_at	CCNE1	chr19q12	cyclin E1
204203_at	CEBPG	chr19q13	CCAAT/enhancer binding protein (C/EBP) gamma
219275_at	PDCD5	chr19q12	programmed cell death 5
221522_at	ANKRD27	chr19q13	ankyrin repeat domain 27 (VPS9 domain)
220083_x_at	UCHL5	chr1q32	ubiquitin carboxyl-terminal hydrolase L5
218350_s_at	GMNN	chr6p22	geminin DNA replication inhibitor
218447_at	DC13	chr16q23	DC13 protein
219555_s_at	BM039	chr16q23	uncharacterized bone marrow protein BM039
212160_at	XPOT	chr12q14	exportin tRNA (nuclear export receptor for tRNAs)
209773_s_at	RRM2	chr2p25	ribonucleotide reductase M2 polypeptide
218883_s_at	MLF1IP	chr4q35	MLF1 interacting protein
201923_at	PRDX4	chrxp22	peroxiredoxin 4
221539_at	EIF4EBP1	chr8p12	eukaryotic translation initiation factor 4E bindin
208925_at	C3orf4	chr3p11	chromosome 3 open reading frame 4
202633_at	TOPBP1	chr3q22	topoisomerase (DNA) II binding protein 1
209580_s_at	MBD4	chr3q21	methyl-CpG binding domain protein 4
203544_s_at	STAM	chr10p14	signal transducing adaptor molecule (SH3 domain an
222233_s_at	DCLRE1C	chr10p13	DNA cross-link repair 1C (PSO2 homolog S. cerevis
219212_at	HSPA14	chr10p13	heat shock 70kDa protein 14
201407_s_at	PPP1CB	chr2p23	protein phosphatase 1 catalytic subunit beta iso
