in_house ID	RefSeq ID	annotation
GS15401	NM_004594	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger),isoform 5 (SLC9A5), mRNA.
GS6757	NM_013318	Homo sapiens hypothetical protein LQFBS-1 (LQFBS-1), mRNA.
GS5517	NG_000839	Homo sapiens cystatin locus (CST@) on chromosome 20.
GS6670	NM_032340	Homo sapiens hypothetical protein MGC14833 (MGC14833), mRNA.
GS4429	NA	NA
GS908	NM_005227	Homo sapiens ephrin-A4 (EFNA4), mRNA.
GS14247	NM_000356	Homo sapiens Treacher Collins-Franceschetti syndrome 1 (TCOF1), mRNA.
GS15561	NM_031288	Homo sapiens PAP-1 binding protein (PAPA-1), mRNA.
GS2694	NA	NA
GS3529	NM_000701	Homo sapiens ATPase, Na+/K+ transporting, alpha 1 polypeptide(ATP1A1), mRNA.
GS4756	NM_003374	Homo sapiens voltage-dependent anion channel 1 (VDAC1), mRNA.
GS12324	NM_080632	Homo sapiens similar to yeast Upf3, variant B (UPF3B), transcriptvariant 1, mRNA.
LT29	NM_001276	chitinase 3-like 1
GS3328	NA	NA
GS13539	NM_033661	Homo sapiens WD repeat domain 4 (WDR4), transcript variant 2, mRNA.
GS15413	NM_024075	Homo sapiens LENG5 protein (LENG5), mRNA.
GS1755	NM_016400	Homo sapiens Huntingtin interacting protein K (HYPK), mRNA.
GS78	NM_001356	Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3 (DDX3),transcript variant 2, mRNA.
LT41	U65092	melanocyte-specific gene 1 (msg1)
GS1885	NA	NA
GS3478	NM_021942	Homo sapiens hypothetical protein FLJ12716 (FLJ12716), mRNA.
GS1460	NM_004811	Homo sapiens leupaxin (LPXN), mRNA.
GS2767	NM_033657	Homo sapiens death associated protein 3 (DAP3), nuclear gene encodingmitochondrial protein, transcript variant 1, mRNA.
GS13873	NM_004064	Homo sapiens cyclin-dependent kinase inhibitor 1B (p27, Kip1)(CDKN1B), mRNA.
GS2676	NA	NA
GS1873	NM_006895	Homo sapiens histamine N-methyltransferase (HNMT), mRNA.
GS8420	NM_003311	Homo sapiens tumor suppressing subtransferable candidate 3 (TSSC3),mRNA.
GS10510	NM_000302	Homo sapiens procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysinehydroxylase, Ehlers-Danlos syndrome type VI) (PLOD),mRNA.
GS8377	NM_005831	Homo sapiens nuclear domain 10 protein (NDP52), mRNA.
GS866	NM_001019	Homo sapiens ribosomal protein S15a (RPS15A), mRNA.
GS4006	NM_153333	Homo sapiens hypothetical protein MGC45400 (MGC45400), mRNA.
GS15641	NM_138699	Homo sapiens hypothetical protein BC006130 (LOC93622), mRNA.
GS6094	NM_000598	Homo sapiens insulin-like growth factor binding protein 3 (IGFBP3),mRNA.
LT88	NM_000141	FGFR2(fibroblast growth factor receptor 2 isoform 1) (=K-sam)
GS3606	NM_024956	Homo sapiens hypothetical protein FLJ23375 (FLJ23375), mRNA.
GS2162	NA	NA
GS15095	NM_020905	Homo sapiens retinol dehydrogenase 14 (all-trans and 9-cis) (RDH14),mRNA.
GS3860	NA	NA
GS10643	NM_032947	Homo sapiens putative small membrane protein NID67 (NID67), mRNA.
GS6258	NM_005087	Homo sapiens fragile X mental retardation, autosomal homolog 1(FXR1), mRNA.
GS2632	NM_005318	Homo sapiens H1 histone family, member 0 (H1F0), mRNA.
GS3165	NM_024531	Homo sapiens putative G-protein coupled receptor GPCR41 (FLJ11856),mRNA.
GS245	NM_014038	Homo sapiens basic leucine zipper and W2 domains 2 (BZW2), mRNA.
GS2319	NA	NA
GS9444	NM_005245	Homo sapiens FAT tumor suppressor homolog 1 (Drosophila) (FAT), mRNA.
GS942	NM_032366	Homo sapiens hypothetical protein MGC13114 (MGC13114), mRNA.
GS12890	NM_001493	Homo sapiens GDP dissociation inhibitor 1 (GDI1), mRNA.
GS1901	NA	NA
GS1319	NM_004966	Homo sapiens heterogeneous nuclear ribonucleoprotein F (HNRPF), mRNA.
GS2068	NM_015937	Homo sapiens phosphatidyl inositol glycan class T (PIGT), mRNA.
GS6300	NM_024863	Homo sapiens hypothetical protein FLJ21174 (FLJ21174), mRNA.
GS6947	NA	NA
GS6517	NM_001378	Homo sapiens dynein, cytoplasmic, intermediate polypeptide 2 (DNCI2),mRNA.
GS5742	NM_006312	Homo sapiens nuclear receptor co-repressor 2 (NCOR2), mRNA.
GS12123	NM_012103	Homo sapiens ancient ubiquitous protein 1 (AUP1), mRNA.
GS6607	NM_004252	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger),isoform 3 regulatory factor 1 (SLC9A3R1), mRNA.
GS11549	NM_014972	Homo sapiens KIAA1049 protein (KIAA1049), mRNA.
GS7573	NM_001873	Homo sapiens carboxypeptidase E (CPE), mRNA.
GS4329	NM_006805	Homo sapiens heterogeneous nuclear ribonucleoprotein A0 (HNRPA0),mRNA.
GS15195	NM_006886	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1complex, epsilon subunit (ATP5E), nuclear gene encodingmitochondrial protein, mRNA.
GS11940	NM_006763	Homo sapiens BTG family, member 2 (BTG2), mRNA.
GS1833	NM_005347	Homo sapiens heat shock 70kDa protein 5 (glucose-regulated protein,78kDa) (HSPA5), mRNA.
GS3011	NM_014748	Homo sapiens sorting nexin 17 (SNX17), mRNA.
GS4477	NM_012325	Homo sapiens microtubule-associated protein, RP/EB family, member 1(MAPRE1), mRNA.
GS14894	NM_006767	Homo sapiens leucine-zipper-like transcriptional regulator, 1(LZTR1), mRNA.
GS1853	NM_020154	Homo sapiens chromosome 11 hypothetical protein ORF3 (LOC56851),mRNA.
GS4138	NM_003137	Homo sapiens SFRS protein kinase 1 (SRPK1), mRNA.
GS5927	NA	NA
GS2211	NM_000507	Homo sapiens fructose-1,6-bisphosphatase 1 (FBP1), mRNA.
GS2321	NM_017724	Homo sapiens leucine rich repeat (in FLII) interacting protein 2(LRRFIP2), mRNA.
GS14929	NM_003441	Homo sapiens zinc finger protein 141 (clone pHZ-44) (ZNF141), mRNA.
GS1109	NM_015646	Homo sapiens RAP1B, member of RAS oncogene family (RAP1B), mRNA.
GS1595	NM_004107	Homo sapiens Fc fragment of IgG, receptor, transporter, alpha(FCGRT), mRNA.
GS3644	NA	NA
GS14927	NM_014365	Homo sapiens protein kinase H11 (H11), mRNA.
GS15065	NM_017832	Homo sapiens hypothetical protein FLJ20457 (FLJ20457), mRNA.
GS620	NM_004642	Homo sapiens CDK2-associated protein 1 (CDK2AP1), mRNA.
GS9673	NM_024310	Homo sapiens apoptosis-inducing protein D (APPD), mRNA.
GS2418	NM_001359	Homo sapiens 2,4-dienoyl CoA reductase 1, mitochondrial (DECR1),nuclear gene encoding mitochondrial protein, mRNA.
GS3463	NA	NA
GS16641	NM_144504	Homo sapiens junctional adhesion molecule 1 (JAM1), transcriptvariant 5, mRNA.
GS15618	NM_013321	Homo sapiens sorting nexin 8 (SNX8), mRNA.
GS1666	NM_016096	Homo sapiens HSPC038 protein (LOC51123), mRNA.
GS15830	NM_017967	Homo sapiens hypothetical protein FLJ20850 (FLJ20850), mRNA.
GS8531	NM_005606	Homo sapiens legumain (LGMN), mRNA.
GS345	NA	NA
GS3898	NM_002467	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian)(MYC), mRNA.
GS2075	NA	NA
LT74	NM_001354	aldo-keto reductase family 1, member C2
GS14714	NM_004941	Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 8 (RNAhelicase) (DDX8), mRNA.
GS6282	NM_015920	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA.
GS15809	NM_030974	Homo sapiens hypothetical protein DKFZp434N1923 (DKFZP434N1923),mRNA.
GS15451	NM_014303	Homo sapiens pescadillo homolog 1, containing BRCT domain (zebrafish)(PES1), mRNA.
LT134	NM_000599	IGFBP5(insulin-like growth factor binding protein)
GS3754	NM_003288	Homo sapiens tumor protein D52-like 2 (TPD52L2), mRNA.
GS14920	NM_006730	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), mRNA.
GS14936	NM_003104	Homo sapiens sorbitol dehydrogenase (SORD), mRNA.
GS1695	NA	NA
GS3289	NM_018385	Homo sapiens hypothetical protein FLJ11301 (FLJ11301), mRNA.
GS2896	NM_006666	Homo sapiens RuvB-like 2 (E. coli) (RUVBL2), mRNA.
LT156	X57766	stromelysin-3 precursor=MMP11
GS15124	NM_006076	Homo sapiens Rev/Rex activation domain binding protein-related(RAB-R), mRNA.
GS15029	NM_030934	Homo sapiens chromosome 1 open reading frame 25 (C1orf25), mRNA.
LT122	NM_000321	RB1retinoblastoma 1 (including osteosarcoma))
GS2018	NM_005517	Homo sapiens high-mobility group nucleosomal binding domain 2(HMGN2), mRNA.
GS4302	NM_001969	Homo sapiens eukaryotic translation initiation factor 5 (EIF5), mRNA.
GS3260	NM_014630	Homo sapiens KIAA0211 gene product (KIAA0211), mRNA.
GS11250	NA	NA
GS15204	NM_014870	Homo sapiens KIAA0478 gene product (KIAA0478), mRNA.
GS4505	NM_152862	Homo sapiens actin related protein 2/3 complex, subunit 2, 34kDa(ARPC2), transcript variant 1, mRNA.
GS3452	NA	NA
GS9707	NM_014883	Homo sapiens family with sequence similarity 13, member A1 (FAM13A1),mRNA.
GS4200	NM_014018	Homo sapiens mitochondrial ribosomal protein S28 (MRPS28), nucleargene encoding mitochondrial protein, mRNA.
GS7515	NM_000646	Homo sapiens amylo-1, 6-glucosidase, 4-alpha-glucanotransferase(glycogen debranching enzyme, glycogen storage diseasetype III) (AGL), transcript variant 6, mRNA.
GS12554	NG_000004	Homo sapiens genomic cytochrome P450, subfamily IIIA (niphedipineoxidase) (CYP3A) on chromosome 7.
GS3855	NM_000291	Homo sapiens phosphoglycerate kinase 1 (PGK1), mRNA.
GS761	NM_006447	Homo sapiens ubiquitin specific protease 16 (USP16), mRNA.
GS14780	NM_022365	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 1 (DNAJC1),mRNA.
GS9843	NM_030973	Homo sapiens hypothetical protein TCBAP0758 (TCBAP0758), mRNA.
GS15732	NM_005659	Homo sapiens ubiquitin fusion degradation 1-like (UFD1L), mRNA.
GS13390	NA	NA
GS2801	NM_006392	Homo sapiens nucleolar protein 5A (56kDa with KKE/D repeat) (NOL5A),mRNA.
GS3411	NM_020191	Homo sapiens mitochondrial ribosomal protein S22 (MRPS22), nucleargene encoding mitochondrial protein, mRNA.
GS1747	NA	NA
LT123	NM_000548	TSC2(tuberous sclerosis 2 isoform 1)
GS13846	NM_018682	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia 5 (trithoraxhomolog, Drosophila) (MLL5), mRNA.
GS3608	NM_138927	Homo sapiens SON DNA binding protein (SON), transcript variant f,mRNA.
GS9591	NM_001363	Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), mRNA.
GS247	NM_031372	Homo sapiens heterogeneous nuclear ribonucleoprotein D-like (HNRPDL),transcript variant 2, mRNA.
GS3950	NA	NA
GS784	NM_007178	Homo sapiens unr-interacting protein (UNRIP), mRNA.
GS7549	NM_001948	Homo sapiens dUTP pyrophosphatase (DUT), mRNA.
GS1119	NM_033630	Homo sapiens SCAN domain containing 1 (SCAND1), transcript variant2, mRNA.
GS15549	NM_032025	Homo sapiens CDA02 protein (CDA02), mRNA.
GS1286	NM_014856	Homo sapiens KIAA0476 gene product (KIAA0476), mRNA.
GS15098	NM_002096	Homo sapiens general transcription factor IIF, polypeptide 1 (74kDsubunit) (GTF2F1), mRNA.
GS8616	NM_018201	Homo sapiens hypothetical protein FLJ10743 (FLJ10743), mRNA.
LT64	D26070	type 1 inositol 1,4,5-trisphosphate receptor
GS614	NA	NA
GS12317	NM_013248	Homo sapiens NTF2-like export factor 1 (NXT1), mRNA.
GS1220	NM_080413	Homo sapiens vacuolar protein sorting 16 (yeast) (VPS16), transcriptvariant 3, mRNA.
GS1797	NA	NA
GS12676	NM_012208	Homo sapiens histidyl-tRNA synthetase-like (HARSL), mRNA.
GS14470	NM_004457	Homo sapiens fatty-acid-Coenzyme A ligase, long-chain 3 (FACL3),mRNA.
GS962	NM_004926	Homo sapiens zinc finger protein 36, C3H type-like 1 (ZFP36L1), mRNA.
GS15452	NM_152594	Homo sapiens hypothetical protein FLJ33903 (FLJ33903), mRNA.
GS2307	NG_000002	Homo sapiens immunoglobulin lambda locus (IGL@) on chromosome 22.
GS9508	NM_018718	Homo sapiens testis specific, 14 (TSGA14), mRNA.
GS4846	NM_006296	Homo sapiens vaccinia related kinase 2 (VRK2), mRNA.
LT58	S48220	type I 5 iodothyronine deiodinase mRNA
GS985	NM_022171	Homo sapiens T-cell leukemia translocation altered gene (TCTA), mRNA.
GS1999	NA	NA
GS13169	NM_052880	Homo sapiens hypothetical protein MGC17330 (MGC17330), mRNA.
GS3320	NA	NA
GS475	NM_005566	Homo sapiens lactate dehydrogenase A (LDHA), mRNA.
GS9310	NM_152395	Homo sapiens hypothetical protein FLJ31265 (FLJ31265), mRNA.
GS2055	NM_021029	Homo sapiens ribosomal protein L36A (RPL36A), mRNA.
GS3973	NM_052815	Homo sapiens immediate early response 3 (IER3), transcript variantlong, mRNA.
GS4013	NM_000159	Homo sapiens glutaryl-Coenzyme A dehydrogenase (GCDH), nuclear geneencoding mitochondrial protein, transcript variant 1,mRNA.
GS7677	NM_138391	Homo sapiens chromosome 1 open reading frame 37 (C1orf37), mRNA.
GS10594	NA	NA
GS15447	NM_170743	Homo sapiens interleukin 28 receptor, alpha (interferon, lambdareceptor) (IL28RA), transcript variant 1, mRNA.
GS12366	NM_002766	Homo sapiens phosphoribosyl pyrophosphate synthetase-associatedprotein 1 (PRPSAP1), mRNA.
GS6487	NM_004458	Homo sapiens fatty-acid-Coenzyme A ligase, long-chain 4 (FACL4),transcript variant 1, mRNA.
GS731	NM_138425	Homo sapiens hypothetical protein BC009925 (LOC113246), mRNA.
GS15584	NM_005727	Homo sapiens tetraspan 1 (TSPAN-1), mRNA.
GS7751	NM_007259	Homo sapiens vacuolar protein sorting 45A (yeast) (VPS45A), mRNA.
GS3923	NM_004299	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 7(ABCB7), nuclear gene encoding mitochondrial protein,mRNA.
GS5721	NA	NA
GS858	NM_001694	Homo sapiens ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c(ATP6V0C), mRNA.
GS6462	NA	NA
GS15674	NM_152362	Homo sapiens hypothetical protein MGC17791 (MGC17791), mRNA.
LT152	NM_001315	MAPK14(mitogen-activated protein kinase 14, isoform 1)=p38MAPK
GS4112	NM_005001	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7,14.5kDa (NDUFA7), mRNA.
GS5175	NM_005895	Homo sapiens golgi autoantigen, golgin subfamily a, 3 (GOLGA3), mRNA.
GS450	NG_001332	Homo sapiens T cell receptor alpha delta locus (TCRA/TCRD) on chromosome14.
GS2951	NG_000004	Homo sapiens genomic cytochrome P450, subfamily IIIA (niphedipineoxidase) (CYP3A) on chromosome 7.
GS6685	NM_003169	Homo sapiens suppressor of Ty 5 homolog (S. cerevisiae) (SUPT5H),mRNA.
GS2853	NM_002911	Homo sapiens regulator of nonsense transcripts 1 (RENT1), mRNA.
GS14374	NM_001968	Homo sapiens eukaryotic translation initiation factor 4E (EIF4E),mRNA.
GS4191	NA	NA
GS3218	NM_003124	Homo sapiens sepiapterin reductase (7,8-dihydrobiopterin:NADP+oxidoreductase) (SPR), mRNA.
GS15773	NM_007074	Homo sapiens coronin, actin binding protein, 1A (CORO1A), mRNA.
GS14875	NM_032027	Homo sapiens beta-amyloid binding protein precursor (BBP), mRNA.
GS10040	NM_022760	Homo sapiens chromosome 20 open reading frame 81 (C20orf81), mRNA.
GS15220	NA	NA
GS4937	NM_005560	Homo sapiens laminin, alpha 5 (LAMA5), mRNA.
GS3185	NM_005803	Homo sapiens flotillin 1 (FLOT1), mRNA.
GS2978	NM_002092	Homo sapiens G-rich RNA sequence binding factor 1 (GRSF1), mRNA.
GS3391	NM_016142	Homo sapiens hydroxysteroid (17-beta) dehydrogenase 12 (HSD17B12),mRNA.
GS8864	NM_002355	Homo sapiens mannose-6-phosphate receptor (cation dependent) (M6PR),mRNA.
GS4726	NM_002156	Homo sapiens heat shock 60kDa protein 1 (chaperonin) (HSPD1), mRNA.
GS1200	NM_001268	Homo sapiens chromosome condensation 1-like (CHC1L), mRNA.
LT151	NM_022766	CERK(ceramide kinase)
GS8643	NM_024045	Homo sapiens nucleolar protein GU2 (GU2), mRNA.
GS632	NM_012215	Homo sapiens meningioma expressed antigen 5 (hyaluronidase) (MGEA5),mRNA.
GS806	NM_021999	Homo sapiens integral membrane protein 2B (ITM2B), mRNA.
GS13196	NM_004569	Homo sapiens phosphatidylinositol glycan, class H (PIGH), mRNA.
GS10147	NM_015677	Homo sapiens likely ortholog of mouse Sh3 domain YSC-like 1 (SH3YL1),mRNA.
GS13863	NM_172206	Homo sapiens calcium/calmodulin-dependent protein kinase kinase 1,alpha (CAMKK1), transcript variant 2, mRNA.
GS2493	NM_007346	Homo sapiens opioid growth factor receptor (OGFR), mRNA.
GS3657	NM_032796	Homo sapiens synapse associated protein 1, SAP47 homolog (Drosophila)(SYAP1), mRNA.
GS6856	NA	NA
GS12679	NM_024523	Homo sapiens golgi coiled coil 1 (GCC1), mRNA.
GS943	NM_021644	Homo sapiens heterogeneous nuclear ribonucleoprotein H3 (2H9)(HNRPH3), transcript variant 2H9A, mRNA.
LT116	NM_000401	EXT2(exostoses (multiple) 2)
GS328	NM_005455	Homo sapiens zinc finger protein 265 (ZNF265), mRNA.
GS818	NA	NA
LT54	U70426	A28-RGS14p
GS6825	NM_006571	Homo sapiens likely ortholog of mouse dynactin 6 (DCTN6), mRNA.
GS11839	NM_000687	Homo sapiens S-adenosylhomocysteine hydrolase (AHCY), mRNA.
GS8094	NM_006368	Homo sapiens cAMP responsive element binding protein 3 (luman)(CREB3), mRNA.
GS901	NM_002512	Homo sapiens non-metastatic cells 2, protein (NM23B) expressed in(NME2), nuclear gene encoding mitochondrial protein,mRNA.
GS3167	NA	NA
GS1001	NM_014901	Homo sapiens KIAA1100 protein (KIAA1100), mRNA.
GS4066	NM_000617	Homo sapiens solute carrier family 11 (proton-coupled divalent metalion transporters), member 2 (SLC11A2), mRNA.
GS2603	NM_012268	Homo sapiens likely ortholog of mouse phospholipase D3 (PLD3), mRNA.
GS15425	NM_003016	Homo sapiens splicing factor, arginine/serine-rich 2 (SFRS2), mRNA.
GS824	NA	NA
GS14918	NM_014362	Homo sapiens 3-hydroxyisobutyryl-Coenzyme A hydrolase (HIBCH), mRNA.
GS855	NA	NA
GS7371	NM_005101	Homo sapiens interferon, alpha-inducible protein (clone IFI-15K)(G1P2), mRNA.
GS3221	NA	NA
GS8334	NM_024096	Homo sapiens hypothetical protein MGC5627 (MGC5627), mRNA.
GS442	NM_006374	Homo sapiens serine/threonine kinase 25 (STE20 homolog, yeast)(STK25), mRNA.
GS493	NA	NA
GS4028	NA	NA
GS15596	NM_003096	Homo sapiens small nuclear ribonucleoprotein polypeptide G (SNRPG),mRNA.
GS1149	NA	NA
GS15174	NM_015577	Homo sapiens retinoic acid induced 14 (RAI14), mRNA.
GS1071	NA	NA
GS15431	NM_152829	Homo sapiens testis derived transcript (3 LIM domains) (TES),transcript variant 2, mRNA.
GS1236	NA	NA
GS2756	NM_004549	Homo sapiens NADH dehydrogenase (ubiquinone) 1, subcomplex unknown,2, 14.5kDa (NDUFC2), mRNA.
GS12071	NM_016410	Homo sapiens hypothetical protein HSPC177 (HSPC177), mRNA.
GS3655	NA	NA
GS613	NM_033295	Homo sapiens caspase 1, apoptosis-related cysteine protease(interleukin 1, beta, convertase) (CASP1), transcriptvariant epsilon, mRNA,.
GS1251	NM_006472	Homo sapiens thioredoxin interacting protein (TXNIP), mRNA.
GS10057	NM_006024	Homo sapiens Tax1 (human T-cell leukemia virus type I) bindingprotein 1 (TAX1BP1), mRNA.
GS2612	NM_032375	Homo sapiens hypothetical protein MGC2865 (MGC2865), mRNA.
GS5825	NM_001436	Homo sapiens fibrillarin (FBL), mRNA.
GS15169	NM_003491	Homo sapiens ARD1 homolog, N-acetyltransferase (S. cerevisiae)(ARD1), mRNA.
GS3021	NM_003234	Homo sapiens transferrin receptor (p90, CD71) (TFRC), mRNA.
LT107	NM_002012	FHIT(fragile histidine triad gene)
GS743	NM_018284	Homo sapiens hypothetical protein FLJ10961 (FLJ10961), mRNA.
GS3733	NM_001497	Homo sapiens UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase,polypeptide 1 (B4GALT1), mRNA.
GS4402	NA	NA
GS6224	NM_144781	Homo sapiens programmed cell death 2 (PDCD2), transcript variant 2,mRNA.
GS10167	NM_004786	Homo sapiens thioredoxin-like, 32kDa (TXNL), mRNA.
GS2494	NM_152271	Homo sapiens hypothetical protein FLJ23749 (FLJ23749), mRNA.
GS5788	NM_015003	Homo sapiens golgin-67 (KIAA0855), mRNA.
GS14957	NM_003418	Homo sapiens zinc finger protein 9 (a cellular retroviral nucleicacid binding protein) (ZNF9), mRNA.
GS10290	NM_003683	Homo sapiens DNA segment on chromosome 21 (unique) 2056 expressedsequence (D21S2056E), mRNA.
LT72	NM_000187	HGD
GS15478	NM_002534	Homo sapiens 2,5-oligoadenylate synthetase 1, 40/46kDa (OAS1),transcript variant E16, mRNA.
GS3095	NM_004896	Homo sapiens vacuolar protein sorting 26 (yeast) (VPS26), mRNA.
GS7237	NM_002958	Homo sapiens RYK receptor-like tyrosine kinase (RYK), mRNA.
GS2332	NM_004050	Homo sapiens BCL2-like 2 (BCL2L2), mRNA.
GS15342	NM_018085	Homo sapiens importin 9 (FLJ10402), mRNA.
GS14825	NM_032374	Homo sapiens hypothetical protein MGC2562 (MGC2562), mRNA.
GS3465	NM_001826	Homo sapiens CDC28 protein kinase regulatory subunit 1B (CKS1B),mRNA.
GS11808	NM_001457	Homo sapiens filamin B, beta (actin binding protein 278) (FLNB),mRNA.
GS14294	NM_030570	Homo sapiens uroplakin 3b (UPK3B), mRNA.
GS2188	NA	NA
GS8269	NM_025083	Homo sapiens hypothetical protein FLJ21128 (FLJ21128), mRNA.
GS1899	NM_000320	Homo sapiens quinoid dihydropteridine reductase (QDPR), mRNA.
LT102	NM_005417	SRC(v-src sarcoma (Schmidt-Ruppin A-2) viral)
GS1186	NM_005138	Homo sapiens SCO cytochrome oxidase deficient homolog 2 (yeast)(SCO2), nuclear gene encoding mitochondrial protein,mRNA.
GS15312	NM_024087	Homo sapiens ankyrin repeat and SOCS box-containing 9 (ASB9), mRNA.
GS4625	NM_001747	Homo sapiens capping protein (actin filament), gelsolin-like (CAPG),mRNA.
GS3808	NA	NA
GS2354	NM_005881	Homo sapiens branched chain alpha-ketoacid dehydrogenase kinase(BCKDK), mRNA.
GS4633	NA	NA
GS12122	NM_006209	Homo sapiens ectonucleotide pyrophosphatase/phosphodiesterase 2(autotaxin) (ENPP2), mRNA.
GS1095	NM_002211	Homo sapiens integrin, beta 1 (fibronectin receptor, betapolypeptide, antigen CD29 includes MDF2, MSK12) (ITGB1),transcript variant 1A, mRNA.
GS2524	NM_001985	Homo sapiens electron-transfer-flavoprotein, beta polypeptide(ETFB), mRNA.
GS7828	NM_000428	Homo sapiens latent transforming growth factor beta binding protein 2(LTBP2), mRNA.
GS2195	NM_014819	Homo sapiens KIAA0438 gene product (KIAA0438), mRNA.
GS3151	NM_001988	Homo sapiens envoplakin (EVPL), mRNA.
GS2148	NA	NA
GS15265	NM_014374	Homo sapiens replication initiation region protein (60kD) (RIP60),mRNA.
GS588	NM_017542	Homo sapiens pogo transposable element with KRAB domain (POGK), mRNA.
GS3086	NA	NA
GS7093	NM_006828	Homo sapiens RNA helicase family (RNAH), mRNA.
GS4803	NA	NA
GS423	NA	NA
GS2536	NM_006149	Homo sapiens lectin, galactoside-binding, soluble, 4 (galectin 4)(LGALS4), mRNA.
GS2646	NA	NA
GS10281	NM_014563	Homo sapiens spondyloepiphyseal dysplasia, late (SEDL), mRNA.
GS7500	NM_004393	Homo sapiens dystroglycan 1 (dystrophin-associated glycoprotein 1)(DAG1), mRNA.
GS14868	NM_015092	Homo sapiens PI-3-kinase-related kinase SMG-1 (SMG1), transcriptvariant 1, mRNA.
GS15443	NM_139247	Homo sapiens adenylate cyclase 4 (ADCY4), mRNA.
GS3582	NA	NA
GS13795	NM_031425	Homo sapiens hypothetical protein MGC10812 (MGC10812), mRNA.
GS3521	NG_002397	Homo sapiens major histocompatibility complex, class I, BC (HLA-BC) onchromosome 6.
GS1428	NM_000086	Homo sapiens ceroid-lipofuscinosis, neuronal 3, juvenile (Batten,Spielmeyer-Vogt disease) (CLN3), mRNA.
GS1464	NA	NA
GS3727	NA	NA
GS8490	NM_002592	Homo sapiens proliferating cell nuclear antigen (PCNA), mRNA.
GS14277	NM_017922	Homo sapiens hypothetical protein FLJ20666 (FLJ20666), mRNA.
GS12283	NM_018981	Homo sapiens ER-resident protein ERdj5 (ERdj5), mRNA.
GS655	NM_004544	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10,42kDa (NDUFA10), mRNA.
GS8925	NA	NA
GS3339	NM_152931	Homo sapiens copine I (CPNE1), transcript variant 8, mRNA.
GS7220	NA	NA
GS308	NM_002568	Homo sapiens poly(A) binding protein, cytoplasmic 1 (PABPC1), mRNA.
GS1182	NM_016107	Homo sapiens zinc finger RNA binding protein (ZFR), mRNA.
GS15350	NM_032034	Homo sapiens solute carrier family 4, sodium bicarbonatetransporter-like, member 11 (SLC4A11), mRNA.
GS4677	NA	NA
GS1303	NM_016304	Homo sapiens chromosome 15 open reading frame 15 (C15orf15), mRNA.
LT61	S74445	cellular retinoic acid-binding protein, CRABP I
GS12528	NM_147187	Homo sapiens tumor necrosis factor receptor superfamily, member 10b(TNFRSF10B), transcript variant 2, mRNA.
LT92	NM_016135	TEL2(Ets transcription factor TEL-2b)
GS2940	NA	NA
GS8187	NM_032127	Homo sapiens hypothetical protein DKFZp566M1046 (DKFZP566M1046),mRNA.
GS221	NM_006472	Homo sapiens thioredoxin interacting protein (TXNIP), mRNA.
GS7064	NM_023937	Homo sapiens mitochondrial ribosomal protein L34 (MRPL34), nucleargene encoding mitochondrial protein, mRNA.
GS1876	NM_005956	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+dependent), methenyltetrahydrofolate cyclohydrolase,formyltetrahydrofolate synthetase (MTHFD1), mRNA.
GS2549	NM_032731	Homo sapiens hypothetical protein MGC14353 (MGC14353), mRNA.
GS8394	NM_172178	Homo sapiens mitochondrial ribosomal protein L42 (MRPL42), transcriptvariant 3, nuclear gene encoding mitochondrial protein,mRNA.
GS15739	NM_017875	Homo sapiens hypothetical protein FLJ20551 (FLJ20551), mRNA.
GS1842	NM_147185	Homo sapiens A kinase (PRKA) anchor protein (yotiao) 9 (AKAP9),transcript variant 3, mRNA.
GS15135	NM_052990	Homo sapiens WD repeat domain 10 (WDR10), transcript variant 4, mRNA.
GS4192	NM_003136	Homo sapiens signal recognition particle 54kDa (SRP54), mRNA.
GS13163	NA	NA
GS6375	NA	NA
GS3314	NM_170665	Homo sapiens ATPase, Ca++ transporting, cardiac muscle, slow twitch 2(ATP2A2), mRNA.
GS15442	NM_152333	Homo sapiens chromosome 14 open reading frame 69 (C14orf69), mRNA.
GS14940	NM_031905	Homo sapiens hypothetical protein MGC3195 (MGC3195), mRNA.
GS11534	NM_031203	Homo sapiens heterogeneous nuclear ribonucleoprotein M (HNRPM),transcript variant 2, mRNA.
GS7982	NM_024736	Homo sapiens hypothetical protein FLJ12150 (FLJ12150), mRNA.
GS4168	NM_003564	Homo sapiens transgelin 2 (TAGLN2), mRNA.
