Cluster	GeneID	Symbol	Description	Probeset(s)	GO Name
1.Inv3-c5-overlap-GO	ENSMUSG00000023036	Pcdhgc5	protocadherin gamma subfamily C, 5	94449_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	101897_g_at|103422_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025809	Itgb1	integrin beta 1 (fibronectin receptor beta)	100124_r_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030751	Psma1	proteasome (prosome, macropain) subunit, alpha type 1	96892_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038366	Lasp1	LIM and SH3 protein 1	93793_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000033629	Ptplad1	protein tyrosine phosphatase-like A domain containing 1	93212_at|93747_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022885	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	94432_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025366	Mbc2	membrane bound C2 domain containing protein	96767_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000044894	Uqcrq	ubiquinol-cytochrome c reductase, complex III subunit VII	93844_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028270	Gbp2	guanylate nucleotide binding protein 2	104597_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027852	Nras	neuroblastoma ras oncogene	94362_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000044562	Rasip1	Ras interacting protein 1	104146_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027298	Tyro3	TYRO3 protein tyrosine kinase 3	96766_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025006	Sorbs1	sorbin and SH3 domain containing 1	160320_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000056515	Rab31	RAB31, member RAS oncogene family	96811_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025558	Dock9	dedicator of cytokinesis 9	104714_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022351	Sqle	squalene epoxidase	94322_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032349	Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	93496_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025647	Scotin	scotin gene	95102_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000033386	Frrs1	ferric-chelate reductase 1	103421_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000051439	Cd14	CD14 antigen	98088_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000062995	Ica1	islet cell autoantigen 1	98484_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000026116	Tmem131	transmembrane protein 131	102336_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000000326	Comt	catechol-O-methyltransferase	98535_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000050953	Gja1	gap junction membrane channel protein alpha 1	100064_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006641	Slc5a6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	104200_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022965	Ifngr2	interferon gamma receptor 2	160694_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041736	Bzrp	benzodiazepine receptor, peripheral	93042_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022967	Ifnar1	interferon (alpha and beta) receptor 1	100483_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000033191	Tie1	tyrosine kinase receptor 1	161184_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022969	Il10rb	interleukin 10 receptor, beta	99491_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000018167	Stard3	START domain containing 3	95607_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000054328	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	93583_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000007458	M6pr	mannose-6-phosphate receptor, cation dependent	92847_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030339	Ltbr	lymphotoxin B receptor	97980_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032602	Slc25a20	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20	95695_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000019577	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	102049_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000049382	Krt2-8	keratin complex 2, basic, gene 8	101009_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030336	Tnfrsf7	tumor necrosis factor receptor superfamily, member 7	102281_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022270	1810015C04Rik	RIKEN cDNA 1810015C04 gene (1810015C04Rik), transcript variant 1, mRNA	95518_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000056116	H2-T10	histocompatibility 2, T region locus 10	102161_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031996	Aplp2	amyloid beta (A4) precursor-like protein 2	93498_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000026864	Hspa5	heat shock 70kD protein 5 (glucose-regulated protein)	101955_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031441	Atp11a	ATPase, class VI, type 11A	103899_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024799	Tm7sf2	transmembrane 7 superfamily member 2	92437_at|95383_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021610	C130052I12Rik	cisplatin resistance related protein CRR9p	160386_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000055737	Ghr	growth hormone receptor	99107_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000000420	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	97934_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000034789	Rab24	RAB24, member RAS oncogene family	93347_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031532	Tmem66	transmembrane protein 66	95146_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000056025	Clca1	chloride channel calcium activated 1	103812_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000005672	Kit	kit oncogene	99956_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000058355	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	100568_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000002102	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	93734_i_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022500	Litaf	LPS-induced TN factor	93753_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031924	Cyb5b	cytochrome b5 type B	103619_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027199	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	96336_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021929	Kpna3	karyopherin (importin) alpha 3	96010_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000002233	Rhoc	ras homolog gene family, member C	96056_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020777	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	101515_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038642	Ctss	cathepsin S	98543_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000059182	Scap2	src family associated phosphoprotein 2	102012_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000001507	Itga3	integrin alpha 3	104210_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000052656	Rnf103	ring finger protein 103	97972_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022146	Osmr	oncostatin M receptor	102255_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000003809	Gcdh	glutaryl-Coenzyme A dehydrogenase	160194_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000026768	Itga8	integrin alpha 8	100313_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030342	Cd9	CD9 antigen	95661_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028692	Akr1a4	aldo-keto reductase family 1, member A4 (aldehyde reductase)	96888_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000015243	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	94354_at|97198_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041845	Rhod	ras homolog gene family, member D	95547_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000016494	Cd34	CD34 antigen	160358_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000029234	Tparl	TPA regulated locus	160549_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000004451	Ralb	v-ral simian leukemia viral oncogene homolog B (ras related)	160756_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000037236	Matr3	matrin 3	96012_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000036322	H2-Ea	histocompatibility 2, class II antigen E alpha	102904_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022377	Ddef1	development and differentiation enhancing	100513_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000033880	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	97507_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032231	Anxa2	annexin A2	100569_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000043165	Lor	loricrin	92624_r_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032434	Cmtm6	CKLF-like MARVEL transmembrane domain containing 6	160312_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027775	Mfsd1	major facilitator superfamily domain containing 1	94548_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020097	Sgpl1	sphingosine phosphate lyase 1	96127_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024892	Pcx	pyruvate carboxylase	93308_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022587	Ly6e	lymphocyte antigen 6 complex, locus E	101487_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041750	Cd1d2	CD1d2 antigen	101897_g_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022108	Itm2b	integral membrane protein 2B	101123_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024143	Rhoq	ras homolog gene family, member Q	104725_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024659	Anxa1	annexin A1	161703_f_at|93037_i_at|93038_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	95324_at	metal ion transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2	101441_i_at	metal ion transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	metal ion transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000018585	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	101984_at	metal ion transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000022797	Tfrc	transferrin receptor	103957_at	metal ion transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000005802	Slc30a4	solute carrier family 30 (zinc transporter), member 4	95571_at	metal ion transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000033174	Mgll	monoglyceride lipase	97511_at	exopeptidase activity
1.Inv3-c5-overlap-GO	ENSMUSG00000039062	Anpep	alanyl (membrane) aminopeptidase	99993_at	exopeptidase activity
1.Inv3-c5-overlap-GO	ENSMUSG00000038776	Ephx1	epoxide hydrolase 1, microsomal	101587_at	exopeptidase activity
1.Inv3-c5-overlap-GO	ENSMUSG00000017760	Ppgb	protective protein for beta-galactosidase	101055_at	exopeptidase activity
1.Inv3-c5-overlap-GO	ENSMUSG00000027953	Rag1ap1	recombination activating gene 1 activating protein 1	102960_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000020458	Rtn4	reticulon 4	160484_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000009291	Pttg1ip	pituitary tumor-transforming 1 interacting protein	94473_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000064037	Xab1	XPA binding protein 1	103406_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000009633	G0s2	G0/G1 switch gene 2	97531_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000041936	Agrn	agrin	97921_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000029050	Ski	Sloan-Kettering viral oncogene homolog	104576_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000022898	Dscr3	Down syndrome critical region gene 3	101104_at|162486_f_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000038393	Txnip	thioredoxin interacting protein	160547_s_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000029234	Tparl	TPA regulated locus	160549_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000004071	5730403B10Rik	RIKEN cDNA 5730403B10 gene (5730403B10Rik), mRNA	100587_f_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000037095	Lrg1	leucine-rich alpha-2-glycoprotein 1	97420_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000003402	Prkcsh	protein kinase C substrate 80K-H	100684_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000015711	Prune	prune homolog (Drosophila)	102807_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000021133	4933426M11Rik	RIKEN cDNA 4933426M11 gene (4933426M11Rik), mRNA	96614_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000030101	Sumf1	sulfatase modifying factor 1	103911_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000031885	Cbfb	core binding factor beta	93546_s_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000027746	Ufm1	ubiquitin-fold modifier 1	94931_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000030717	Nupr1	nuclear protein 1	160108_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000062995	Ica1	islet cell autoantigen 1	98484_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000002308	Cd320	CD320 antigen	102343_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000004843	Chmp2b	chromatin modifying protein 2B	160112_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000024750	Za20d2	zinc finger, A20 domain containing 2	160321_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000020964	Sel1h	Sel1 (suppressor of lin-12) 1 homolog (C. elegans)	92870_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000016541	Atxn10	ataxin 10	99127_at	molecular function unknown
1.Inv3-c5-overlap-GO	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	97813_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	101897_g_at|103422_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000028163	Nfkb1	nuclear factor of kappa light chain gene enhancer in B-cells 1, p105	98427_s_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000030336	Tnfrsf7	tumor necrosis factor receptor superfamily, member 7	102281_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000041750	Cd1d2	CD1d2 antigen	101897_g_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000037035	Inhbb	inhibin beta-B	160828_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000056501	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	92925_at	regulation of cytokine biosynthesis
1.Inv3-c5-overlap-GO	ENSMUSG00000025410	Dctn2	dynactin 2	94300_f_at	centrosome
1.Inv3-c5-overlap-GO	ENSMUSG00000015937	H2afy	H2A histone family, member Y	97452_at	centrosome
1.Inv3-c5-overlap-GO	ENSMUSG00000033585	Ndn	necdin	101059_at	centrosome
1.Inv3-c5-overlap-GO	ENSMUSG00000018736	Ndel1	nuclear distribution gene E-like homolog 1 (A. nidulans)	98882_s_at	centrosome
1.Inv3-c5-overlap-GO	ENSMUSG00000025410	Dctn2	dynactin 2	94300_f_at	microtubule associated complex
1.Inv3-c5-overlap-GO	ENSMUSG00000018707	Dync1h1	dynein cytoplasmic 1 heavy chain 1	97333_at	microtubule associated complex
1.Inv3-c5-overlap-GO	ENSMUSG00000021288	Kns2	kinesin 2	97984_i_at	microtubule associated complex
1.Inv3-c5-overlap-GO	ENSMUSG00000018736	Ndel1	nuclear distribution gene E-like homolog 1 (A. nidulans)	98882_s_at	microtubule associated complex
1.Inv3-c5-overlap-GO	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	95324_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2	101441_i_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000057829	Ftl1	ferritin light chain 1	162479_f_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000050708	Ftl1	ferritin light chain 1	162479_f_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	99133_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000062382	Ftl1	ferritin light chain 1	162479_f_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000032496	Ltf	lactotransferrin	101115_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000018585	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	101984_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000022797	Tfrc	transferrin receptor	103957_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000005802	Slc30a4	solute carrier family 30 (zinc transporter), member 4	95571_at	di-\, tri-valent inorganic cation transport
1.Inv3-c5-overlap-GO	ENSMUSG00000026923	Notch1	Notch gene homolog 1 (Drosophila)	97497_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000000902	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	96050_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000031996	Aplp2	amyloid beta (A4) precursor-like protein 2	93498_s_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000027315	Spint1	serine protease inhibitor, Kunitz type 1	97206_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000032187	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	98463_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000029201	Ugdh	UDP-glucose dehydrogenase	102322_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000034957	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	98447_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000052429	Prmt1	protein arginine N-methyltransferase 1	96696_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000024098	Twsg1	twisted gastrulation homolog 1 (Drosophila)	102032_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000027763	Mbnl1	muscleblind-like 1 (Drosophila)	96354_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000029050	Ski	Sloan-Kettering viral oncogene homolog	104576_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000020936	Nmt1	N-myristoyltransferase 1	102047_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000022150	Dab2	disabled homolog 2 (Drosophila)	104633_at|98044_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000031681	Smad1	MAD homolog 1 (Drosophila)	102984_g_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000018736	Ndel1	nuclear distribution gene E-like homolog 1 (A. nidulans)	98882_s_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000024421	Lama3	laminin, alpha 3	97790_s_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000019846	Lama4	laminin, alpha 4	104587_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000020612	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	96852_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000021253	Tgfb3	transforming growth factor, beta 3	102751_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000056201	Cfl1	cofilin 1, non-muscle	99119_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000061524	Zic2	Zic finger protein of the cerebellum 2	98844_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000041688	Amot	angiomotin	95531_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000003051	Elf3	E74-like factor 3	99059_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000034708	Grn	granulin	93066_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000024515	Smad4	MAD homolog 4 (Drosophila)	160440_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000017716	Birc5	baculoviral IAP repeat-containing 5	101521_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000050953	Gja1	gap junction membrane channel protein alpha 1	100064_f_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000038671	Arfrp1	ADP-ribosylation factor related protein 1	101866_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000001247	Lsr	lipolysis stimulated lipoprotein receptor	99452_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000056501	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	92925_at	embryonic development
1.Inv3-c5-overlap-GO	ENSMUSG00000033585	Ndn	necdin	101059_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000037035	Inhbb	inhibin beta-B	160828_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000032187	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	98463_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000036478	Btg1	B-cell translocation gene 1, anti-proliferative	93104_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000059552	Trp53	transformation related protein 53	104154_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000019997	Ctgf	connective tissue growth factor	93294_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000028646	Rragc	Ras-related GTP binding C	98950_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1	101918_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000018736	Ndel1	nuclear distribution gene E-like homolog 1 (A. nidulans)	98882_s_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000030208	Emp1	epithelial membrane protein 1	97426_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000055737	Ghr	growth hormone receptor	99107_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000021253	Tgfb3	transforming growth factor, beta 3	102751_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	growth
