Ref seq	locus link	Gene  symbol	cytoband	kb middle position	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	ref seq best correlated clone	p-value ttest best correlated clone (in S)	median class (poor)	median class (good)	% class (poor) UP	% class (good) UP	% class (poor) DOWN	% class (good) DOWN
NM_003506	8323	FZD6,Hfz6	8q22.3	104397	4.38E-02	-1.06E-01	2.36E-01	3.15E-01	8.98E-03	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
AL137548	154807	VKORC1L1	8q22.3	101794	2.05E-02	3.61E-02	2.42E-01	1.49E-02	9.04E-01	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
BC014245	115908	CTHRC1	8q22.3	104459	-7.86E-02	-7.61E-02	3.73E-01	-3.50E-01	3.40E-03	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_005655	7071	TIEG,EGRA,KLF10,TIEG1	8q22.3	103734	-3.45E-02	-4.57E-02	7.28E-01	2.70E-01	2.57E-02	RP11-373L22	1.09E-02	1.99E-01	1.07E-01	2.73E+01	4.17E+00	0	0
AK023844	79977	TFCP2L3,BOM,Grhl2,DFNA28,FLJ13782	8q22.3	102663	3.98E-02	3.83E-02	9.16E-01	2.42E-01	4.66E-02	RP11-320N21	3.16E-03	1.67E-01	6.00E-02	25	0	0	0
AB036063	50484	RRM2B,P53R2,p53R2,MGC42116	8q22.3	103303	-5.57E-02	-4.66E-02	9.48E-01	4.81E-01	3.23E-05	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
AF283301	84955	CML66,FLJ14991	8q23.1	110369	9.66E-02	-6.82E-02	3.73E-07	5.66E-01	4.93E-07	RP11-21E8	7.71E-03	2.33E-01	1.38E-01	2.95E+01	8.33E+00	0	0
NM_020189	56943	DC6	8q23.1	110422	-1.85E-03	-1.35E-01	2.60E-04	5.94E-01	9.44E-08	RP11-21E8	7.71E-03	2.33E-01	1.38E-01	2.95E+01	8.33E+00	0	0
AK096708	1879	EBF	8q23.1	106693	-1.24E-01	3.06E-02	1.57E-03	-1.60E-01	1.92E-01	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
BC043406	84955	CML66,FLJ14991	8q23.1	110369	3.69E-02	-5.09E-02	1.56E-02	5.78E-01	2.39E-07	RP11-21E8	7.71E-03	2.33E-01	1.38E-01	2.95E+01	8.33E+00	0	0
NM_014673	9694	KIAA0103	8q23.1	109547	-1.94E-02	-8.00E-02	3.53E-02	4.62E-01	7.42E-05	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_001568	3646	EIF3S6,INT6,eIF3e,EIF3-P48,eIF3-p46	8q23.1	109307	7.82E-03	-5.79E-02	3.63E-02	3.60E-01	2.56E-03	RP11-21E8	7.71E-03	2.33E-01	1.38E-01	2.95E+01	8.33E+00	0	0
AK096148	55074	OXR1	8q23.1	107766	8.43E-02	-2.72E-02	3.83E-02	1.96E-01	1.10E-01	RP11-24H3	5.65E-03	1.75E-01	8.09E-02	25	0	0	0
AK025799		0	8q23.1	109073	1.71E-02	1.19E-01	4.05E-02	-1.89E-01	1.22E-01	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
AI798112	10944	SMAP	8q23.1	106693	-2.21E-02	1.88E-02	2.33E-01	1.66E-02	8.93E-01	RP11-10G10	1.84E-02	2.01E-01	9.45E-02	3.41E+01	4.17E+00	0	0
AK024640	10011	SRA1,SRA,STRAA1	8q23.1	109307	3.24E-03	2.66E-02	5.18E-01	1.15E-01	3.51E-01	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
AI374739	3037	HAS2	8q23.1	108268	-5.15E-02	-2.69E-02	6.94E-01	1.76E-01	1.51E-01	RP11-266D22	1.27E-02	1.33E-01	6.80E-02	2.05E+01	4.17E+00	0	0
NM_017786	55638	FLJ20366	8q23.2	110678	-2.35E-01	1.87E-02	6.54E-04	-8.79E-02	4.76E-01	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
NM_004215	9166	EBAG9,EB9,RCAS1	8q23.2	110634	-1.03E-02	-6.11E-02	5.35E-02	3.98E-01	7.83E-04	RP11-3D19	2.41E-02	2.08E-01	7.43E-02	2.95E+01	4.17E+00	0	0
NM_014112	7227	TRPS1,GC79	8q23.3	116620	-1.81E-01	9.66E-02	3.35E-03	1.98E-01	1.05E-01	RP11-16G11	6.27E-03	1.50E-01	8.18E-02	2.05E+01	0	0	0
NM_006265	5885	RAD21,HR21,MCD1,NXP1,SCC1,hHR21,HRAD21,KIAA0078	8q24.11	117942	2.64E-02	-1.55E-01	3.02E-04	8.29E-01	2.81E-18	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_000127	2131	EXT1,EXT	8q24.11	119037	6.14E-02	-7.36E-02	3.49E-03	3.42E-01	4.30E-03	RP11-17E16	3.01E-03	2.61E-01	1.24E-01	4.32E+01	8.33E+00	0	0
BC005955	84294	MGC14595	8q24.11	117858	-6.75E-03	-7.73E-02	9.20E-02	6.41E-01	4.04E-09	RP11-114O8	1.06E-02	1.32E-01	6.50E-02	2.05E+01	0	0	0
NM_003756	8667	EIF3S3,eIF3-p40,eIF3-gamma	8q24.11	117787	-5.72E-02	-1.48E-01	2.25E-01	7.25E-01	2.60E-12	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_014016	22908	SACM1L,SAC1,KIAA0851	8q24.11	119037	-2.53E-03	3.16E-03	4.14E-01	1.48E-01	2.29E-01	RP11-174I12	1.21E-02	2.40E-01	7.88E-02	3.41E+01	1.25E+01	0	0
AK095525	3192	HNRPU	8q24.11	118879	-4.17E-02	-1.74E-02	4.85E-01	-1.05E-01	3.93E-01	RP1-80K22	6.69E-03	3.90E-01	1.54E-01	5.91E+01	2.08E+01	0	0
AK023647		0	8q24.11	117858	-1.59E-02	-3.27E-02	6.87E-01	3.87E-02	7.54E-01	RP11-114O8	1.06E-02	1.32E-01	6.50E-02	2.05E+01	0	0	0
Y11709	7373	COL14A1,UND	8q24.12	121321	-3.57E-01	1.01E-01	4.91E-06	-3.63E-01	2.34E-03	RP1-80K22	6.69E-03	3.90E-01	1.54E-01	5.91E+01	2.08E+01	0	0
NM_014078	28998	MRPL13,L13,L13mt,RPL13	8q24.12	121502	-4.10E-02	-1.26E-01	4.03E-03	5.32E-01	3.07E-06	RP11-494N20	1.27E-02	2.52E-01	9.27E-02	3.64E+01	8.33E+00	0	0
AL136678	64798	DEPDC6,FLJ12428,FLJ13854,DKFZp564B1778	8q24.12	121044	-1.69E-01	2.24E-02	3.37E-02	2.90E-02	8.14E-01	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_002546	4982	TNFRSF11B,OPG,TR1,OCIF,MGC29565	8q24.12	120019	-1.75E-01	-3.45E-02	9.79E-02	1.26E-01	3.07E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
AK093835	286410	ATP11C,ATPIG,ATPIQ,FLJ34233	8q24.12	121162	2.92E-02	-4.28E-02	2.58E-01	1.21E-01	3.27E-01	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
AF028828	6641	SNTB1,A1B,SNT2,BSYN2,DAPA1B,SNT2B1,TIP-43,FLJ22442	8q24.12	121757	7.72E-02	-6.92E-03	3.07E-01	7.41E-02	5.48E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
AI225105	7881	KCNAB1	8q24.12	120019	1.66E-02	4.77E-02	4.96E-01	-5.07E-02	6.81E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
NM_003129	6713	SQLE	8q24.13	126092	1.24E-01	-1.72E-01	1.25E-05	5.06E-01	1.06E-05	RP11-495D4	6.53E-03	3.08E-01	1.06E-01	50	1.67E+01	0	0
NM_005005	4715	NDUFB9,B22,UQOR22	8q24.13	125626	8.06E-02	-6.93E-02	2.72E-05	6.91E-01	7.18E-11	RP11-115M9	1.34E-02	1.96E-01	1.16E-01	3.18E+01	8.33E+00	0	0
NM_014109	29028	ATAD2,MGC5254,PRO2000,MGC29843,DKFZp667N1320	8q24.13	124440	2.97E-02	-1.60E-01	1.14E-04	5.70E-01	3.95E-07	RP11-16G11	6.27E-03	1.50E-01	8.18E-02	2.05E+01	0	0	0
NM_017956	55039	FLJ20772	8q24.13	125533	-9.75E-03	-6.86E-02	3.38E-02	6.40E-01	4.28E-09	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
AF212250	83940	CDA11	8q24.13	125595	-3.56E-03	-1.63E-03	1.11E-01	5.68E-01	4.33E-07	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
AL110137	136319	MTPN	8q24.13	126311	1.23E-02	-4.93E-02	1.31E-01	1.94E-01	1.13E-01	RP11-494N20	1.27E-02	2.52E-01	9.27E-02	3.64E+01	8.33E+00	0	0
NM_014943	22882	ZHX2,KIAA0854	8q24.13	123960	4.14E-02	7.81E-02	1.60E-01	3.50E-01	3.41E-03	RP11-115M9	1.34E-02	1.96E-01	1.16E-01	3.18E+01	8.33E+00	0	0
NM_058229	114907	FBXO32,MAFbx,ATROGIN1,FLJ32424,MGC33610	8q24.13	124604	2.25E-02	-1.36E-01	2.96E-01	2.89E-01	1.69E-02	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
NM_007222	11244	ZHX1	8q24.13	124343	-6.57E-02	1.63E-02	5.27E-01	2.98E-01	1.36E-02	RP11-16G11	6.27E-03	1.50E-01	8.18E-02	2.05E+01	0	0	0
NM_014751	9788	MTSS1,MIM,MIMA,MIMB,KIAA0429	8q24.13	125721	7.16E-02	-6.67E-02	5.46E-01	2.58E-01	3.34E-02	RP11-114O8	1.06E-02	1.32E-01	6.50E-02	2.05E+01	0	0	0
NM_018024	55093	FLJ10204	8q24.13	124511	-6.23E-02	-1.82E-02	7.38E-01	4.72E-01	4.86E-05	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
AA088388	158405	KIAA1958	8q24.13	124791	-4.24E-03	-2.73E-02	8.53E-01	-5.16E-03	9.67E-01	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_004306	312	ANXA13,ISA,ANX13	8q24.13	124791	-2.97E-01	-2.58E-01	8.73E-01	9.05E-02	4.63E-01	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
NM_014846	9897	KIAA0196	8q24.13	126139	-2.01E-02	-2.84E-02	9.44E-01	5.54E-01	9.55E-07	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_007218	11236	RNF139,RCA1,TRC8,HRCA1,MGC31961	8q24.13	125563	-6.88E-02	-3.22E-02	9.47E-01	5.44E-01	1.65E-06	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
AJ000480	10221	TRIB1,C8FW,GIG2,SKIP1	8q24.13	126516	3.92E-02	2.55E-02	9.58E-01	1.84E-02	8.82E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
AB042405	56169	MLZE	8q24.21	130844	7.70E-03	-8.84E-02	2.28E-03	3.95E-01	8.64E-04	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
K02276	4609	MYC,c-Myc	8q24.21	128820	4.62E-02	-6.29E-02	1.11E-01	3.30E-01	6.05E-03	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
BC052957	157638	NSE2,BCMP101	8q24.21	127637	-8.13E-02	-4.37E-03	1.36E-01	2.78E-01	2.15E-02	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
N32498		0	8q24.21	128965	2.42E-02	2.44E-02	7.51E-01	-2.85E-02	8.17E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
NM_006096	10397	NDRG1,GC4,RTP,DRG1,NDR1,NMSL,TDD5,CAP43,CMT4D,HMSNL,RIT42,TARG1,PROXY1	8q24.22	134349	-7.39E-02	-3.30E-01	1.62E-04	6.35E-01	5.93E-09	RP11-127J8	2.23E-02	2.62E-01	9.62E-02	3.64E+01	8.33E+00	0	0
AY117413	196047	EMX2OS	8q24.22	134597	-2.18E-02	4.40E-02	2.03E-02	7.97E-02	5.18E-01	RP11-127J8	2.23E-02	2.62E-01	9.62E-02	3.64E+01	8.33E+00	0	0
NM_003882	8840	WISP1,CCN4	8q24.22	134292	-1.26E-01	1.38E-02	2.61E-02	3.75E-02	7.62E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
NM_006748	6503	SLA,SLA1,SLAP	8q24.22	134151	7.38E-04	-1.05E-01	3.08E-02	1.88E-01	1.24E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
AB040918	57623	ZNF406,ZFAT-1,KIAA1485	8q24.22	135677	1.57E-02	-6.00E-02	3.93E-02	2.21E-01	7.04E-02	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
NM_016018	51105	CGI-72,FLJ13649,FLJ21615,MGC64923	8q24.22	133921	-1.57E-02	7.58E-02	3.18E-01	1.07E-01	3.85E-01	RP11-532M24	1.84E-02	1.88E-01	1.03E-01	2.95E+01	8.33E+00	0	0
BC039492	4082	MARCKS	8q24.22	134349	-5.03E-02	-2.25E-02	6.01E-01	-8.47E-02	4.92E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
D63477	23167	KIAA0143	8q24.22	133040	-3.95E-02	-1.65E-02	6.56E-01	3.08E-01	1.06E-02	RP11-17E16	3.01E-03	2.61E-01	1.24E-01	4.32E+01	8.33E+00	0	0
AL122089	148223	C19orf25,FLJ36666	8q24.23	136634	-3.36E-02	1.37E-04	2.38E-03	8.70E-02	4.80E-01	RP11-114O8	1.06E-02	1.32E-01	6.50E-02	2.05E+01	0	0	0
NM_006558	10656	KHDRBS3,Etle,SALP,SLM2,SLM-2,T-STAR,etoile	8q24.23	136634	-1.60E-02	-1.17E-01	2.36E-02	3.10E-01	1.02E-02	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
