#Clone ID	Gene Symbol	Unigene ID	Genomic Data	Expression Data (Ratio huT78/PanT)	log2(Genomic Data)	log2(Expression Data)
hAE0150	PSMB4	Hs.89545	1.025	2.386	0.036	1.255
hAD1504	RORC	Hs.133314	1.409	0.509	0.495	-0.976
hAA8135	S100A10	Hs.119301	1.281	1.987	0.357	0.991
hAC8339	SPRR3	Hs.139322	1.258	0.623	0.331	-0.684
hAB5847	SPRR2A	Hs.355542	1.141	0.806	0.19	-0.312
hAA0365	SPRR2C	Hs.2421	1.517	0.875	0.601	-0.192
hAC0869	S100A9	Hs.112405	1.166	2.436	0.222	1.285
hAB6772	ILF2	Hs.75117	1.056	2.702	0.079	1.434
hAB7634	ILF2	Hs.75117	1.498	4.092	0.583	2.033
hAB6950	PP591	Hs.118666	1.384	1.056	0.469	0.078
hAA9315	SHC1	Hs.81972	1.319	1.164	0.399	0.219
hAA2728	HSA243666	Hs.337078	1.263	1.134	0.337	0.181
hAE0176	IL6R	Hs.193400	1.448	0.63	0.534	-0.666
hAB4501	DKFZP586G1722	Hs.31989	1.722	1.955	0.784	0.967
hAC0966	RAB13	Hs.151536	1.204	1.97	0.268	0.978
hAC7333	JTB	Hs.6396		2.443		1.289
hAB0463	ZIRTL	Hs.7854	1.642	4.664	0.715	2.221
hAC8079	THBS3	Hs.169875	1.361	0	0.445
hAB7003	THBS3	Hs.169875	1.544	3.108	0.627	1.636
hAA8784	C1orf2	Hs.19554	1.649	1.208	0.722	0.272
hAA2086	CLK2	Hs.73986	1.236	1.581	0.306	0.661
hAA0148	PKLR	Hs.95990	1.325	1.419	0.406	0.505
hAB8890	ASH1	Hs.102652		0.23		-2.123
hAC7740	DAP3	Hs.159627	1.162	2.109	0.217	1.077
hAD6601	DAP3	Hs.159627	1.199	0.822	0.262	-0.283
hAA5949	ARHGEF2	Hs.337774	1.301	0.434	0.38	-1.204
hAC7858	ARHGEF2	Hs.337774	1.569	0.807	0.65	-0.309
hAE0557	KIAA1089	Hs.4990	1.629	1.566	0.704	0.647
hAE0033	-	Hs.1708	1.228	6.152	0.296	2.621
hAA0470	HDGF	Hs.89525		2.978		1.574
hAA2150	PRCC	Hs.9629	1.428	1.765	0.514	0.82
chAA0620	H2BFQ	Hs.2178	1.147	0.515	0.198	-0.957
chAC2943	H2BFQ	Hs.2178	1.159	0.177	0.213	-2.498
chAA7994	H2BFQ	Hs.2178	1.369	1.821	0.453	0.865
hAC0817	H2AFO	Hs.795	1.29	2.879	0.367	1.526
hAE0056	JAM1	Hs.286218	1.549	1.494	0.631	0.579
hAC7712	DEDD	Hs.169681	1.403	1.124	0.489	0.168
hAD1867	DEDD	Hs.169681		0.825		-0.278
hAC8113	HSPC155	Hs.177507	1.088	1.101	0.122	0.139
hAB7971	USP21	Hs.8015	1.22		0.287
hAA5294	PPOX	Hs.100016	1.362	1.393	0.446	0.478
hAA0104	SELE	Hs.89546	0.994	0.396	-0.009	-1.338
hAA0103	SELL	Hs.82848	1.135	0.019	0.183	-5.746
hAD1712	SELP	Hs.73800		0.982		-0.026
hAA8561	BLZF1	Hs.158205	0.976	0.217	-0.035	-2.205
hAD1926	BLZF1	Hs.158205		0.318		-1.651
hAA1879	IFI16	Hs.155530	1.337	1.168	0.419	0.224
hAC6601	-	Hs.332012	1.066	0.947	0.092	-0.079
hAA8607	ATP1A2	Hs.34114	1.516		0.6
hAC7871	CD84	Hs.137548	2.012	1.347	1.009	0.43
hAD1823	HSPA6	Hs.3268	1.33	0.589	0.411	-0.765
hAD0637	-	Hs.164495	1.296	2.411	0.374	1.269
hAB0919	DUSP12	Hs.44229	0.972	2.071	-0.041	1.05
hAA5268	ATF6	Hs.5813		0.973		-0.04
hAC8310	KIAA0464	Hs.129729	1.312	0.745	0.392	-0.425
hAB7356	PBX1	Hs.155691		0.436		-1.196
hAC8512	PBX1	Hs.155691		0.559		-0.839
hAD6746	PBX1	Hs.155691		0.362		-1.465
hAA8340	RXRG	Hs.26550	1.372	1.187	0.456	0.248
hAA8487	UMPK	Hs.75939		2.651		1.407
hAA1537	POU2F1	Hs.182237	0.938	1.347	-0.092	0.43
hAA9385	CREG	Hs.5710		1		0
hAC8347	SCYC1	Hs.3195	1.368	1.101	0.452	0.139
hAA3216	KIAA1096	Hs.69559	1.472	1.291	0.558	0.368
hAC2460	KIAA0859	Hs.19469	1.114	1.204	0.156	0.268
hAE0312	TNFSF4	Hs.181097		3.484		1.801
hAB7004	ASTN	Hs.6788	1.183	0.961	0.242	-0.058
hAA6858	DKFZP586G011	Hs.234265	1.518	0.483	0.602	-1.051
hAA0382	QSCN6	Hs.77266	1.398	1.176	0.483	0.233
hAA2291	DDX9	Hs.74578		1.928		0.947
hAA0281	LAMC1	Hs.214982	1.349	1.07	0.432	0.097
hAA0943	ARPC5	Hs.82425	1.466	2.576	0.552	1.365
hAC4463	RGL	Hs.79219	1.071	0.545	0.099	-0.877
hAA8777	C1orf21	Hs.12532	1.131	1.41	0.178	0.496
hAE2173	-	Hs.211587		0.423		-1.243
hAA8676	RGS13	Hs.17165	0.883		-0.18
hAD1880	RGS2	Hs.78944	1.297	0.503	0.375	-0.991
hAB8023	UCH37	Hs.171581		1.036		0.051
hAB7138	HFL1	Hs.278568	1.257	0.834	0.33	-0.262
hAC8415	RAB7L1	Hs.115325	1.099	0.586	0.136	-0.772
hAA0628	RABIF	Hs.90875	1.169	0.366	0.225	-1.451
hAA2928	LOC51094	Hs.5298	1.026	1.238	0.037	0.308
hAD1808	PPFIA4	Hs.153648	1.147	0.325	0.198	-1.623
hAA1267	CHI3L1	Hs.75184	1.216	0.562	0.282	-0.83
hAA0819	-	Hs.75462	1.107	1.677	0.147	0.746
hAA1130	FMOD	Hs.230	1.145	0.777	0.195	-0.365
hAB4972	KISS1	Hs.95008	1.282	0.569	0.358	-0.814
hAB7164	PIK3C2B	Hs.132463		1.739		0.798
hAD1097	PIK3C2B	Hs.132463		0.86		-0.217
hAE0149	MDM4	Hs.101874		0.921		-0.119
hAA9178	CNTN2	Hs.2998	1.349	0.863	0.432	-0.212
hAB3390	RBBP5	Hs.72984	1.494	1.347	0.579	0.429
hAB9780	KIAA0481	Hs.6360		1.009		0.013
hAE0239	PCTK3	Hs.2994	1.526	1.407	0.61	0.493
hAA8457	IKKE	Hs.321045	1.039	2.995	0.055	1.583
hAA1021	MAPKAPK2	Hs.75074	1.151	4.434	0.203	2.149
hAD9609	IL19	Hs.71979	0.979	0	-0.031
hAE0278	TOSO	Hs.58831	1.206	0.39	0.27	-1.357
hAB7314	CR2	Hs.73792		0.736		-0.443
hAA1574	MCP	Hs.83532		0.506		-0.982
hAA3996	TRAF5	Hs.29736	1.149	0.563	0.2	-0.83
hAA3579	RAMP	Hs.126774		3.971		1.99
hAA1333	ATF3	Hs.460	1.374	0.506	0.458	-0.983
hAA4428	ZNF281	Hs.59757	1.147	1.475	0.198	0.56
hAA2877	DKFZP564B1023	Hs.95321	0.984	1.696	-0.023	0.762
hAB5272	HSPC150	Hs.5199	1.29	2.638	0.367	1.399
hAB7265	PTPN7	Hs.35	1.323	3.392	0.404	1.762
hAA0937	RNPEP	Hs.283667	1.192	1.648	0.253	0.72
hAC6648	PHLDA3	Hs.268557	1.172	1.387	0.229	0.472
hAA7265	TGFB2	Hs.169300	0.963	0.352	-0.054	-1.505
hAC7643	TGFB2	Hs.169300	1.143	1.141	0.193	0.191
hAA0044	TGFB2	Hs.169300	1.236	0.871	0.306	-0.199
hAA0856	PPP2R5A	Hs.155079	1.126		0.171
hAC7750	PPP2R5A	Hs.155079	1.245	0.26	0.316	-1.944
hAA0818	TP53BP2	Hs.44585	1.102	1.542	0.14	0.625
hAB7176	LBR	Hs.152931		0.411		-1.282
hAC6197	EBAF	Hs.25195	0.844	1.285	-0.245	0.362
hAA8522	EBAF	Hs.25195	1.532	0.657	0.615	-0.607
hAB9966	KIAA0451	Hs.18586		0.882		-0.181
hAB0569	FLJ12517	Hs.184343	1.38	1.47	0.465	0.555
hAC5633	-	Hs.325081	1.284	0	0.361
hAA5421	ARF1	Hs.74571	1.18	2.976	0.239	1.573
hAB7380	ARF1	Hs.74571	1.455	1.854	0.541	0.891
hAA1895	GUK1	Hs.3764	1.063	4.5	0.088	2.17
hAA0144	RAB4	Hs.119007		0.445		-1.169
hAC8533	AGT	Hs.3697	1.313	0.828	0.393	-0.272
hAB6364	DKFZP547N043	Hs.23971		0.68		-0.557
hAA8586	TARBP1	Hs.151518	1.362	0.549	0.446	-0.866
hAA2616	MGP	Hs.350268	1.196	1.453	0.258	0.539
hAB8068	BCAA	Hs.17428	1.105	1.524	0.144	0.608
hAB6073	GGPS1	Hs.55498	1.055	0.413	0.077	-1.275
hAD1764	GGPS1	Hs.55498		1.289		0.366
hAA1642	TBCE	Hs.343564	1.108	1.609	0.148	0.686
hAC2896	TBCE	Hs.343564	1.633	0.855	0.708	-0.227
hAA1227	CHS1	Hs.36508	1.504	0.792	0.589	-0.337
hAA0407	-	Hs.4082		0.613		-0.707
hAE0081	ACTN2	Hs.83672	1.07	0.759	0.098	-0.398
hAB3711	HNRPU	Hs.355981		1.255		0.328
hAE0037	AKT3	Hs.278582	1.089		0.123
hAA3049	LOC51097	Hs.238126	1.15	2.075	0.202	1.053
hAA9808	MGC15548	Hs.22051	1.375	1.016	0.459	0.023
hAC8474	D2S448	Hs.118893	1.22	0.374	0.287	-1.419
hAB2847	D2S448	Hs.118893	1.363	1.191	0.447	0.253
hAB6829	TSSC1	Hs.4992	1.48	2.751	0.566	1.46
hAA8785	-	Hs.17518	1.737	2.239	0.797	1.163
hAD1028	ID2	Hs.180919	1.221	0.41	0.288	-1.288
hAC7749	ID2	Hs.180919	1.393	1.262	0.478	0.336
hAA0312	ID2	Hs.180919		0.559		-0.839
hAC1104	ADAM17	Hs.64311	1.232	1.261	0.301	0.335
hAC5439	ADAM17	Hs.64311	1.625	0.939	0.7	-0.091
hAB7383	YWHAQ	Hs.74405	1.517	4.409	0.601	2.14
hAC2015	-	Hs.12229	1.125	1.196	0.17	0.259
hAC4853	-	Hs.12229	1.665	1.023	0.736	0.032
hAA0237	MYCN	Hs.25960	1.355	1.532	0.438	0.616
hAA1542	ODC1	Hs.75212	1.208	2.856	0.273	1.514
hAA7701	ROCK2	Hs.58617	1.148	1.116	0.199	0.159
hAB4975	LAPTM4A	Hs.111894	1.63	1.205	0.705	0.269
hAD1036	ARHB	Hs.204354	1.294	1.496	0.372	0.581
hAA5018	ARHB	Hs.204354	1.367	1.779	0.451	0.831
hAD1015	ARHB	Hs.204354	1.52	0.166	0.604	-2.588
hAE0260	POMC	Hs.1897		0.588		-0.767
hAA1664	NCOA1	Hs.74002	1.449	1.426	0.535	0.512
hAE0026	RAB10	Hs.236494	1.639	1.213	0.713	0.279
hAB0224	3-Apr	Hs.9527		1.809		0.855
hAB3726	SLC30A3	Hs.111967		1.222		0.289
hAB6844	GTF3C2	Hs.75782	1.947	1.661	0.961	0.732
hAA6357	SLC4A1AP	Hs.306000	1.358	1.126	0.441	0.172
hAA9653	ITSN2	Hs.166184	1.494	0.479	0.579	-1.062
hAA2443	PIG3	Hs.50649	1.561	1.094	0.642	0.129
hAC7648	FOSL2	Hs.301612	1.478	2.221	0.564	1.151
hAA2462	FLJ23306	Hs.301612	1.694	2.175	0.76	1.121
hAA0159	PPP1CB	Hs.21537		1.427		0.513
hAB4261	FLJ20628	Hs.32356	1.381	0.54	0.466	-0.89
hAB6937	FEZ2	Hs.103419		0.676		-0.565
hAA0160	PRKR	Hs.274382	1.219	1.118	0.286	0.161
hAD1031	PRKCN	Hs.143460	0.924	0.728	-0.114	-0.458
hAB0732	PRKCN	Hs.143460	1.08	1.082	0.111	0.114
hAC3587	PRKCN	Hs.143460	1.085	0.763	0.118	-0.39
hAB5215	PRKCN	Hs.143460		0.678		-0.56
hAA2300	CYP1B1	Hs.154654		0.772		-0.373
hAA0944	SFRS7	Hs.184167	1.203	1.372	0.267	0.456
hAA0629	SOS1	Hs.326392	1.105	1.027	0.144	0.038
hAC1210	MAP4K3	Hs.227400	1.144	0.779	0.194	-0.36
hAA6103	LOC84661	Hs.323401	1.43	3.198	0.516	1.677
hAB3924	CARD12	Hs.23248	1.36	1.029	0.444	0.041
hAB0794	BIRC6	Hs.250646		0.852		-0.232
hAC1915	FLJ20272	Hs.26090	1.522	2.614	0.606	1.386
hAA1596	LTBP1	Hs.241257	1.334	1.044	0.416	0.061
hAE0848	-	Hs.302030	1.412	0.834	0.498	-0.262
hAB3581	FLJ23451	Hs.132799	1.133	0.804	0.18	-0.314
hAB0331	EPAS1	Hs.8136	1.311	0.794	0.391	-0.333
hAD1530	EPAS1	Hs.8136	1.407	1.583	0.493	0.663
hAD9952	PRKCE	Hs.211592	1.099	1.581	0.136	0.661
hAA4058	C2orf2	Hs.333555		0.323		-1.632
hAE0276	LHCGR	Hs.1769		0.305		-1.711
hAA3039	-	Hs.346257	0.733	0.574	-0.448	-0.802
hAA2286	MSH2	Hs.78934	1.023	3.576	0.033	1.838
hAA0324	MTIF2	Hs.149894	1.01	2.436	0.014	1.284
hAB2088	FLJ10392	Hs.20887		0.339		-1.559
hAB1039	KIAA1387	Hs.301434	1.033	0.425	0.047	-1.233
hAD1772	EIF3S5	Hs.7811	1.454	1.769	0.54	0.823
hAD3697	BCL11A	Hs.130881		0.708		-0.497
hAE0327	REL	Hs.44313	1.503	1.34	0.588	0.423
hAA2846	CCT4	Hs.79150	1.195	3.665	0.257	1.874
hAA2398	CCT4	Hs.79150	1.374	4.589	0.458	2.198
hAB3482	CCT4	Hs.79150	1.602	3.059	0.68	1.613
hAA5023	RAB1	Hs.3642	1.049	1.131	0.069	0.177
hAD8766	FLJ20080	Hs.7942		0.205		-2.286
hAA0605	MEIS1	Hs.170177	1.123	1.208	0.167	0.272
hAC7789	MEIS1	Hs.170177	1.291	0.876	0.368	-0.191
hAA3059	PPP3R1	Hs.278540	1.302		0.381
hAB5905	KIAA0903	Hs.16218		0.579		-0.788
hAB0290	MDH1	Hs.75375	0.902	2.147	-0.149	1.103
hAC8325	KIAA0053	Hs.1528	1.339	0.481	0.421	-1.055
hAA3121	TEM8	Hs.8966	1.601	1.097	0.679	0.134
hAA1305	ANXA4	Hs.77840	1.444	1.037	0.53	0.052
hAD9993	MAD	Hs.109012	1.115	0.352	0.157	-1.507
hAE0158	-	Hs.109012	1.194	1.176	0.256	0.234
hAA1237	-	Hs.278627	1.238	0.682	0.308	-0.552
hAA8921	SNRPG	Hs.77496	1.173	5.402	0.23	2.434
hAC0915	TGFA	Hs.170009	1.179	0.605	0.238	-0.726
hAD9935	VAX2	Hs.249170	1.449	1.367	0.535	0.451
hAA2700	ATP6B1	Hs.64173	1.397	0.665	0.482	-0.588
hAC0017	C2orf7	Hs.61268		0.818		-0.29
hAC5174	CCT7	Hs.108809	1.397	1.093	0.482	0.128
chAA9172	ACTA2	Hs.195851	1.22	6.579	0.287	2.718
hAA2228	ACTG2	Hs.78045	1.55	18.646	0.632	4.221
hAC5609	WBP1	Hs.7709		13.008		3.701
hAA8897	GCS1	Hs.83919	1.22	1.11	0.287	0.151
hAB0559	P12	Hs.19980	1.203	2.234	0.267	1.159
hAE0286	PAP	Hs.423	1.281	1.795	0.357	0.844
hAC7947	CTNNA2	Hs.150917	1.044	1.266	0.062	0.34
hAA8557	CTNNA2	Hs.150917	1.249	0.671	0.321	-0.576
hAC3167	CTNNA2	Hs.150917	1.318	0.714	0.398	-0.486
hAB0895	SUCLG1	Hs.7043	1.354	4.061	0.437	2.022
hAA2342	CAPG	Hs.82422	0.82	5.607	-0.286	2.487
hAA1441	MAT2A	Hs.77502	1.409	1.213	0.495	0.279
hAC1085	VAMP8	Hs.172684	1.053	1.311	0.075	0.39
hAB0823	SAD1	Hs.12820	0.98	0.961	-0.029	-0.058
hAC9649	SIAT9	Hs.225939	0.839	0.678	-0.253	-0.561
hAA5814	SIAT9	Hs.225939		0.691		-0.534
hAD1932	SIAT9	Hs.225939		0.262		-1.93
hAA5157	LOC51318	Hs.93814	1.032	3.633	0.045	1.861
hAC8370	IGKV3D-15	Hs.348027	1.397	1.126	0.482	0.171
hAA0259	MAL	Hs.80395	1.229	0.502	0.297	-0.993
hAC3531	SEMA4C	Hs.7188	1.481	1.219	0.567	0.286
hAE0198	ACTR1B	Hs.2477	1.259	1.504	0.332	0.589
hAE0242	ZAP70	Hs.234569	1.29	0.863	0.367	-0.212
hAC7894	IF2	Hs.158688		3.849		1.944
hAE0918	-	Hs.184014	1.723	0.681	0.785	-0.555
hAC7774	VRP	Hs.164170	1.398	0.57	0.483	-0.81
hAB5843	-	Hs.171802	1.153	0.297	0.205	-1.753
hAC3017	MAP4K4	Hs.3628		0.932		-0.102
hAA0316	IL1R2	Hs.25333	1.054	0.318	0.076	-1.655
hAC9024	IL1R1	Hs.82112	1.147	0.909	0.198	-0.137
hAA1411	IL1RL1	Hs.66	0.984	3.044	-0.023	1.606
hAA0385	IL18R1	Hs.159301	1.391	0.725	0.476	-0.465
hAD1559	IL18RAP	Hs.158315	1.106	0	0.145
hAB6860	KIAA0336	Hs.278671	1.24	0.264	0.31	-1.924
hAA0478	RANBP2	Hs.199179	1.139	0.445	0.188	-1.167
hAC9074	RANBP2	Hs.199179	1.43		0.516
hAB3904	RANBP2	Hs.199179		0.387		-1.369
hAA9265	RANBP2L1	Hs.179825	1.338	0.201	0.42	-2.312
hAA0508	RANBP2L1	Hs.179825	1.432	0.241	0.518	-2.052
hAA8678	BUB1	Hs.98658	1.014	2.787	0.02	1.479
hAA2896	MCPR	Hs.40137	1.205	0.32	0.269	-1.646
hAD9991	-	Hs.306178	1.319	1.07	0.399	0.098
hAB6848	IL1A	Hs.1722		1.321		0.401
hAA8282	IL1B	Hs.126256	1.019	0.785	0.027	-0.35
hAE0233	FIL1 (ZETA)	Hs.166371	1.087	0.59	0.12	-0.761
hAE0259	IL-1H1	Hs.211238	1.193	0.934	0.255	-0.098
hAA1619	IL1RN	Hs.81134	1.415	1.398	0.501	0.484
hAA1049	PAX8	Hs.73149	1.149	1.15	0.2	0.202
hAA7117	PAX8	Hs.73149	1.486	0.885	0.571	-0.177
hAB1569	R33729_1	Hs.5321	1.181	0.812	0.24	-0.3
hAA6172	MAP3K2	Hs.28827	1.058	2.551	0.081	1.351
hAA4748	CCNT2	Hs.155478		0.265		-1.916
hAA0468	HNMT	Hs.81182	1.171	0.773	0.228	-0.371
hAA6188	LRRC2	Hs.185018	1.187	0.367	0.247	-1.446
hAB9911	LRRC2	Hs.185018		0.602		-0.733
hAC3271	MGC10993	Hs.12199	1.071	9.101	0.099	3.186
hAE0353	PTPN4	Hs.73826	1.042	0.925	0.059	-0.113
hAA2375	STMN1	Hs.348024	1.356	0.55	0.439	-0.863
hAC1082	INHBB	Hs.1735	0.97	1.532	-0.044	0.615
hAA7490	INHBB	Hs.1735	1.332	2.136	0.414	1.095
hAB2201	GLI2	Hs.111867		0.692		-0.53
hAD1837	PTPN18	Hs.278597	1.156	0.492	0.209	-1.023
hAC3604	-	Hs.6066	1.377	0.623	0.462	-0.683
hAD4638	FLJ11113	Hs.94125	1.172	1.24	0.229	0.311
hAC5316	CL25022	Hs.5324	1.445	1.517	0.531	0.601
hAA8143	ARHE	Hs.6838		1.275		0.35
hAA2009	NMI	Hs.54483	1.181	1.587	0.24	0.666
hAE0397	NMI	Hs.54483		0.527		-0.925
hAC5620	STAM2	Hs.17200	0.892	0.476	-0.165	-1.07
hAB9875	STAM2	Hs.17200	0.893	0.432	-0.163	-1.212
hAA1437	ACVR1	Hs.150402	0.911	0.639	-0.134	-0.645
hAA9484	BAZ2B	Hs.8383	1.734	1.278	0.794	0.354
hAA0592	KIAA0022	Hs.2441	1.385	0.652	0.47	-0.618
hAC7879	PLA2R1	Hs.171945	1.061	0.607	0.085	-0.721
hAE0207	ITGB6	Hs.123125	0.883	1.249	-0.18	0.321
hAA2222	GOT2	Hs.170197	0.937	2.296	-0.094	1.199
hAA8844	GRB14	Hs.83070		0.428		-1.223
hAC3281	POH1	Hs.178761	0.86	2.105	-0.218	1.073
hAA8585	TANK	Hs.146847		0.138		-2.852
hAD3712	SCN3A	Hs.300717	0.953	0.395	-0.069	-1.338
hAA0631	LRP2	Hs.153595	0.909	1.48	-0.138	0.566
hAA8985	GAD1	Hs.324784	0.845	0.679	-0.243	-0.558
hAB1685	FLJ23462	Hs.31297	0.997		-0.004
hAA7150	DNCI2	Hs.66881	1.212	0.396	0.277	-1.338
hAC7837	ITGA6	Hs.227730	0.875	0.058	-0.193	-4.098
hAD1395	CAMP-GEFII	Hs.91971	0.935	0.397	-0.097	-1.332
hAA3524	JPO1	Hs.333893		0.526		-0.927
hAA8928	WASPIP	Hs.24143	0.851	0.373	-0.233	-1.422
hAE0122	-	Hs.24143	1.438	2.914	0.524	1.543
hAC0197	WASPIP	Hs.24143		0.228		-2.134
hAA2327	CHN1	Hs.169965	1.537	0.884	0.62	-0.178
hAA2796	ATF2	Hs.198166	1.591		0.67
hAC8482	ATF2	Hs.198166		0.8		-0.322
hAD9960	HOXD13	Hs.158309	1.06	1.749	0.084	0.806
hAA0780	HOXD9	Hs.236646	1.098	1.127	0.135	0.173
hAB0987	HOXD8	Hs.301963	1.407	1.126	0.493	0.171
hAC5937	HOXD8	Hs.301963		0.583		-0.778
hAB4977	HOXD4	Hs.278255		0.61		-0.714
hAC3601	MTX2	Hs.31584	0.368	0.647	-1.442	-0.629
hAB0401	PRKRA	Hs.18571		0.875		-0.193
hAA5461	UBE2E3	Hs.355955		1.274		0.349
hAC7767	FRZB	Hs.153684	1.094	1.015	0.13	0.022
hAA7225	FRZB	Hs.153684	1.155	0.681	0.208	-0.553
hAA4722	FRZB	Hs.153684	1.275		0.35
hAA0637	FRZB	Hs.153684		0.568		-0.815
hAA8286	ITGAV	Hs.295726	1.075	0.909	0.104	-0.137
chAA1317	COL3A1	Hs.119571	0.719	0.517	-0.476	-0.952
hAB7308	PMS1	Hs.111749	0.9	0.498	-0.152	-1.007
hAE0164	GDF8	Hs.41565		0.841		-0.249
hAC2113	GLS	Hs.239189	0.898	0.39	-0.155	-1.359
hAA1435	STAT1	Hs.21486	1.146	3.959	0.197	1.985
hAA8121	STAT4	Hs.80642		0.25		-2.003
hAA2900	MYO1B	Hs.121576		3.713		1.893
hAC8349	STK17B	Hs.120996	0.947	0.26	-0.079	-1.943
hAA2529	-	Hs.49690	1.692	0.38	0.759	-1.395
hAA2122	HSPE1	Hs.1197	1.103	5.752	0.141	2.524
hAE0140	CLK1	Hs.2083		0.064		-3.973
hAD1846	NDUFB3	Hs.109760	0.637	1.542	-0.651	0.625
hAA8566	CASP10	Hs.5353	1.123	0.343	0.167	-1.545
hAA2178	CASP8	Hs.19949	1.355	0.217	0.438	-2.206
hAA7397	-	Hs.173859		0.557		-0.845
hAC7872	FZD7	Hs.173859		1.878		0.909
hAA8939	BMPR2	Hs.53250	1.14	0.834	0.189	-0.263
hAA4946	AIP-1	Hs.343575	1.181	1.126	0.24	0.172
hAA5423	NRP2	Hs.17778	1.375	1.513	0.459	0.597
hAA0232	NDUFS1	Hs.8248	1.141	0.163	0.19	-2.615
hAB7034	-	Hs.79194	1.255	0.286	0.328	-1.804
hAD1814	FZD5	Hs.152251	1.125	0.556	0.17	-0.848
hAE0238	PTHR2	Hs.159499	1.227	0.815	0.295	-0.295
hAA8655	BARD1	Hs.54089	0.734	1.646	-0.446	0.719
hAC1140	XRCC5	Hs.84981	1.606	1.586	0.683	0.665
hAB7217	XRCC5	Hs.84981	2.04	4.044	1.029	2.016
hAA0306	IGFBP2	Hs.162	2.563	4.544	1.358	2.184
hAE0027	IGFBP5	Hs.107169	2.034	0.82	1.024	-0.285
hAA1711	IFI75	Hs.38125	1.153	2.511	0.205	1.328
hAE0070	IFI75	Hs.38125	1.313	1.344	0.393	0.427
hAC0514	IFI75	Hs.38125	1.559	1.138	0.641	0.187
hAA0600	SP140	Hs.309943	1.45	0.646	0.536	-0.631
hAA1549	SP100	Hs.77617		0.246		-2.023
hAE0009	IL8RA	Hs.194778		0.752		-0.41
hAA2039	ARPC2	Hs.83583	1.058	0.648	0.081	-0.626
hAB6987	VIL1	Hs.166068	1.025	1.463	0.036	0.549
hAB5969	RNF25	Hs.97176		1.287		0.364
hAA9045	CYP27A1	Hs.82568	1.676	0.764	0.745	-0.388
hAB2890	PRKAG3	Hs.88049	2.091	0.436	1.064	-1.196
hAB6020	MGC3035	Hs.22412		0.875		-0.193
hAC8604	ABCB6	Hs.107911		0.56		-0.838
hAC6397	STK16	Hs.153003	1.657	1.272	0.729	0.347
hAA1396	TUBA1	Hs.75318	1.631	5.622	0.706	2.491
hAA1182	DNAJB2	Hs.77768	1.82	0.841	0.864	-0.25
hAA0844	PTPRN	Hs.89655	1.659	1.447	0.73	0.533
hAA2716	PDE6D	Hs.48291	1.122	0.52	0.166	-0.943
hAE0337	INHA	Hs.1734	1.187	0.849	0.247	-0.237
hAB9993	KIAA1898	Hs.22410		1.103		0.141
hAC0837	PAX3	Hs.198	1.677	1.504	0.746	0.589
hAA2577	FACL3	Hs.268012		0.855		-0.226
hAA8132	SCG2	Hs.75426		0.57		-0.812
hAA8621	CUL3	Hs.78946	1.18	0.997	0.239	-0.004
hAA3467	CUL3	Hs.78946		0.699		-0.516
hAD1534	SCYA20	Hs.75498	1.347	0.293	0.43	-1.769
hAA5251	ARL7	Hs.111554		0.409		-1.29
hAA0947	COL6A3	Hs.80988		0.223		-2.162
hAC0977	HDAC4	Hs.91400	1.26	0.543	0.333	-0.881
hAA2131	PPP1R7	Hs.36587	0.907	1.859	-0.141	0.895
hAD9834	RNPEPL1	Hs.5345	1.488	0.949	0.573	-0.076
hAC9071	CHL1	Hs.210863	0.466	0.543	-1.102	-0.881
hAA0862	CHL1	Hs.210863	1.349	1.272	0.432	0.347
hAB0462	CNTN6	Hs.109050	0.88	0.985	-0.184	-0.022
hAD1586	IL5RA	Hs.68876	1.257	1.416	0.33	0.501
hAC7852	BHLHB2	Hs.171825		1.639		0.713
hAE0141	OGG1	Hs.96398	1.695	1.419	0.761	0.504
hAB0079	VHL	Hs.174007	1.283	1.589	0.36	0.668
hAA0010	VHL	Hs.174007	3.119	2.044	1.641	1.031
hAC8412	GSA7	Hs.278607	1.31	1.664	0.39	0.735
hAE0272	TIMP4	Hs.190787	1.072	1.104	0.1	0.142
hAA2376	RAF1	Hs.349650	1.455	0.706	0.541	-0.502
hAC4848	FLJ22237	Hs.74280	1.385	1.146	0.47	0.196
hAD9978	WNT7A	Hs.72290	1.377	2.735	0.462	1.451
hAB1252	MGC3222	Hs.323193	0.946	0.472	-0.08	-1.082
hAA1349	XPC	Hs.320	1.514	1.213	0.598	0.279
hAD1483	NR2C2	Hs.520	1.31	0.568	0.39	-0.817
hAA4997	RAB5A	Hs.73957	1.359	0.567	0.443	-0.82
hAA0143	RAB5A	Hs.73957	1.595	1.189	0.674	0.25
hAC9901	PCAF	Hs.199061	0.355	0.628	-1.494	-0.672
hAA0419	PCAF	Hs.199061	1.34		0.422
hAD6244	PCAF	Hs.199061		0.38		-1.398
hAA7311	UBE2E2	Hs.108323	1.162	2.51	0.217	1.328
hAA0139	RARB	Hs.171495	1.317	0.67	0.397	-0.578
hAE0118	TOP2B	Hs.75248	1.066	0.809	0.092	-0.306
hAA1377	TGFBR2	Hs.82028	1.393	0.192	0.478	-2.384
hAA2475	FLJ20363	Hs.321622	1.514	0.865	0.598	-0.21
hAA7309	-	Hs.343214	1.759	1.246	0.815	0.317
hAA9394	FBXL2	Hs.6092	1.432	0.846	0.518	-0.241
hAC2305	PDCD6IP	Hs.9663		1.074		0.103
hAC2908	PDCD6IP	Hs.9663		0.871		-0.199
