Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Down	KIAA0436	Putative prolyl oligopeptidase	H200000034	AB007896	-0.992165057
Down	CAPNS1	Calpain, small subunit 1	H200005945	NM_001749	-0.992065765
Down	TPBG	Trophoblast glycoprotein	H200006894	NM_006670	-0.990618956
Down	LDOC1	Leucine zipper, down-regulated in cancer 1	H200004750	NM_012317	-0.990618085
Up	RHEB	Ras homolog enriched in brain	H200017539	NM_005614	0.988674953
Up	NUSAP1	Nucleolar and spindle associated protein 1	H200017540	NM_016359	0.987699753
Down	HERC4	Hect domain and RLD 4	H200001972	AB046813	-0.987589981
Down	DEDD	Death effector domain containing	H200007846	NM_032998	-0.985893584
Down	NR4A2	Nuclear receptor subfamily 4, group A, member 2	H200006891	NM_006186	-0.985753243
Down	CYBRD1	Cytochrome b reductase 1	H200004077	AL136693	-0.985691083
Up	AP1G1	Adaptor-related protein complex 1, gamma 1 subunit	H200008059	AK025020	0.982625321
Up	RINT-1	Rad50-interacting protein 1	H200004718	AK055508	0.981344332
Up	STX7	Syntaxin 7	H200001705	NM_003569	0.981234781
Up	LOC151121	Hypothetical protein LOC151121	H200021181	AK056598	0.978847629
Down	BET1L	Blocked early in transport 1 homolog (S. cerevisiae) like	H200009911	AK022958	-0.977297425
Down	HIG2	Hypoxia-inducible protein 2	H200019772	BC008573	-0.975177815
Up	TM4SF14	Transmembrane 4 superfamily member 14	H200011122	NM_030927	0.974962523
Up	TFB1M	Transcription factor B1, mitochondrial	H200017543	NM_016020	0.974550574
Up	CKLFSF3	Chemokine-like factor super family 3	H300020148	NM_144601	0.974501506
Down	TANC	TPR domain, ankyrin-repeat and coiled-coil-containing	H200016335	AB051515	-0.973620768
Down	BTBD14A	BTB (POZ) domain containing 14A	H200012069	BC015649	-0.973318356
Up	GTPBP4	GTP binding protein 4	H200015195	NM_012341	0.973197435
Up	SRD5A1	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	H200000139	NM_001047	0.972247434
Down	RAB28	RAB28, member RAS oncogene family	H200017154	AK001995	-0.97217546
Down	FAHD1	Hydroxyacylglutathione hydrolase	H200019007	NM_031208	-0.971616022
Down	EIF4A2	Eukaryotic translation initiation factor 4A, isoform 2	H200008181	NM_001967	-0.971281646
Up	U5-116KD	U5 snRNP-specific protein, 116 kD	H200013793	NM_004247	0.970463213
Down	HNRPF	Heterogeneous nuclear ribonucleoprotein F	H200000208	NM_004966	-0.969805913
Down	SIAT7D	Sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase)	H200000860	NM_014403	-0.969748654
Down	KIAA1430	KIAA1430	H200012643	AB037851	-0.967701825
Up	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	H200005003	AL136877	0.966193226
Down	DKFZp434D0	SH3 domain protein D19	H200003432	AL133047	-0.966149768
Up	PHKB	Phosphorylase kinase, beta	H200006482	NM_000293	0.966119799
Up	SFRS10	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	H200003976	NM_004593	0.964687793
Up	KIFC1	Kinesin family member C1	H200002935	BC000712	0.962958382
Down	MGC21644	Hypothetical protein MGC21644	H200007612	BC012033	-0.960413472
Up	DHFR	Dihydrofolate reductase	H200007061	NM_000791	0.957755506
Down	RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)	H200010903	AB037819	-0.957655121
Up	CENPF	Centromere protein F, 350/400ka (mitosin)	H200006364	NM_016343	0.957599823
Up	HSPC150	HSPC150 protein similar to ubiquitin-conjugating enzyme	H200001011	NM_014176	0.95618723
Down	MGC57820	Similar to KIAA0393 protein	H200015528	AL049242	-0.954950623
Down	ZNF205	Zinc finger protein 205	H200002229	NM_003456	-0.954866982
Up	NRBF2	Nuclear receptor binding factor 2	H200003739	NM_030759	0.953522813
Down	DSG2	Desmoglein 2	H200020356	BC014584	-0.952990251
Up	PCNT1	Pericentrin 1	H200014276	NM_024844	0.951511862
Up	SLC38A1	Solute carrier family 38, member 1	H200002718	NM_030674	0.950919193
Down	HPS6	Hermansky-Pudlak syndrome 6	H200012540	BC011594	-0.94999822
Up	KIAA0690	KIAA0690	H200005393	NM_015179	0.949775059
Down	RPL24	Ribosomal protein L24	H200014296	NM_000986	-0.949766126
Down	HNMT	Histamine N-methyltransferase	H200002378	BC005907	-0.949304242
Down	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	H200002912	NM_005591	-0.947542795
Up	MGC33867	Hypothetical protein MGC33867	H200011724	BC004501	0.946560083
Up	PHF2	PHD finger protein 2	H200010615	AB014562	0.946215633
Up	ARPC2	Actin related protein 2/3 complex, subunit 2, 34kDa	H200007046	NM_005731	0.945241595
Up	ID3	Inhibitor of D binding 3, dominant negative helix-loop-helix protein	H200006334	NM_002167	0.944352633
Down	IL12RB2	Interleukin 12 receptor, beta 2	H200005840	NM_001559	-0.941362603
Down	SLITRK1	SLIT and NTRK-like family, member 1	H200020034	AB067497	-0.940944682
Up	NGLY1	N-glycanase 1	H200005525	NM_018297	0.940866845
Down	FLJ20718	Hypothetical protein FLJ20718	H200004989	NM_017939	-0.938727585
Down	FLJ38993	Hypothetical protein FLJ38993	H200002272	AF070524	-0.937896051
Up	CD38	CD38 antigen (p45)	H200020189	AK026407	0.936546825
Down	12:00 AM	Septin 10	H200006722	AF146760	-0.935572741
Down	LOC340371	Hypothetical protein LOC340371	H200017079	AL137662	-0.93530859
Up	TRRAP	Transformation/transcription domain-associated protein	H200014970	NM_003496	0.933982601
Down	MRPL51	Mitochondrial ribosomal protein L51	H200005187	NM_016497	-0.933524651
Up	KCTD10	Potassium channel tetramerisation domain containing 10	H200018144	NM_031954	0.933449433
Down	AMOT	Angiomotin	H200001757	AF286598	-0.932163242
Up	BA108L7.2	Similar to rat tricarboxylate carrier-like protein	H200017851	NM_030971	0.929791664
Up	CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	H200017304	NM_016587	0.929508553
Up	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	H200013907	NM_024010	0.928770349
Up	KNSL7	Kinesin-like 7	H200013713	NM_020242	0.928652228
Up	MGC33211	Similar to RIKEN cD 4933439B08 gene	H200010275	AL512748	0.928510647
Up	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	H200014073	NM_005915	0.928197722
Up	C1orf35	Chromosome 1 open reading frame 35	H200002849	NM_024319	0.92794517
Up	NUDT5	Nudix (nucleoside diphosphate linked moiety X)-type motif 5	H200017987	NM_014142	0.925672013
Down	MYH10	Myosin, heavy polypeptide 10, non-muscle	H200009821	AK026977	-0.92496967
Up	FLJ10871	Hypothetical protein FLJ10871	H200002490	NM_018250	0.924551102
Down	LYPLAL1	Lysophospholipase-like 1	H200010271	BC016711	-0.924380679
Down	ELMOD2	ELMO domain containing 2	H200009394	AK021525	-0.923634432
Up	POLR2F	Polymerase (R) II (D directed) polypeptide F	H200004768	NM_021974	0.923231589
Up	FLJ20323	Hypothetical protein FLJ20323	H200007075	NM_019005	0.9230271
Down	FLJ20273	R-binding protein	H200010700	NM_019027	-0.922520143
Up	HSPC016	Hypothetical protein HSPC016	H200007990	NM_015933	0.922482036
Down	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	H200006538	NM_001677	-0.921684178
Up	KIAA0252	KIAA0252	H200007031	BC015052	0.921522812
Up	UBL5	Ubiquitin-like 5	H200011661	NM_024292	0.920742226
Up	RY1	Putative nucleic acid binding protein RY-1	H200005117	BC017890	0.920329736
Up	HMGB2	High-mobility group box 2	H200006787	NM_002129	0.91983499
Up	GNB4	Guanine nucleotide binding protein (G protein), beta polypeptide 4	H200008063	AK001890	0.918907233
Down	UQCRB	Ubiquinol-cytochrome c reductase binding protein	H200012944	NM_006294	-0.917690073
Up	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	H200006446	NM_004203	0.917608839
Down	CREBL2	CAMP responsive element binding protein-like 2	H200002253	NM_001310	-0.917263478
Up	POLDIP2	Polymerase (D-directed), delta interacting protein 2	H200015761	NM_015584	0.916410043
Down	C20orf42	Chromosome 20 open reading frame 42	H200008438	NM_017671	-0.91519413
Up	SMC6L1	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)	H200004266	NM_024624	0.914221175
Down	HSF1	Heat shock transcription factor 1	H200000390	NM_005526	-0.913523324
Down	CTDSPL	CTD (carboxy-terminal domain, R polymerase II, polypeptide A) small phosphatase-like	H200013596	NM_005808	-0.913244919
Down	C6orf111	Chromosome 6 open reading frame 111	H200002722	AL080186	-0.91281383
Down	PRX	Periaxin	H200015001	NM_020956	-0.912288573
Down	C20orf108	Chromosome 20 open reading frame 108	H200019170	AJ311123	-0.911695402
Up	LOC285458	Similar to hypothetical protein MGC27019	H200011242	BC008921	0.910987071
Down	MAP2K5	Mitogen-activated protein kinase kinase 5	H200016268	NM_002757	-0.9108871
Down	MGC33302	Hypothetical protein MGC33302	H300007836	NM_152778	-0.910845919
Down	CGI-119	CGI-119 protein	H200017769	NM_016056	-0.910449913
Up	FLJ10307	Hypothetical protein FLJ10307	H200005142	AK054909	0.909664693
Down	KIAA1522	KIAA1522 protein	H200019012	AB040955	-0.909580446
Down	COG8	Component of oligomeric golgi complex 8	H200015263	NM_032382	-0.90954186
Up	PRKCZ	Protein kinase C, zeta	H200006556	NM_002744	0.90894505
Up	LILRA2	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	H200010649	NM_006866	0.908897663
Up	GARNL4	GTPase activating Rap/RanGAP domain-like 4	H200010046	AB028962	0.90880707
Up	ZNF505	Zinc finger protein 505	H200009957	NM_031218	0.908610173
Up	MARCKS	Myristoylated alanine-rich protein kinase C substrate	H200019295	AK027274	0.908163304
Up	ETS2	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	H200007140	NM_005239	0.907402795
Up	RoXaN	Rotavirus X protein associated with NSP3	H200017555	NM_017590	0.906906923
Down	ACTG2	Actin, gamma 2, smooth muscle, enteric	H200006478	NM_001615	-0.906712975
Up	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	H200003000	NM_003115	0.906648336
Down	MLLT3	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	H200000108	NM_004529	-0.906281594
Up	COIL	Coilin	H200000258	NM_004645	0.906198736
Up	FLJ23436	Hypothetical protein FLJ23436	H200007161	NM_024671	0.906049231
Up	AEBP1	AE binding protein 1	H200012110	NM_001129	0.905807581
Up	ZNF198	Zinc finger protein 198	H200011651	NM_003453	0.904641672
Up	PRDX1	Peroxiredoxin 1	H200008482	NM_002574	0.904177062
Down	LTBP4	Latent transforming growth factor beta binding protein 4	H200007134	NM_003573	-0.904001724
Up	MFAP4	Microfibrillar-associated protein 4	H200009651	L38486	0.903374405
Up	DLSTP	Dihydrolipoamide S-succinyltransferase pseudogene (E2 component of 2-oxo-glutarate complex)	H200009675	S72422	0.901840887
Down	NEIL2	Nei like 2 (E. coli)	H200009590	AK056206	-0.901516017
Down	OXT	Oxytocin, prepro- (neurophysin I)	H200011862	NM_000915	-0.901346944
Down	SLC30A3	Solute carrier family 30 (zinc transporter), member 3	H200011780	NM_003459	-0.901296031
Down	MYOG	Myogenin (myogenic factor 4)	H200000686	NM_002479	-0.900376339
Up	HLA-DOB	Major histocompatibility complex, class II, DO beta	H200000466	NM_002120	0.899975287
Up	PIP5K3	Phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III	H200007291	AB023198	0.8992368
Down	FKBP1B	FK506 binding protein 1B, 12.6 kDa	H200018612	AK026273	-0.899103662
Down	KIAA1223	KIAA1223 protein	H200003864	AB033049	-0.898281702
Up	KIAA1181	Endoplasmic reticulum-golgi intermediate compartment 32 kDa protein	H200008432	BC012766	0.896275007
Up	LAMC1	Laminin, gamma 1 (formerly LAMB2)	H200015190	NM_002293	0.895994011
Down	C16orf23	Chromosome 16 open reading frame 23	H200004014	AK057053	-0.895805808
Down	UCC1	Upregulated in colorectal cancer gene 1	H200004793	AY027862	-0.894858596
Down	SREBF1	Sterol regulatory element binding transcription factor 1	H200000049	NM_004176	-0.894489215
Down	USP9Y	Ubiquitin specific protease 9, Y-linked (fat facets-like, Drosophila)	H200021319	AK057605	-0.893937621
Down	SPHK1	Sphingosine kinase 1	H200005643	NM_021972	-0.893307398
Up	GPX7	Glutathione peroxidase 7	H200004646	NM_015696	0.893215742
Up	KLHDC2	Kelch domain containing 2	H200002917	NM_014315	0.891992313
Down	BMP6	Bone morphogenetic protein 6	H200008838	NM_001718	-0.89130915
Down	PJA2	Praja 2, RING-H2 motif containing	H200017509	NM_014819	-0.890336231
Up	LOC129138	Hypothetical protein BC014641	H200013165	BC014641	0.889930948
Down	HSPC009	HSPC009 protein	H200002531	NM_014019	-0.88900883
Down	DF	D component of complement (adipsin)	H200014099	NM_001928	-0.888058703
Down	MDS010	X 010 protein	H200007432	NM_020231	-0.887496715
Up	GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	H200020302	NM_054110	0.887243591
Down	STS	Steroid sulfatase (microsomal), arylsulfatase C, isozyme S	H200006723	NM_000351	-0.886830752
Up	CDCA8	Cell division cycle associated 8	H200004906	NM_018101	0.885853262
Up	FLJ11082	Hypothetical protein FLJ11082	H200004122	NM_018317	0.88530447
Down	CHCHD4	Coiled-coil-helix-coiled-coil-helix domain containing 4	H200020442	AK056271	-0.884648869
Up	LIG1	Ligase I, D, ATP-dependent	H200000461	NM_000234	0.884379554
Up	ASAHL	N-acylsphingosine amidohydrolase (acid ceramidase)-like	H200016539	AK024677	0.884306394
Up	SH3GL1	SH3-domain GRB2-like 1	H200010818	NM_003025	0.883815099
Up	WDR10	WD repeat domain 10	H200005702	NM_052985	0.883408054
Down	CAPN2	Calpain 2, (m/II) large subunit	H200006275	NM_001748	-0.882370006
Down	SUCLG2	Succinate-CoA ligase, GDP-forming, beta subunit	H200015863	BC007716	-0.880651739
Down	RBM12	R binding motif protein 12	H200008479	AB018308	-0.880113835
Up	DENR	Density-regulated protein	H200003141	AB014731	0.878764424
Up	CDYL	Chromodomain protein, Y-like	H200002536	NM_004824	0.877543355
Down	TBXAS1	Thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	H200000511	NM_001061	-0.876381199
Up	FLJ90013	Hypothetical protein FLJ90013	H300012337	NM_153365	0.87604537
Up	MYLIP	Myosin regulatory light chain interacting protein	H200002872	AF212221	0.875698848
Down	CFHL1	Complement factor H-related 1	H200013950	NM_005666	-0.87526129
Up	TP53BP2	Tumor protein p53 binding protein, 2	H200004716	NM_005426	0.874816521
Up	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	H200015076	AK022078	0.874738467
Down	EXTL3	Exostoses (multiple)-like 3	H200001724	NM_001440	-0.873565621
Up	GNB1	Guanine nucleotide binding protein (G protein), beta polypeptide 1	H200015193	NM_002074	0.873293361
Down	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	H200013058	AL132665	-0.873034186
Up	JJAZ1	Joined to JAZF1	H200014772	NM_015355	0.872953201
Up	TIAL1	TIA1 cytotoxic granule-associated R binding protein-like 1	H200008621	NM_022333	0.872681895
Up	AACS	Acetoacetyl-CoA synthetase	H200015683	NM_023928	0.871162998
Up	COX10	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)	H200006411	NM_001303	0.870395301
Up	ZDHHC6	Zinc finger, DHHC domain containing 6	H200003136	NM_022494	0.86989185
Down	PLXDC2	Plexin domain containing 2	H200004216	NM_032812	-0.869237059
Up	SEC61B	Sec61 beta subunit	H200006351	NM_006808	0.868470851
Up	FKBP3	FK506 binding protein 3, 25kDa	H200020519	NM_002013	0.868434757
Up	UHRF1	Ubiquitin-like, containing PHD and RING finger domains, 1	H200011551	NM_013282	0.868182775
Up	BMI1	B lymphoma Mo-MLV insertion region (mouse)	H200000117	NM_005180	0.866467993
Down	DKFZP564I1	DKFZP564I122 protein	H200002218	AL080062	-0.865796486
Down	CSNK1A1	Casein kinase 1, alpha 1	H200017797	NM_001892	-0.865723044
Up	MLLT10	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	H200014856	AL137295	0.864701045
Down	SUV420H1	Suppressor of variegation 4-20 homolog 1 (Drosophila)	H200019988	NM_017635	-0.864585968
Up	TFRC	Transferrin receptor (p90, CD71)	H200006387	NM_003234	0.862505189
Up	MED25	Mediator subunit 25	H200015540	NM_018019	0.862093771
Down	P4HB	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	H200006164	NM_000918	-0.861141522
Up	CARD4	Caspase recruitment domain family, member 4	H200002823	NM_006092	0.860565483
Up	SLC7A9	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 9	H200013516	NM_014270	0.860219738
Down	TMOD3	Tropomodulin 3 (ubiquitous)	H200003195	AL137543	-0.859481477
Down	ZNF336	Zinc finger protein 336	H200003881	AK056477	-0.859377978
Up	PHF13	PHD finger protein 13	H200001406	AL121733	0.858206469
Down	NCKAP1	NCK-associated protein 1	H200017270	NM_013436	-0.857771222
Down	PRKCABP	Protein kinase C, alpha binding protein	H200008475	NM_012407	-0.856940436
Up	MAL	Mal, T-cell differentiation protein	H200006758	NM_002371	0.856723182
Down	MGC4707	MGC4707 protein	H300001106	NM_024113	-0.856319455
Up	DYRK2	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	H200008116	NM_006482	0.854582109
Up	ZNF134	Zinc finger protein 134 (clone pHZ-15)	H200000097	NM_003435	0.85394504
Down	PLAA	Phospholipase A2-activating protein	H200003740	AJ238243	-0.853905621
Down	CTSD	Cathepsin D (lysosomal aspartyl protease)	H200019931	NM_001909	-0.852573952
Up	NKAP	NF-kappaB activating protein	H200001076	NM_024528	0.852331441
Up	MGC15912	Hypothetical protein MGC15912	H200002623	NM_032886	0.851750627
Up	AVEN	Apoptosis, caspase activation inhibitor	H200005509	NM_020371	0.851053572
Down	ACTA2	Actin, alpha 2, smooth muscle, aorta	H200014719	NM_001613	-0.850415253
Down	SC5DL	Sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like	H200009211	NM_006918	-0.849500545
Up	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	H200006833	NM_020529	0.849438164
Up	KCTD5	Potassium channel tetramerisation domain containing 5	H200005468	NM_018992	0.848490812
Down	RAB3IL1	RAB3A interacting protein (rabin3)-like 1	H200002317	NM_013401	-0.848149698
Up	TERF2	Telomeric repeat binding factor 2	H200011050	NM_005652	0.847714161
Down	FLJ13352	Hypothetical protein FLJ13352	H200003219	NM_024592	-0.846775397
Up	METAP1	Methionyl aminopeptidase 1	H200006871	D42084	0.84673393
Up	YPEL3	Yippee-like 3 (Drosophila)	H200016748	AK022409	0.84609955
Up	BCOR	BCL6 co-repressor	H200017346	NM_017745	0.843853423
Up	MTF1	Metal-regulatory transcription factor 1	H200015119	NM_005955	0.843072792
Up	DHRSX	Dehydrogenase/reductase (SDR family) X-linked	H200002031	BC009269	0.842931961
Up	SLC15A2	Solute carrier family 15 (H+/peptide transporter), member 2	H200008603	NM_021082	0.842013401
Up	FLJ10330	Hypothetical protein FLJ10330	H200019898	NM_018061	0.841464992
Down	SPHK2	Sphingosine kinase 2	H200010003	BC006161	-0.841230943
Up	MAPKAPK3	Mitogen-activated protein kinase-activated protein kinase 3	H200015403	NM_004635	0.841103386
Up	PUM1	PRO0611 protein	H200013909	NM_014676	0.840937264
Up	SERF2	Small EDRK-rich factor 2	H200019071	NM_005770	0.840788793
Up	RAD21	RAD21 homolog (S. pombe)	H200006856	NM_006265	0.840746663
Up	HTATSF1	HIV TAT specific factor 1	H200007978	NM_014500	0.838511135
Down	C7orf11	Chromosome 7 open reading frame 11	H300009835	NM_138701	-0.837985879
Down	DKFZp313N0	Hypothetical protein DKFZp313N0621	H200010439	AK056593	-0.837685147
Up	DCTN3	Dynactin 3 (p22)	H200002521	NM_024348	0.837113987
Up	COMMD3	COMM domain containing 3	H200004307	NM_012071	0.836528602
Up	ZBTB11	Zinc finger and BTB domain containing 11	H200017986	NM_014415	0.836342584
Up	MGC10854	Hypothetical protein MGC10854	H200003129	NM_032300	0.835991423
Up	HECTD1	HECT domain containing 1	H200015089	AB032957	0.835286441
Up	VPS33A	Vacuolar protein sorting 33A (yeast)	H200015010	NM_022916	0.835048518
Up	PAXIP1L	PAX transcription activation domain interacting protein 1 like	H200008172	U80735	0.834696291
Down	FLJ90805	Hypothetical protein FLJ90805	H300002445	NM_173633	-0.834630216
Up	LOC124446	Hypothetical protein BC017488	H200009519	BC017488	0.834092383
